Country,Best_p,MSE,MAE,R2,Beta,Train,Test,Predictions
Albania,3,9.830436413100809e+17,702089944.9413387,0.5098346876943192,[ 6.46694923e+08  1.14422585e+00 -3.05274481e-01  1.49673748e-01],"[6.52174991e+08 1.18531547e+09 1.88095152e+09 2.39276485e+09
 3.19964134e+09 2.25851397e+09 2.54596454e+09 3.21212165e+09
 3.48035526e+09 3.92210079e+09 4.34806824e+09 5.61149626e+09
 7.18468578e+09 8.05207354e+09 8.89607292e+09 1.06773241e+10
 1.28813535e+10 1.20442081e+10 1.19269228e+10 1.28907645e+10
 1.23198304e+10]","[1.27762205e+10 1.32281475e+10 1.13868501e+10 1.18611998e+10
 1.30196893e+10 1.51564323e+10 1.54002429e+10 1.48876293e+10
 1.48876293e+10]","[np.float64(12593289179.907156), np.float64(13434055904.714483), np.float64(13726384384.166864), np.float64(11549872144.563879), np.float64(12722378047.522446), np.float64(13627550948.949654), np.float64(15789807911.014463), np.float64(15589884626.732914), np.float64(15248724071.76556)]"
Algeria,1,8.527550315912566e+20,22805017782.281273,-0.5941604561832041,[1.08350248e+09 1.08111704e+00],"[4.80030784e+10 4.99455994e+10 4.25431780e+10 4.17643153e+10
 4.69415825e+10 4.81776120e+10 4.81877475e+10 4.86406535e+10
 5.47903927e+10 5.47447128e+10 5.67603559e+10 6.78638284e+10
 8.53325812e+10 1.03198224e+11 1.17027308e+11 1.34977083e+11
 1.71000700e+11 1.37211036e+11 1.61207270e+11 2.00013052e+11
 2.09058992e+11]","[2.09755003e+11 2.13810025e+11 1.65979279e+11 1.60034164e+11
 1.70097015e+11 1.74910879e+11 1.71767404e+11 1.45009181e+11
 1.45009181e+11]","[np.float64(227100740502.7317), np.float64(227853210175.82346), np.float64(232237163216.12405), np.float64(180526529147.27493), np.float64(174099163607.8219), np.float64(184978282963.7826), np.float64(190182633386.702), np.float64(186784169142.7703), np.float64(157855399168.87054)]"
Angola,1,9.057709765050863e+20,25485194042.083897,-0.062393939978121704,[2.20888484e+09 1.12829545e+00],"[3.39050000e+09 3.39050000e+09 3.39050000e+09 5.56122222e+09
 7.52696396e+09 7.64971616e+09 6.50661914e+09 6.15293654e+09
 9.12963498e+09 8.93606372e+09 1.52855948e+10 1.78127053e+10
 2.35520524e+10 3.69709187e+10 5.23810069e+10 6.52664521e+10
 8.85386112e+10 7.03071637e+10 8.37994966e+10 1.11789686e+11
 1.28052854e+11]","[1.36709863e+11 1.45712200e+11 1.16193649e+11 1.01123851e+11
 1.22123822e+11 1.01353231e+11 8.94171903e+10 5.83759763e+10
 5.83759763e+10]","[np.float64(146690337297.1905), np.float64(156458001397.37167), np.float64(166615297840.45624), np.float64(133309650766.80148), np.float64(116306466173.52937), np.float64(140000638232.24124), np.float64(116565274239.34901), np.float64(103097894084.87804), np.float64(68074233430.49416)]"
Antigua and Barbuda,1,1.5379348932843724e+16,90390827.52486171,0.32778470102627777,[8.40137811e+07 9.44356384e-01],"[4.99281481e+08 5.35174074e+08 5.89429630e+08 5.77281481e+08
 6.33729630e+08 6.80618519e+08 7.27859259e+08 7.66200000e+08
 8.26370370e+08 8.00481481e+08 8.14381481e+08 8.56396296e+08
 9.19729630e+08 1.02296296e+09 1.15766296e+09 1.31275926e+09
 1.37007037e+09 1.22832963e+09 1.14870000e+09 1.13763704e+09
 1.19994815e+09]","[1.18144815e+09 1.24973333e+09 1.33669259e+09 1.43658519e+09
 1.46797778e+09 1.60594444e+09 1.68753333e+09 1.37028148e+09
 1.37028148e+09]","[np.float64(1217192474.960951), np.float64(1199721881.8624291), np.float64(1264207432.4044561), np.float64(1346327964.0081), np.float64(1440662171.5076535), np.float64(1470307966.7234812), np.float64(1600597669.128488), np.float64(1677646657.1900187), np.float64(1378047845.6518435)]"
Argentina,3,4.182777039448376e+21,52198887352.40799,0.39175212733793074,[ 3.04917819e+10  1.15514030e+00 -1.89482422e-01 -3.23600690e-02],"[2.28788617e+11 2.36741715e+11 2.57440000e+11 2.58031750e+11
 2.72149750e+11 2.92859000e+11 2.98948250e+11 2.83523000e+11
 2.84203750e+11 2.68696750e+11 9.77240043e+10 1.27586973e+11
 1.64657930e+11 1.98737095e+11 2.32557261e+11 2.87530508e+11
 3.61558037e+11 3.32976485e+11 4.23627422e+11 5.30163282e+11
 5.45982376e+11]","[5.52025140e+11 5.26319674e+11 5.94749285e+11 5.57531376e+11
 6.43628665e+11 5.24819743e+11 4.51932356e+11 3.89288056e+11
 3.89288056e+11]","[np.float64(547012793129.43005), np.float64(547548085967.89795), np.float64(516197760972.4296), np.float64(599918753036.879), np.float64(544792468310.97595), np.float64(649084669421.7957), np.float64(496734146229.8462), np.float64(432265076306.2828), np.float64(377557664391.6911)]"
Armenia,4,5.939595963484324e+17,566949712.325783,0.39429853293607386,"[ 6.03644406e+08  1.08721782e+00 -2.72921670e-01  2.39967473e-01
 -6.79831820e-02]","[1.27283545e+09 1.20131283e+09 1.31515864e+09 1.46831744e+09
 1.59696895e+09 1.63949244e+09 1.89372644e+09 1.84548217e+09
 1.91156367e+09 2.11846791e+09 2.37633505e+09 2.80706101e+09
 3.57661524e+09 4.90046995e+09 6.38445161e+09 9.20630170e+09
 1.16620407e+10 8.64793675e+09 9.26028494e+09 1.01421113e+10
 1.06193200e+10]","[1.11214658e+10 1.16095129e+10 1.05533377e+10 1.05461352e+10
 1.15274586e+10 1.24579419e+10 1.36192914e+10 1.26412098e+10
 1.26412098e+10]","[np.float64(11015409397.572277), np.float64(11601090848.010635), np.float64(12049223189.447401), np.float64(10855788437.900175), np.float64(11219188838.061563), np.float64(12001440147.240978), np.float64(12815327584.421349), np.float64(14059993691.278677), np.float64(12836220803.645794)]"
Aruba,1,9528465624542134.0,78268771.44705619,0.6899623572353695,[2.31433915e+08 9.20604424e-01],"[9.58463184e+08 1.08297972e+09 1.24568827e+09 1.32047486e+09
 1.37996089e+09 1.53194413e+09 1.66510056e+09 1.72279888e+09
 1.87345251e+09 1.92011173e+09 1.94134078e+09 2.02122905e+09
 2.22849162e+09 2.33072626e+09 2.42458101e+09 2.61508380e+09
 2.74525140e+09 2.49888268e+09 2.39050279e+09 2.54972067e+09
 2.53463687e+09]","[2.72784972e+09 2.79084916e+09 2.96290503e+09 2.98363687e+09
 3.09243017e+09 3.20218861e+09 3.20218861e+09 3.20218861e+09
 3.20218861e+09]","[np.float64(2564831832.9638233), np.float64(2742704436.7445536), np.float64(2800702001.174752), np.float64(2959097392.578538), np.float64(2978183219.4990997), np.float64(3078338809.2191267), np.float64(3179382914.0776634), np.float64(3179382914.0776634), np.float64(3179382914.0776634)]"
Australia,1,5.113775354524256e+22,203364990394.42398,-4.239263620982546,[-2.78273308e+10  1.14751585e+00],"[3.25480274e+11 3.12126194e+11 3.22807333e+11 3.67915800e+11
 4.01089530e+11 4.35323994e+11 3.99404463e+11 3.89098885e+11
 4.15576211e+11 3.79083933e+11 3.95342717e+11 4.67390798e+11
 6.14166311e+11 6.95075177e+11 7.47556155e+11 8.53955406e+11
 1.05512713e+12 9.28042998e+11 1.14758918e+12 1.39790792e+12
 1.54650856e+12]","[1.57633528e+12 1.46750482e+12 1.35053415e+12 1.20668511e+12
 1.32688287e+12 1.42852957e+12 1.39195251e+12 1.32783617e+12
 1.32783617e+12]","[np.float64(1746815751966.4214), np.float64(1781042390718.969), np.float64(1656157709429.0872), np.float64(1521932016966.149), np.float64(1356862955253.8726), np.float64(1494791795720.9954), np.float64(1611432994300.459), np.float64(1569460237083.4731), np.float64(1495885721498.6294)]"
Austria,1,7.387645608747669e+20,19609655087.93544,-0.4611842982455925,[1.54919233e+10 9.82886172e-01],"[1.95078127e+11 1.90379721e+11 2.03535243e+11 2.41038283e+11
 2.37250949e+11 2.12790348e+11 2.18259904e+11 2.17185787e+11
 1.96799779e+11 1.97337879e+11 2.13377772e+11 2.61695779e+11
 3.00904222e+11 3.15974419e+11 3.35998557e+11 3.88691445e+11
 4.30294287e+11 4.00172298e+11 3.91892747e+11 4.31120310e+11
 4.09425234e+11]","[4.30068713e+11 4.41996132e+11 3.81817566e+11 3.95568644e+11
 4.16230497e+11 4.54945881e+11 4.45011873e+11 4.33258468e+11
 4.33258468e+11]","[np.float64(417910324434.3883), np.float64(438200514308.20447), np.float64(449923809281.3574), np.float64(390775129054.79736), np.float64(404290873912.8961), np.float64(424599123604.11346), np.float64(462651938792.10297), np.float64(452887939377.53955), np.float64(441335680099.93866)]"
Azerbaijan,4,1.940868754042573e+20,10705973744.162197,-0.11472901858998674,"[ 1.83775672e+09  1.13364918e+00 -2.20313977e-01  5.08390800e-01
 -3.43826519e-01]","[4.46305556e+08 1.57000000e+09 1.19331210e+09 2.41735584e+09
 3.17633384e+09 3.96223811e+09 4.44636857e+09 4.58143204e+09
 5.27279839e+09 5.70772039e+09 6.23585682e+09 7.27675389e+09
 8.68037041e+09 1.32457161e+10 2.09829863e+10 3.30503438e+10
 4.88524830e+10 4.42914904e+10 5.29092948e+10 6.59516272e+10
 6.96839358e+10]","[7.41644359e+10 7.52442943e+10 5.30743705e+10 3.78675190e+10
 4.08655589e+10 4.71129412e+10 4.81742353e+10 4.26071765e+10
 4.26071765e+10]","[np.float64(77974837883.33954), np.float64(85899445514.40652), np.float64(83549680853.75674), np.float64(59173435405.409836), np.float64(45827020007.05391), np.float64(40933758251.42045), np.float64(47247172232.90935), np.float64(53826616566.84079), np.float64(49427012998.81044)]"
