Country,Forecast_GDP_1,Forecast_GDP_2,Forecast_GDP_3,Forecast_GDP_4,Forecast_GDP_5,Forecast_GDP_6,Forecast_GDP_7,Forecast_GDP_8,Forecast_GDP_9,Forecast_GDP_10
Albania,15441703965.350115,15998965757.43603,16467454240.28207,16916323505.507914,17370321205.095306,17822889204.427094,18269319241.800365,18709930107.422638,19145542300.850178,19576292637.196236
Algeria,157855399168.87054,171743663967.3147,186758503661.20123,202991302668.4873,220540858240.38174,239513981768.41724,260026148867.77103,282202202193.4185,306177111266.6511,332096793936.47034
Angola,68074233430.49416,79016732857.07315,91363105200.34367,105293460971.56908,121011018041.57628,138745066209.90973,158754312114.72687,181330653279.4225,206803436352.273,235544261658.8633
Antigua and Barbuda,1378047845.6518435,1385382061.2342956,1392308174.5390449,1398848893.852641,1405025663.8904512,1410858736.106328,1416367235.089997,1421569221.2698514,1426481750.1267362,1431120928.112865
Argentina,391786298892.0346,396699293500.18915,401901118512.35925,406898186807.6975,411525862542.15,415756289269.0417,419604456995.86884,423098287218.6677,426268094276.4155,429143119773.4287
Armenia,13318589332.116257,13741388438.526241,14082684706.985815,14500906109.43933,14917864342.359016,15310203855.987633,15700122557.867035,16088595557.057875,16470335636.918545,16846242873.265724
Aruba,3179382914.0776634,3158387892.338312,3139059782.4356413,3121266238.944828,3104885424.0822372,3089805173.4452,3075922227.988365,3063141526.977728,3051375557.0809803,3040543753.13721
Australia,1495885721498.6294,1688725244181.2185,1910011652941.428,2163941314355.2375,2455329625580.461,2789702331179.1235,3173400310618.4976,3613699823589.4126,4118950493414.8877,4698733645198.557
Austria,441335680099.93866,449274660500.40265,457077774556.95184,464747347462.8073,472285664618.23346,479694972311.54816,486977478388.47754,494135352910.0561,501170728799.2674,508085702476.61816
Azerbaijan,49045050334.39205,53148198205.00486,58295477285.97691,66499661011.59099,74538800503.44052,83050926329.45792,93330716474.77228,104375260471.59966,116194534374.31573,129459633269.4466
Bahamas,10006642061.347374,10404993260.004837,10458829833.805054,10537516761.65822,10569140002.945076,10625103538.164812,10664723920.54236,10702229816.918938,10730486600.71424,10755319508.375713
Bahrain,37515246034.55218,40490855407.38491,43668958825.57291,47063336269.3712,50688705464.41641,54560785696.50618,58696365969.05642,63113377798.76125,67830972965.09119,72869606550.74469
Bangladesh,325688281909.65576,339862392126.1498,364180610199.4846,401671264813.53235,455624043938.01086,517002001344.18024,574991991192.362,624674124970.7997,664508259180.0345,695817196658.8542
Barbados,4519110332.985151,4617362754.961346,4712838045.5590515,4805614701.150555,4895768999.3868685,4983375061.910496,5068504915.295593,5151228550.265646,5231613979.23734,5309727292.237943
Belarus,64622188572.207565,69247239917.55174,74149015216.64253,79344071290.33649,84849955579.61235,90685265415.90048,96869710837.6475,103424181165.29288,110370815559.52895,117733077801.17052
Belgium,532699780474.0643,543408110612.87506,553987846047.6083,564440531052.4602,574767691356.6735,584970834367.2408,595051449388.9346,605011007841.6927,614850963475.3958,624572752582.0634
