,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Generation_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Generation_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Generation_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Generation_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Generation_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,2.887,0.38,0.2,1.684,2.79,5.857,-0.18,-0.3490612369418536,3199641335.93751,2.283,0.074,0.15,1.669,2.152,4.359,0.076,-0.347847037769151,2392764853.42107,1.843,0.155,0.157,1.892,2.017,3.858,0.002,-0.346641256426984,1880951520.3972,1.655,0.141,0.082,1.892,1.727,3.441,-0.059,-0.34544380567873,1185315468.46295,1.411,0.56,0.104,1.892,1.443,3.31,-0.456,-0.34544380567873,652174990.837304,2.913,0.839,0.711,1.684,2.084,5.125,-0.128,-0.3502839424040178,2258513974.0968
1998-01-01,2.913,0.839,0.711,1.684,2.084,5.125,-0.128,-0.3502839424040178,2258513974.0968,2.887,0.38,0.2,1.684,2.79,5.857,-0.18,-0.3490612369418536,3199641335.93751,2.283,0.074,0.15,1.669,2.152,4.359,0.076,-0.347847037769151,2392764853.42107,1.843,0.155,0.157,1.892,2.017,3.858,0.002,-0.346641256426984,1880951520.3972,1.655,0.141,0.082,1.892,1.727,3.441,-0.059,-0.34544380567873,1185315468.46295,3.189,0.69,1.069,1.684,2.2,5.01,0.379,-0.3515152438583559,2545964540.88383
1999-01-01,3.189,0.69,1.069,1.684,2.2,5.01,0.379,-0.3515152438583559,2545964540.88383,2.913,0.839,0.711,1.684,2.084,5.125,-0.128,-0.3502839424040178,2258513974.0968,2.887,0.38,0.2,1.684,2.79,5.857,-0.18,-0.3490612369418536,3199641335.93751,2.283,0.074,0.15,1.669,2.152,4.359,0.076,-0.347847037769151,2392764853.42107,1.843,0.155,0.157,1.892,2.017,3.858,0.002,-0.346641256426984,1880951520.3972,2.213,0.755,1.113,1.684,3.482,5.337,0.358,-0.3527552322733046,3212121650.97755
2000-01-01,2.213,0.755,1.113,1.684,3.482,5.337,0.358,-0.3527552322733046,3212121650.97755,3.189,0.69,1.069,1.684,2.2,5.01,0.379,-0.3515152438583559,2545964540.88383,2.913,0.839,0.711,1.684,2.084,5.125,-0.128,-0.3502839424040178,2258513974.0968,2.887,0.38,0.2,1.684,2.79,5.857,-0.18,-0.3490612369418536,3199641335.93751,2.283,0.074,0.15,1.669,2.152,4.359,0.076,-0.347847037769151,2392764853.42107,2.073,0.222,1.3,1.684,3.68836,4.68336,1.078,-0.3540039999054277,3480355258.04122
2001-01-01,2.073,0.222,1.3,1.684,3.68836,4.68336,1.078,-0.3540039999054277,3480355258.04122,2.213,0.755,1.113,1.684,3.482,5.337,0.358,-0.3527552322733046,3212121650.97755,3.189,0.69,1.069,1.684,2.2,5.01,0.379,-0.3515152438583559,2545964540.88383,2.913,0.839,0.711,1.684,2.084,5.125,-0.128,-0.3502839424040178,2258513974.0968,2.887,0.38,0.2,1.684,2.79,5.857,-0.18,-0.3490612369418536,3199641335.93751,1.889,0.069,1.8,1.6691,3.48978,3.64778,1.731,-0.8441867605524974,3922100793.5403
2002-01-01,1.889,0.069,1.8,1.6691,3.48978,3.64778,1.731,-0.8441867605524974,3922100793.5403,2.073,0.222,1.3,1.684,3.68836,4.68336,1.078,-0.3540039999054277,3480355258.04122,2.213,0.755,1.113,1.684,3.482,5.337,0.358,-0.3527552322733046,3212121650.97755,3.189,0.69,1.069,1.684,2.2,5.01,0.379,-0.3515152438583559,2545964540.88383,2.913,0.839,0.711,1.684,2.084,5.125,-0.128,-0.3502839424040178,2258513974.0968,1.297,0.058,2.2,1.6692,4.48556,3.64056,2.142,-0.8513739466932606,4348068242.19512
2003-01-01,1.297,0.058,2.2,1.6692,4.48556,3.64056,2.142,-0.8513739466932606,4348068242.19512,1.889,0.069,1.8,1.6691,3.48978,3.64778,1.731,-0.8441867605524974,3922100793.5403,2.073,0.222,1.3,1.684,3.68836,4.68336,1.078,-0.3540039999054277,3480355258.04122,2.213,0.755,1.113,1.684,3.482,5.337,0.358,-0.3527552322733046,3212121650.97755,3.189,0.69,1.069,1.684,2.2,5.01,0.379,-0.3515152438583559,2545964540.88383,2.091,0.326,1.242,1.7792,4.04258,5.21758,0.916,-0.8586845633499134,5611496257.14231
2004-01-01,2.091,0.326,1.242,1.7792,4.04258,5.21758,0.916,-0.8586845633499134,5611496257.14231,1.297,0.058,2.2,1.6692,4.48556,3.64056,2.142,-0.8513739466932606,4348068242.19512,1.889,0.069,1.8,1.6691,3.48978,3.64778,1.731,-0.8441867605524974,3922100793.5403,2.073,0.222,1.3,1.684,3.68836,4.68336,1.078,-0.3540039999054277,3480355258.04122,2.213,0.755,1.113,1.684,3.482,5.337,0.358,-0.3527552322733046,3212121650.97755,1.968,0.0,0.477,1.6692,4.0516,5.5426,0.477,-0.8661218176982793,7184685781.51876
2005-01-01,1.968,0.0,0.477,1.6692,4.0516,5.5426,0.477,-0.8661218176982793,7184685781.51876,2.091,0.326,1.242,1.7792,4.04258,5.21758,0.916,-0.8586845633499134,5611496257.14231,1.297,0.058,2.2,1.6692,4.48556,3.64056,2.142,-0.8513739466932606,4348068242.19512,1.889,0.069,1.8,1.6691,3.48978,3.64778,1.731,-0.8441867605524974,3922100793.5403,2.073,0.222,1.3,1.684,3.68836,4.68336,1.078,-0.3540039999054277,3480355258.04122,0.628,0.0,0.371,1.5922,5.1278,5.3848,0.371,-0.873689028997276,8052073539.38058
2006-01-01,0.628,0.0,0.371,1.5922,5.1278,5.3848,0.371,-0.873689028997276,8052073539.38058,1.968,0.0,0.477,1.6692,4.0516,5.5426,0.477,-0.8661218176982793,7184685781.51876,2.091,0.326,1.242,1.7792,4.04258,5.21758,0.916,-0.8586845633499134,5611496257.14231,1.297,0.058,2.2,1.6692,4.48556,3.64056,2.142,-0.8513739466932606,4348068242.19512,1.889,0.069,1.8,1.6691,3.48978,3.64778,1.731,-0.8441867605524974,3922100793.5403,2.489,0.0,0.611,1.5922,3.16042,5.03842,0.611,-0.8813896335281304,8896072918.9814
