,Electricity: Distribution Losses,Population: Growth Rate,Economics: GDP
2022-01-01,1.3157255388762914,3.250892206657365,51460780344.70784
2023-01-01,1.5919273451703009,3.3390995483869585,76565775421.72484
2024-01-01,1.885909731342971,3.284693295218307,84067600231.31389
2025-01-01,2.2359125829137234,3.2601018819686836,99048492827.14442
2026-01-01,2.464480943154936,3.1271224630646195,74751644659.63052
2027-01-01,2.449342517792343,2.924764766271918,24440423838.836296
2028-01-01,2.547116206999479,3.0121812650838593,47351660477.97657
2029-01-01,2.6596232500564074,2.9858448064351872,53065755428.76346
2030-01-01,2.819859110572985,2.985978755358932,65170137306.93985
2031-01-01,2.857512655077299,2.8759670723708397,40236410994.24631
