,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Percentage,Economics: GDP
1992-01-01,0.00623,0.026,0.08277,0.0012358748285363,499281481.481481
1993-01-01,0.00623,0.026,0.08277,0.0012393230405391,535174074.074074
1994-01-01,0.00637,0.026,0.08463,0.0012426706597535,589429629.62963
1995-01-01,0.00644,0.026,0.08556,0.0012459220247039,577281481.481481
1996-01-01,0.00644,0.026,0.08556,0.001249081227959,633729629.62963
1997-01-01,0.00651,0.026,0.08649,0.0012521521333175,680618518.518518
1998-01-01,0.00665,0.026,0.08835,0.0012551383915731,727859259.259259
1999-01-01,0.00665,0.027,0.08835,0.0012580434549929,766200000.0
2000-01-01,0.0,0.027,0.141,0.0012608705906313,826370370.37037
2001-01-01,0.0,0.027,0.161,0.0012618356882907,800481481.481481
2002-01-01,0.0,0.027,0.18,0.0012627755953288,814381481.481481
2003-01-01,0.0,0.027,0.198,0.0012636912853139,856396296.296296
2004-01-01,0.0,0.027,0.208,0.0012645836822841,919729629.62963
2005-01-01,0.0,0.055,0.228,0.0012654536638569,1022962962.96296
2006-01-01,0.0,0.055,0.243,0.0012663020641084,1157662962.96296
2007-01-01,0.0,0.055,0.263,0.0012671296762404,1312759259.25926
2008-01-01,0.0,0.055,0.271,0.0012679372550541,1370070370.37037
2009-01-01,0.0,0.055,0.308,0.0012687255192458,1228329629.62963
2010-01-01,0.0,0.0551,0.3192,0.0012694951535403,1148700000.0
2011-01-01,0.0,0.0843,0.3185,0.0012660341608457,1137637037.03704
2012-01-01,0.0,0.0844,0.3105,0.0012626587047783,1199948148.14815
2013-01-01,0.0,0.1104,0.3106,0.0012593656530549,1181448148.14815
2014-01-01,0.0,0.1104,0.3166,0.0012561520244836,1249733333.33333
2015-01-01,0.0,0.113,0.325355,0.0012530149799623,1336692592.59259
2016-01-01,0.0,0.114,0.328,0.001246681250635,1436585185.18519
2017-01-01,0.0,0.1172,0.329142,0.001240485880227,1467977777.77778
2018-01-01,0.055,0.091,0.28,0.001234424384091,1605944444.44444
2019-01-01,0.065,0.118,0.276,0.0012284924693239,1687533333.33333
2020-01-01,0.065,0.126,0.262424051,0.0012226860246266,1370281481.48148
2021-01-01,0.065,0.126,0.28587519,0.0012197199541631,1370281481.48148
