,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,Economics: GDP
1992-01-01,11.397,0.01,3.26,3.25,228788617201.696
1993-01-01,12.479,0.023,2.0,1.977,236741715015.015
1994-01-01,11.56,0.011,1.2,1.189,257440000000.0
1995-01-01,11.863,0.22,2.35,2.13,258031750000.0
1996-01-01,12.212,0.3,3.7,3.4,272149750000.0
1997-01-01,11.758,0.277,5.265,4.988,292859000000.0
1998-01-01,11.223,0.0,7.9,7.9,298948250000.0
1999-01-01,11.932,1.08,6.5,5.42,283523000000.0
2000-01-01,13.188,6.023,7.245,1.222,284203750000.0
2001-01-01,12.847,5.662,7.42,1.758,268696750000.0
2002-01-01,14.501,2.856,8.7,5.844,97724004251.8602
2003-01-01,14.049,2.543,7.578,5.035,127586973492.177
2004-01-01,15.445,4.144,7.612,3.468,164657930452.787
2005-01-01,15.956,4.14,8.017,3.877,198737095012.282
2006-01-01,14.575,5.06,7.418,2.358,232557260817.308
2007-01-01,17.957,2.676,10.275,7.599,287530508430.568
2008-01-01,16.274,2.975,8.458,5.483,361558037110.419
2009-01-01,17.98,2.445,8.601,6.156,332976484577.619
2010-01-01,16.817,1.701,10.301,8.6,423627422092.49
2011-01-01,18.701,1.263,10.929,9.666,530163281574.658
2012-01-01,18.445,0.506,8.118,7.612,545982375701.128
2013-01-01,22.278,0.247,8.043,7.796,552025140252.246
2014-01-01,17.808,0.166,10.028,9.862,526319673731.638
2015-01-01,17.872,0.055,9.018,8.963,594749285413.212
2016-01-01,20.432,0.329,9.851,9.522,557531376217.967
2017-01-01,22.985,0.069,10.531,10.462,643628665302.155
2018-01-01,23.676,0.28,9.842,9.562,524819742918.669
2019-01-01,20.862,0.261,10.948,10.687,451932356085.842
2020-01-01,20.74,3.089,7.802,4.713,389288056265.325
2021-01-01,22.328,3.851,6.349,2.498,389288056265.325
