,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Economics: GDP
2022-01-01,0.6440059739435443,1.3473007610685621,0.26346894439233737,3.6978883538731746,5.632094748450413,7.359932539070182,13077458887.683807
2023-01-01,0.5907797074128798,1.3634658930775714,0.2578702394196831,3.6950482036946024,5.744775346506895,7.441150707577663,13604724122.037601
2024-01-01,0.6298842541549586,1.2836741797618885,0.2727008913189455,3.623247332120136,5.510891997789814,7.151749540387716,12568647231.825436
2025-01-01,0.6661561507836328,1.3005578618905176,0.2662271910882208,3.63777882380163,5.4799647854986935,7.180451607084622,12273109977.05619
2026-01-01,0.6834115991322727,1.258810816903936,0.2904365570495837,3.586418409920207,5.322770944637696,6.974556803624321,11570920711.943604
2027-01-01,0.6194323127569406,1.3210699595653388,0.2575270916186264,3.682772922963883,5.627792294136075,7.310767474839728,13100822167.85622
2028-01-01,0.6016139813742041,1.3434969111339101,0.25539600277680996,3.6847998551763186,5.7123743568944905,7.402089246625794,13472605875.363739
2029-01-01,0.6301300188869503,1.3048178613082637,0.2670634411379817,3.6438989911966235,5.5595623984845695,7.227446837541802,12756599425.92635
2030-01-01,0.6422416425753009,1.2949719446814147,0.2657286786229102,3.644357284668163,5.51865062206342,7.190135530697226,12567477201.080187
2031-01-01,0.6544643714976484,1.2711017525795887,0.282669580214193,3.611482159448106,5.417673102163605,7.060569646026649,12108811560.835787
