,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Percentage,Economics: GDP
2022-01-01,0.15812705859328766,0.30359628273500294,0.7584472273899507,0.001395683625108246,3225897109.7457414
2023-01-01,0.15785116069015312,0.3094478965449643,0.7453752814228488,0.0014061598745713569,3219404245.9703465
2024-01-01,0.1678608292382621,0.3014646925926747,0.7526336693397988,0.001409649675260364,3209729988.553757
2025-01-01,0.18098030435642887,0.31288415690874605,0.7333337735584181,0.0014137565916640526,3222898640.532991
2026-01-01,0.18011766935087165,0.3153357293514759,0.7443919482122576,0.0014093052038061024,3215715759.8434153
2027-01-01,0.15337501290274685,0.32216405302717577,0.748161463756679,0.0013859591348689957,3286539782.336344
2028-01-01,0.16042941706822705,0.31462305582718203,0.7631872063133119,0.001392710472167003,3285805530.218982
2029-01-01,0.1636737352423608,0.3115503673350919,0.7417313132445722,0.0013931083945747827,3264167219.8808537
2030-01-01,0.17896418253152868,0.31029690961754247,0.7267297802767033,0.0013887652083720376,3221918725.314262
2031-01-01,0.17124143497766756,0.3228849159671865,0.7300787063240584,0.0013838143552184349,3272829014.188882
