,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Percentage,Economics: GDP
1992-01-01,0.02247,0.09,0.29853,0.0013246303983912,958463184.357542
1993-01-01,0.03493,0.09,0.46407,0.0013483861230267,1082979720.67039
1994-01-01,0.0371,0.09,0.4929,0.0013714488350002,1245688268.15642
1995-01-01,0.04053,0.09,0.53847,0.0013938484236539,1320474860.3352
1996-01-01,0.04221,0.09,0.56079,0.0014156130838705,1379960893.85475
1997-01-01,0.04445,0.114,0.59055,0.0014367694344719,1531944134.07821
1998-01-01,0.04802,0.114,0.63798,0.0014573426268258,1665100558.65922
1999-01-01,0.04858,0.114,0.64542,0.0014773564445941,1722798882.68156
2000-01-01,0.078,0.15,0.652,0.0014968333954545,1873452513.96648
2001-01-01,0.1347,0.15,0.6253,0.0014956728934436,1920111731.84358
2002-01-01,0.1319,0.15,0.6431,0.001494542682426,1941340782.12291
2003-01-01,0.1402,0.15,0.6508,0.0014934415917138,2021229050.27933
2004-01-01,0.136,0.15,0.677,0.0014923685101782,2228491620.11173
2005-01-01,0.1512,0.15,0.7038,0.0014913223825093,2330726256.98324
2006-01-01,0.1479,0.15,0.7061,0.0014903022057548,2424581005.58659
2007-01-01,0.1549,0.15,0.7251,0.0014893070261125,2615083798.88268
2008-01-01,0.1493,0.236,0.7097,0.0014883359359559,2745251396.64804
2009-01-01,0.1504,0.266,0.7486,0.0014873880710733,2498882681.56425
2010-01-01,0.1507,0.3204,0.7394,0.001486462608103,2390502793.29609
2011-01-01,0.1587,0.3204,0.7238,0.0014793214529476,2549720670.39106
2012-01-01,0.1484,0.3214,0.7186,0.0014723567877131,2534636871.50838
2013-01-01,0.1488,0.2899,0.7462,0.0014655621494788,2727849720.67039
2014-01-01,0.1377,0.2949,0.7533,0.0014589313870751,2790849162.01117
2015-01-01,0.1532,0.2959,0.7678,0.0014524586425093,2962905027.93296
2016-01-01,0.158,0.2959,0.751512,0.0014428340193108,2983636871.50838
2017-01-01,0.165,0.2959,0.763712,0.0014334196438818,3092430167.59777
2018-01-01,0.166,0.2959,0.739712,0.0014242087014318,3202188606.92893
2019-01-01,0.158,0.2959,0.761712,0.0014151946685408,3202188606.92893
2020-01-01,0.16,0.2959,0.720647339,0.0014063712977513,3202188606.92893
2021-01-01,0.16,0.2959,0.7676192,0.0013937731221088,3202188606.92893
