,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Growth Rate,Population: Percentage,Economics: GDP
1992-01-01,10.626,38.394,140.1334,1.1294350216245332,0.3282321697971646,325480273782.973
1993-01-01,10.658,39.518,143.988,1.1294350216245332,0.3270259290842983,312126194491.287
1994-01-01,10.866,41.141,147.502,1.1168212512835909,0.3258548773669328,322807333102.733
1995-01-01,11.507,41.789,152.334,1.1044861156267942,0.3247174969586263,367915800415.8
1996-01-01,11.522,42.472,156.54566,1.0924204830670554,0.32361235621222,401089529590.288
1997-01-01,11.633,43.148,161.721,1.0806156167267116,0.3225381035079692,435323994365.315
1998-01-01,13.322,44.335,172.088,1.0690631533390589,0.32149346173881,399404463135.047
1999-01-01,15.453,45.539,176.177,1.057755083488908,0.3204772232454549,389098884572.001
2000-01-01,14.98,46.626,182.96956,1.046683733094054,0.3194882451590847,415576210513.094
2001-01-01,18.151,47.578,193.37082,1.5780896197978722,0.3202386682652341,379083932596.329
2002-01-01,15.062,50.31,199.56076,1.5535728479484003,0.3209695041055928,395342716617.832
2003-01-01,11.25,51.616,202.29056,1.5298061942877137,0.3216815096898951,467390797903.32
2004-01-01,11.644,51.869,211.34346,1.5067557514689551,0.3223754035147557,614166310997.297
2005-01-01,15.352,50.635,200.1373,1.4843896254138238,0.3230518679821189,695075176665.163
2006-01-01,15.699,51.2141,204.131836,1.4626777880744148,0.3237115516377279,747556154537.287
2007-01-01,14.618,53.9821,214.773976,1.4415919429305,0.324355071245048,853955405511.502
2008-01-01,14.811,54.8521,214.640056,1.4211054019553615,0.3249830137085839,1055127126230.98
2009-01-01,12.027,57.5301,222.689996,1.4011929729253012,0.3255959378591999,928042998085.702
2010-01-01,14.483,60.9341,219.107043,1.3818308560723025,0.3261943761128561,1147589183475.73
2011-01-01,14.837,63.7421,225.966257,1.635909222364812,0.3273825583251383,1397907916789.9
2012-01-01,12.918,65.8361,220.378073,1.6095779876240983,0.3285413752344672,1546508558465.66
2013-01-01,11.99,67.0491,217.885825,1.5840809690403,0.3296719021748768,1576335282651.07
2014-01-01,9.252,68.8841,232.303085,1.55937914083513,0.3307751626097198,1467504819608.92
2015-01-01,11.707,75.2391,219.056959,1.5354358740936305,0.3318521312219951,1350534154255.76
2016-01-01,14.149,74.1631,231.72609,1.5531458210573563,0.3332847164900421,1206685107002.47
2017-01-01,11.239891,72.520408,238.498993,1.5293921310858172,0.3346860072491101,1326882872011.46
2018-01-01,11.346497,75.154645,238.8835944,1.5063540704658218,0.3360570178524991,1428529571351.06
2019-01-01,10.960147,80.176244,238.6344388,1.4839997793833766,0.337398719284253,1391952510370.48
2020-01-01,11.173536,88.813148,239.4844909,1.462299261567786,0.3387120414524932,1327836171068.51
2021-01-01,9.3000311,93.685148,237.485875,0.9882372263304036,0.3392179588447841,1327836171068.51
