,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Imports,Population: Growth Rate,Population: Percentage,Economics: GDP
1997-01-01,2.721,0.58,0.775,5.151,13.614,0.195,0.9764279086932848,0.1399778001199264,3176333837.03359,2.776,0.5,0.9,5.239,13.724,0.4,0.9860560350145212,0.1406171692067473,2417355840.03625,2.305,0.25,0.54,5.183,14.594,0.29,0.9958759297208022,0.1412751902555521,1193312101.91083,3.8,0.25,0.31,5.165,14.334,0.06,1.00589337976856,0.1419526915327305,1570000000.0,2.786,1.396,0.85,5.165,15.248,-0.546,1.00589337976856,0.1426505510819143,446305555.555556,3.108,0.284,1.6,4.6,14.12,1.316,0.9669859876368572,0.1393563010278285,3962238113.16021
1998-01-01,3.108,0.284,1.6,4.6,14.12,1.316,0.9669859876368572,0.1393563010278285,3962238113.16021,2.721,0.58,0.775,5.151,13.614,0.195,0.9764279086932848,0.1399778001199264,3176333837.03359,2.776,0.5,0.9,5.239,13.724,0.4,0.9860560350145212,0.1406171692067473,2417355840.03625,2.305,0.25,0.54,5.183,14.594,0.29,0.9958759297208022,0.1412751902555521,1193312101.91083,3.8,0.25,0.31,5.165,14.334,0.06,1.00589337976856,0.1419526915327305,1570000000.0,2.153,1.002,0.9,4.59,14.76,-0.102,0.957724921842522,0.1387519330718244,4446368570.6901
1999-01-01,2.153,1.002,0.9,4.59,14.76,-0.102,0.957724921842522,0.1387519330718244,4446368570.6901,3.108,0.284,1.6,4.6,14.12,1.316,0.9669859876368572,0.1393563010278285,3962238113.16021,2.721,0.58,0.775,5.151,13.614,0.195,0.9764279086932848,0.1399778001199264,3176333837.03359,2.776,0.5,0.9,5.239,13.724,0.4,0.9860560350145212,0.1406171692067473,2417355840.03625,2.305,0.25,0.54,5.183,14.594,0.29,0.9958759297208022,0.1412751902555521,1193312101.91083,2.788,0.886,1.63,4.67,15.118,0.744,0.9486395643166152,0.1381639975716615,4581432038.83495
2000-01-01,2.788,0.886,1.63,4.67,15.118,0.744,0.9486395643166152,0.1381639975716615,4581432038.83495,2.153,1.002,0.9,4.59,14.76,-0.102,0.957724921842522,0.1387519330718244,4446368570.6901,3.108,0.284,1.6,4.6,14.12,1.316,0.9669859876368572,0.1393563010278285,3962238113.16021,2.721,0.58,0.775,5.151,13.614,0.195,0.9764279086932848,0.1399778001199264,3176333837.03359,2.776,0.5,0.9,5.239,13.724,0.4,0.9860560350145212,0.1406171692067473,2417355840.03625,2.77,0.378,0.9,4.9425,15.4061,0.522,0.9397249615357166,0.1375918333310209,5272798390.70183
2001-01-01,2.77,0.378,0.9,4.9425,15.4061,0.522,0.9397249615357166,0.1375918333310209,5272798390.70183,2.788,0.886,1.63,4.67,15.118,0.744,0.9486395643166152,0.1381639975716615,4581432038.83495,2.153,1.002,0.9,4.59,14.76,-0.102,0.957724921842522,0.1387519330718244,4446368570.6901,3.108,0.284,1.6,4.6,14.12,1.316,0.9669859876368572,0.1393563010278285,3962238113.16021,2.721,0.58,0.775,5.151,13.614,0.195,0.9764279086932848,0.1399778001199264,3176333837.03359,2.56,0.966,1.2,5.1805,15.56992,0.234,1.2781708493801902,0.1375078060341141,5707720390.8515
2002-01-01,2.56,0.966,1.2,5.1805,15.56992,0.234,1.2781708493801902,0.1375078060341141,5707720390.8515,2.77,0.378,0.9,4.9425,15.4061,0.522,0.9397249615357166,0.1375918333310209,5272798390.70183,2.788,0.886,1.63,4.67,15.118,0.744,0.9486395643166152,0.1381639975716615,4581432038.83495,2.153,1.002,0.9,4.59,14.76,-0.102,0.957724921842522,0.1387519330718244,4446368570.6901,3.108,0.284,1.6,4.6,14.12,1.316,0.9669859876368572,0.1393563010278285,3962238113.16021,3.814,0.925,2.4,5.341,16.13262,1.475,1.262039824239196,0.1374259719865686,6235856819.58445
2003-01-01,3.814,0.925,2.4,5.341,16.13262,1.475,1.262039824239196,0.1374259719865686,6235856819.58445,2.56,0.966,1.2,5.1805,15.56992,0.234,1.2781708493801902,0.1375078060341141,5707720390.8515,2.77,0.378,0.9,4.9425,15.4061,0.522,0.9397249615357166,0.1375918333310209,5272798390.70183,2.788,0.886,1.63,4.67,15.118,0.744,0.9486395643166152,0.1381639975716615,4581432038.83495,2.153,1.002,0.9,4.59,14.76,-0.102,0.957724921842522,0.1387519330718244,4446368570.6901,3.459,0.871,2.5,5.695,18.30104,1.629,1.2463108845424429,0.1373462464235613,7276753894.71541
2004-01-01,3.459,0.871,2.5,5.695,18.30104,1.629,1.2463108845424429,0.1373462464235613,7276753894.71541,3.814,0.925,2.4,5.341,16.13262,1.475,1.262039824239196,0.1374259719865686,6235856819.58445,2.56,0.966,1.2,5.1805,15.56992,0.234,1.2781708493801902,0.1375078060341141,5707720390.8515,2.77,0.378,0.9,4.9425,15.4061,0.522,0.9397249615357166,0.1375918333310209,5272798390.70183,2.788,0.886,1.63,4.67,15.118,0.744,0.9486395643166152,0.1381639975716615,4581432038.83495,2.762,1.008,2.373,5.715,19.08472,1.365,1.2309691816462227,0.1372685488927078,8680370408.05943
2005-01-01,2.762,1.008,2.373,5.715,19.08472,1.365,1.2309691816462227,0.1372685488927078,8680370408.05943,3.459,0.871,2.5,5.695,18.30104,1.629,1.2463108845424429,0.1373462464235613,7276753894.71541,3.814,0.925,2.4,5.341,16.13262,1.475,1.262039824239196,0.1374259719865686,6235856819.58445,2.56,0.966,1.2,5.1805,15.56992,0.234,1.2781708493801902,0.1375078060341141,5707720390.8515,2.77,0.378,0.9,4.9425,15.4061,0.522,0.9397249615357166,0.1375918333310209,5272798390.70183,4.031,0.88,2.082,5.212,17.26646,1.202,1.2160005891452086,0.1371928029832599,13245716099.0057
2006-01-01,4.031,0.88,2.082,5.212,17.26646,1.202,1.2160005891452086,0.1371928029832599,13245716099.0057,2.762,1.008,2.373,5.715,19.08472,1.365,1.2309691816462227,0.1372685488927078,8680370408.05943,3.459,0.871,2.5,5.695,18.30104,1.629,1.2463108845424429,0.1373462464235613,7276753894.71541,3.814,0.925,2.4,5.341,16.13262,1.475,1.262039824239196,0.1374259719865686,6235856819.58445,2.56,0.966,1.2,5.1805,15.56992,0.234,1.2781708493801902,0.1375078060341141,5707720390.8515,3.775,0.879,1.766,5.624,19.43242,0.887,1.2013916594878944,0.1371189360754579,20982986344.3027
