,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Percentage,Economics: GDP
1992-01-01,0.07665,0.401,1.01835,0.0052982731893749,3109000000.0
1993-01-01,0.08008,0.401,1.06392,0.0053205842451899,3092000000.0
1994-01-01,0.08407,0.401,1.11693,0.0053422444328702,3259000000.0
1995-01-01,0.08253,0.401,1.09647,0.0053632818240824,3429000000.0
1996-01-01,0.08491,0.401,1.12809,0.0053837228990797,3609000000.0
1997-01-01,0.08974,0.401,1.19226,0.0054035926579,6332360000.0
1998-01-01,0.09751,0.401,1.29549,0.0054229147223683,6833220000.0
1999-01-01,0.10248,0.401,1.36152,0.005441711429779,7683870000.0
2000-01-01,0.0,0.401,1.565,0.0054600039190387,8076470000.0
2001-01-01,0.0,0.401,1.626,0.0054678021395275,8317830000.0
2002-01-01,0.0,0.401,1.716,0.0054753968137552,8881160000.0
2003-01-01,0.0,0.401,1.81,0.0054827958083892,8870090000.0
2004-01-01,0.0,0.455,1.794703,0.0054900065898772,9055290000.0
2005-01-01,0.0,0.493,1.8944,0.0054970362495799,9836200000.0
2006-01-01,0.0,0.493,1.927583,0.0055038915270322,10167250000.0
2007-01-01,0.0,0.493,2.045213,0.0055105788314949,10618340000.0
2008-01-01,0.0,0.493,2.05,0.0055171042619418,10526000000.0
2009-01-01,0.0,0.493,1.945,0.0055234736256117,9981960000.0
2010-01-01,0.0,0.4933,1.8895,0.0055296924552461,10095760000.0
2011-01-01,0.0,0.5914,1.9316,0.0055173384929561,10070450000.0
2012-01-01,0.0,0.592,1.7869,0.0055052898523933,10720500000.0
2013-01-01,0.0,0.592,1.774,0.0054935353529189,10494600000.0
2014-01-01,0.0,0.5765,1.809,0.0054820643532126,11142900000.0
2015-01-01,0.0,0.5765,1.88,0.0054708667191409,11890600000.0
2016-01-01,0.0,0.5765,1.85,0.0054484066480179,11992600000.0
2017-01-01,0.0,0.5765,1.870067,0.0054264372121911,12359700000.0
2018-01-01,0.15015469,0.5765,1.99491231,0.0054049425086301,12837800000.0
2019-01-01,0.14724451,0.5775,1.95624849,0.0053839073142474,13164400000.0
2020-01-01,0.15,0.5775,1.847366495,0.0053633170499441,9907500000.0
2021-01-01,0.148748208,0.5775,1.97622619,0.0053417501497974,9907500000.0
