,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Percentage,Economics: GDP
1997-01-01,0.08491,0.401,1.12809,0.0053837228990797,3609000000.0,0.08253,0.401,1.09647,0.0053632818240824,3429000000.0,0.08407,0.401,1.11693,0.0053422444328702,3259000000.0,0.08008,0.401,1.06392,0.0053205842451899,3092000000.0,0.07665,0.401,1.01835,0.0052982731893749,3109000000.0,0.08974,0.401,1.19226,0.0054035926579,6332360000.0
1998-01-01,0.08974,0.401,1.19226,0.0054035926579,6332360000.0,0.08491,0.401,1.12809,0.0053837228990797,3609000000.0,0.08253,0.401,1.09647,0.0053632818240824,3429000000.0,0.08407,0.401,1.11693,0.0053422444328702,3259000000.0,0.08008,0.401,1.06392,0.0053205842451899,3092000000.0,0.09751,0.401,1.29549,0.0054229147223683,6833220000.0
1999-01-01,0.09751,0.401,1.29549,0.0054229147223683,6833220000.0,0.08974,0.401,1.19226,0.0054035926579,6332360000.0,0.08491,0.401,1.12809,0.0053837228990797,3609000000.0,0.08253,0.401,1.09647,0.0053632818240824,3429000000.0,0.08407,0.401,1.11693,0.0053422444328702,3259000000.0,0.10248,0.401,1.36152,0.005441711429779,7683870000.0
2000-01-01,0.10248,0.401,1.36152,0.005441711429779,7683870000.0,0.09751,0.401,1.29549,0.0054229147223683,6833220000.0,0.08974,0.401,1.19226,0.0054035926579,6332360000.0,0.08491,0.401,1.12809,0.0053837228990797,3609000000.0,0.08253,0.401,1.09647,0.0053632818240824,3429000000.0,0.0,0.401,1.565,0.0054600039190387,8076470000.0
2001-01-01,0.0,0.401,1.565,0.0054600039190387,8076470000.0,0.10248,0.401,1.36152,0.005441711429779,7683870000.0,0.09751,0.401,1.29549,0.0054229147223683,6833220000.0,0.08974,0.401,1.19226,0.0054035926579,6332360000.0,0.08491,0.401,1.12809,0.0053837228990797,3609000000.0,0.0,0.401,1.626,0.0054678021395275,8317830000.0
2002-01-01,0.0,0.401,1.626,0.0054678021395275,8317830000.0,0.0,0.401,1.565,0.0054600039190387,8076470000.0,0.10248,0.401,1.36152,0.005441711429779,7683870000.0,0.09751,0.401,1.29549,0.0054229147223683,6833220000.0,0.08974,0.401,1.19226,0.0054035926579,6332360000.0,0.0,0.401,1.716,0.0054753968137552,8881160000.0
2003-01-01,0.0,0.401,1.716,0.0054753968137552,8881160000.0,0.0,0.401,1.626,0.0054678021395275,8317830000.0,0.0,0.401,1.565,0.0054600039190387,8076470000.0,0.10248,0.401,1.36152,0.005441711429779,7683870000.0,0.09751,0.401,1.29549,0.0054229147223683,6833220000.0,0.0,0.401,1.81,0.0054827958083892,8870090000.0
2004-01-01,0.0,0.401,1.81,0.0054827958083892,8870090000.0,0.0,0.401,1.716,0.0054753968137552,8881160000.0,0.0,0.401,1.626,0.0054678021395275,8317830000.0,0.0,0.401,1.565,0.0054600039190387,8076470000.0,0.10248,0.401,1.36152,0.005441711429779,7683870000.0,0.0,0.455,1.794703,0.0054900065898772,9055290000.0
2005-01-01,0.0,0.455,1.794703,0.0054900065898772,9055290000.0,0.0,0.401,1.81,0.0054827958083892,8870090000.0,0.0,0.401,1.716,0.0054753968137552,8881160000.0,0.0,0.401,1.626,0.0054678021395275,8317830000.0,0.0,0.401,1.565,0.0054600039190387,8076470000.0,0.0,0.493,1.8944,0.0054970362495799,9836200000.0
2006-01-01,0.0,0.493,1.8944,0.0054970362495799,9836200000.0,0.0,0.455,1.794703,0.0054900065898772,9055290000.0,0.0,0.401,1.81,0.0054827958083892,8870090000.0,0.0,0.401,1.716,0.0054753968137552,8881160000.0,0.0,0.401,1.626,0.0054678021395275,8317830000.0,0.0,0.493,1.927583,0.0055038915270322,10167250000.0
