,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1992-01-01,0.196,0.0,1.05,0.0,3.488242481250302,4751063829.78723
1993-01-01,0.201,0.0,1.05,0.0,3.488242481250302,5200265957.44681
1994-01-01,0.164,0.0,1.05,0.0,3.3706654955342517,5567553457.44681
1995-01-01,0.062,0.0,1.08,0.0,3.260756307774635,5849467819.14894
1996-01-01,0.216,0.0,1.1,0.0,3.1577885194407864,6101861436.17021
1997-01-01,0.085,0.0,1.1,0.0,3.0611246758606883,6349202393.61702
1998-01-01,0.46,0.0,1.1,0.0,2.970203057154932,6183776595.74468
1999-01-01,0.393,0.0,1.163,0.0,2.8845267552850222,6621010372.34043
2000-01-01,0.557,0.0,1.449,0.0,2.80365458855245,9062898936.17021
2001-01-01,0.589,0.0,1.479,0.0,7.058945072121135,8976196808.51064
2002-01-01,0.543,0.0,2.506,0.0,6.5935126367682795,9593510638.29787
2003-01-01,0.303,0.0,2.629,0.0,6.18566034054678,11074813829.7872
2004-01-01,0.676,0.0,1.849,0.0,5.825325491887329,13150159574.4681
2005-01-01,0.411,0.0,2.319,0.0,5.504661067481354,15968723404.2553
2006-01-01,0.431,0.0,5.2,0.003,5.217457704508944,18504760638.2979
2007-01-01,0.408,0.0,5.2,0.013,4.958737664201667,21730000000.0
2008-01-01,1.938,0.275,5.47783,-0.19,4.724463893674403,25710904255.3191
2009-01-01,2.038,0.0,5.86883,0.168,4.51132783880481,22938218085.1064
2010-01-01,1.614,0.019,5.86883,0.173,4.316592212628806,25713271276.5957
2011-01-01,0.484,0.107,5.76783,0.12,2.4471241590415573,28776595744.6809
2012-01-01,0.494,0.19,6.934,-0.155,2.3886704279200632,30749308510.6383
2013-01-01,0.517,0.053,6.928509,0.017,2.3329440825209553,32539468085.1064
2014-01-01,0.569,0.237,6.981,0.003,2.2797585894134884,33387712765.9574
2015-01-01,0.604,0.213,6.978,-0.008,2.22894404606997,31050638297.8723
2016-01-01,0.597,0.293,6.978009,-0.017,1.693318317767157,32234973404.2553
2017-01-01,0.632,0.513,6.978009,0.043,1.6651224935702873,35473776595.7447
2018-01-01,0.54,0.447,6.978349,0.205,1.637850280144579,37801462765.9574
2019-01-01,0.611,0.447,6.981,0.205,1.611457026718084,38652579787.234
2020-01-01,0.6,0.447,6.982,0.205,1.5859009149867276,34729228723.4043
2021-01-01,0.595640644,0.447,6.983,0.205,-0.1771949191488958,34729228723.4043
