,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,0.216,0.0,1.1,0.0,3.1577885194407864,6101861436.17021,0.062,0.0,1.08,0.0,3.260756307774635,5849467819.14894,0.164,0.0,1.05,0.0,3.3706654955342517,5567553457.44681,0.201,0.0,1.05,0.0,3.488242481250302,5200265957.44681,0.196,0.0,1.05,0.0,3.488242481250302,4751063829.78723,0.085,0.0,1.1,0.0,3.0611246758606883,6349202393.61702
1998-01-01,0.085,0.0,1.1,0.0,3.0611246758606883,6349202393.61702,0.216,0.0,1.1,0.0,3.1577885194407864,6101861436.17021,0.062,0.0,1.08,0.0,3.260756307774635,5849467819.14894,0.164,0.0,1.05,0.0,3.3706654955342517,5567553457.44681,0.201,0.0,1.05,0.0,3.488242481250302,5200265957.44681,0.46,0.0,1.1,0.0,2.970203057154932,6183776595.74468
1999-01-01,0.46,0.0,1.1,0.0,2.970203057154932,6183776595.74468,0.085,0.0,1.1,0.0,3.0611246758606883,6349202393.61702,0.216,0.0,1.1,0.0,3.1577885194407864,6101861436.17021,0.062,0.0,1.08,0.0,3.260756307774635,5849467819.14894,0.164,0.0,1.05,0.0,3.3706654955342517,5567553457.44681,0.393,0.0,1.163,0.0,2.8845267552850222,6621010372.34043
2000-01-01,0.393,0.0,1.163,0.0,2.8845267552850222,6621010372.34043,0.46,0.0,1.1,0.0,2.970203057154932,6183776595.74468,0.085,0.0,1.1,0.0,3.0611246758606883,6349202393.61702,0.216,0.0,1.1,0.0,3.1577885194407864,6101861436.17021,0.062,0.0,1.08,0.0,3.260756307774635,5849467819.14894,0.557,0.0,1.449,0.0,2.80365458855245,9062898936.17021
2001-01-01,0.557,0.0,1.449,0.0,2.80365458855245,9062898936.17021,0.393,0.0,1.163,0.0,2.8845267552850222,6621010372.34043,0.46,0.0,1.1,0.0,2.970203057154932,6183776595.74468,0.085,0.0,1.1,0.0,3.0611246758606883,6349202393.61702,0.216,0.0,1.1,0.0,3.1577885194407864,6101861436.17021,0.589,0.0,1.479,0.0,7.058945072121135,8976196808.51064
2002-01-01,0.589,0.0,1.479,0.0,7.058945072121135,8976196808.51064,0.557,0.0,1.449,0.0,2.80365458855245,9062898936.17021,0.393,0.0,1.163,0.0,2.8845267552850222,6621010372.34043,0.46,0.0,1.1,0.0,2.970203057154932,6183776595.74468,0.085,0.0,1.1,0.0,3.0611246758606883,6349202393.61702,0.543,0.0,2.506,0.0,6.5935126367682795,9593510638.29787
2003-01-01,0.543,0.0,2.506,0.0,6.5935126367682795,9593510638.29787,0.589,0.0,1.479,0.0,7.058945072121135,8976196808.51064,0.557,0.0,1.449,0.0,2.80365458855245,9062898936.17021,0.393,0.0,1.163,0.0,2.8845267552850222,6621010372.34043,0.46,0.0,1.1,0.0,2.970203057154932,6183776595.74468,0.303,0.0,2.629,0.0,6.18566034054678,11074813829.7872
2004-01-01,0.303,0.0,2.629,0.0,6.18566034054678,11074813829.7872,0.543,0.0,2.506,0.0,6.5935126367682795,9593510638.29787,0.589,0.0,1.479,0.0,7.058945072121135,8976196808.51064,0.557,0.0,1.449,0.0,2.80365458855245,9062898936.17021,0.393,0.0,1.163,0.0,2.8845267552850222,6621010372.34043,0.676,0.0,1.849,0.0,5.825325491887329,13150159574.4681
2005-01-01,0.676,0.0,1.849,0.0,5.825325491887329,13150159574.4681,0.303,0.0,2.629,0.0,6.18566034054678,11074813829.7872,0.543,0.0,2.506,0.0,6.5935126367682795,9593510638.29787,0.589,0.0,1.479,0.0,7.058945072121135,8976196808.51064,0.557,0.0,1.449,0.0,2.80365458855245,9062898936.17021,0.411,0.0,2.319,0.0,5.504661067481354,15968723404.2553
2006-01-01,0.411,0.0,2.319,0.0,5.504661067481354,15968723404.2553,0.676,0.0,1.849,0.0,5.825325491887329,13150159574.4681,0.303,0.0,2.629,0.0,6.18566034054678,11074813829.7872,0.543,0.0,2.506,0.0,6.5935126367682795,9593510638.29787,0.589,0.0,1.479,0.0,7.058945072121135,8976196808.51064,0.431,0.0,5.2,0.003,5.217457704508944,18504760638.2979
