,Electricity: Distribution Losses_lag1,Electricity: Imports_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Imports_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Imports_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Imports_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Imports_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Imports,Economics: GDP
1997-01-01,1.834,0.0,46438484107.5795,1.796,0.0,37939748768.6567,1.771,0.0,33768660882.793,1.792,0.0,33166519417.9894,2.371,0.0,31708874594.1645,1.795,0.0,48244309133.4895
1998-01-01,1.795,0.0,48244309133.4895,1.834,0.0,46438484107.5795,1.796,0.0,37939748768.6567,1.771,0.0,33768660882.793,1.792,0.0,33166519417.9894,1.986,0.0,49984559471.3656
1999-01-01,1.986,0.0,49984559471.3656,1.795,0.0,48244309133.4895,1.834,0.0,46438484107.5795,1.796,0.0,37939748768.6567,1.771,0.0,33768660882.793,2.286,0.0,51270569883.5275
2000-01-01,2.286,0.0,51270569883.5275,1.986,0.0,49984559471.3656,1.795,0.0,48244309133.4895,1.834,0.0,46438484107.5795,1.796,0.0,37939748768.6567,2.417,0.0,53369787318.6245
2001-01-01,2.417,0.0,53369787318.6245,2.286,0.0,51270569883.5275,1.986,0.0,49984559471.3656,1.795,0.0,48244309133.4895,1.834,0.0,46438484107.5795,2.413,0.0,53991289844.3291
2002-01-01,2.413,0.0,53991289844.3291,2.417,0.0,53369787318.6245,2.286,0.0,51270569883.5275,1.986,0.0,49984559471.3656,1.795,0.0,48244309133.4895,2.372,0.0,54724081490.5102
2003-01-01,2.372,0.0,54724081490.5102,2.413,0.0,53991289844.3291,2.417,0.0,53369787318.6245,2.286,0.0,51270569883.5275,1.986,0.0,49984559471.3656,2.271,0.0,60158929188.2556
2004-01-01,2.271,0.0,60158929188.2556,2.372,0.0,54724081490.5102,2.413,0.0,53991289844.3291,2.417,0.0,53369787318.6245,2.286,0.0,51270569883.5275,2.038,0.0,65108544250.0425
2005-01-01,2.038,0.0,65108544250.0425,2.271,0.0,60158929188.2556,2.372,0.0,54724081490.5102,2.413,0.0,53991289844.3291,2.417,0.0,53369787318.6245,1.966,0.0,69442943089.4309
2006-01-01,1.966,0.0,69442943089.4309,2.038,0.0,65108544250.0425,2.271,0.0,60158929188.2556,2.372,0.0,54724081490.5102,2.413,0.0,53991289844.3291,1.778,0.0,71819083683.7403
2007-01-01,1.778,0.0,71819083683.7403,1.966,0.0,69442943089.4309,2.038,0.0,65108544250.0425,2.271,0.0,60158929188.2556,2.372,0.0,54724081490.5102,1.602,0.0,79611888213.148
2008-01-01,1.602,0.0,79611888213.148,1.778,0.0,71819083683.7403,1.966,0.0,69442943089.4309,2.038,0.0,65108544250.0425,2.271,0.0,60158929188.2556,4.293,0.0,91631278239.3237
2009-01-01,4.293,0.0,91631278239.3237,1.602,0.0,79611888213.148,1.778,0.0,71819083683.7403,1.966,0.0,69442943089.4309,2.038,0.0,65108544250.0425,4.214,0.0,102477791472.39
2010-01-01,4.214,0.0,102477791472.39,4.293,0.0,91631278239.3237,1.602,0.0,79611888213.148,1.778,0.0,71819083683.7403,1.966,0.0,69442943089.4309,4.325,0.0,115279077465.226
2011-01-01,4.325,0.0,115279077465.226,4.214,0.0,102477791472.39,4.293,0.0,91631278239.3237,1.602,0.0,79611888213.148,1.778,0.0,71819083683.7403,4.528,0.0,128637938711.386
2012-01-01,4.528,0.0,128637938711.386,4.325,0.0,115279077465.226,4.214,0.0,102477791472.39,4.293,0.0,91631278239.3237,1.602,0.0,79611888213.148,5.79,0.0,133355749482.478
2013-01-01,5.79,0.0,133355749482.478,4.528,0.0,128637938711.386,4.325,0.0,115279077465.226,4.214,0.0,102477791472.39,4.293,0.0,91631278239.3237,7.031,0.0,149990451022.29
