,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Generation_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Generation_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Generation_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Generation_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Generation_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Density,Population: Growth Rate,Economics: GDP
1997-01-01,3.757,2.601,11.144,7.39,27.091,22.305,49.73651156069364,-0.1663446298884608,14756846153.8462,3.636,2.907,10.07,7.205,26.951,23.424,49.81938342967245,-0.1660683840496516,13489222222.2222,3.837,3.85,7.8,7.205,29.627,29.514,49.90225529865125,-0.165793054203687,17793000000.0,4.047,3.605,9.61,7.208,33.326,31.368,49.98512716763006,-0.1655186358020965,17793000000.0,3.125,3.405,9.85,7.208,38.66,35.34,50.06799903660886,-0.1655186358020965,17793000000.0,3.801,2.688,10.5,7.408,28.506,24.495,49.65363969171484,-0.1666217962988456,14108846153.8462
1998-01-01,3.801,2.688,10.5,7.408,28.506,24.495,49.65363969171484,-0.1666217962988456,14108846153.8462,3.757,2.601,11.144,7.39,27.091,22.305,49.73651156069364,-0.1663446298884608,14756846153.8462,3.636,2.907,10.07,7.205,26.951,23.424,49.81938342967245,-0.1660683840496516,13489222222.2222,3.837,3.85,7.8,7.205,29.627,29.514,49.90225529865125,-0.165793054203687,17793000000.0,4.047,3.605,9.61,7.208,33.326,31.368,49.98512716763006,-0.1655186358020965,17793000000.0,3.796,2.073,10.2,7.408,26.322,21.991,49.57076782273603,-0.1668998878900507,15264369565.2174
1999-01-01,3.796,2.073,10.2,7.408,26.322,21.991,49.57076782273603,-0.1668998878900507,15264369565.2174,3.801,2.688,10.5,7.408,28.506,24.495,49.65363969171484,-0.1666217962988456,14108846153.8462,3.757,2.601,11.144,7.39,27.091,22.305,49.73651156069364,-0.1663446298884608,14756846153.8462,3.636,2.907,10.07,7.205,26.951,23.424,49.81938342967245,-0.1660683840496516,13489222222.2222,3.837,3.85,7.8,7.205,29.627,29.514,49.90225529865125,-0.165793054203687,17793000000.0,3.544,3.029,10.18,7.408,28.436,24.829,49.487895953757224,-0.1671789093022701,12152867469.8795
2000-01-01,3.544,3.029,10.18,7.408,28.436,24.829,49.487895953757224,-0.1671789093022701,12152867469.8795,3.796,2.073,10.2,7.408,26.322,21.991,49.57076782273603,-0.1668998878900507,15264369565.2174,3.801,2.688,10.5,7.408,28.506,24.495,49.65363969171484,-0.1666217962988456,14108846153.8462,3.757,2.601,11.144,7.39,27.091,22.305,49.73651156069364,-0.1663446298884608,14756846153.8462,3.636,2.907,10.07,7.205,26.951,23.424,49.81938342967245,-0.1660683840496516,13489222222.2222,3.41,2.764,10.0,7.859,28.36256,24.53656,49.40502408477842,-0.1674588652066344,12738912133.8912
2001-01-01,3.41,2.764,10.0,7.859,28.36256,24.53656,49.40502408477842,-0.1674588652066344,12738912133.8912,3.544,3.029,10.18,7.408,28.436,24.829,49.487895953757224,-0.1671789093022701,12152867469.8795,3.796,2.073,10.2,7.408,26.322,21.991,49.57076782273603,-0.1668998878900507,15264369565.2174,3.801,2.688,10.5,7.408,28.506,24.495,49.65363969171484,-0.1666217962988456,14108846153.8462,3.757,2.601,11.144,7.39,27.091,22.305,49.73651156069364,-0.1663446298884608,14756846153.8462,3.455,2.718,7.32,7.86,24.70802,23.56102,49.15210693641619,-0.5119259691650601,12354820143.8849
2002-01-01,3.455,2.718,7.32,7.86,24.70802,23.56102,49.15210693641619,-0.5119259691650601,12354820143.8849,3.41,2.764,10.0,7.859,28.36256,24.53656,49.40502408477842,-0.1674588652066344,12738912133.8912,3.544,3.029,10.18,7.408,28.436,24.829,49.487895953757224,-0.1671789093022701,12152867469.8795,3.796,2.073,10.2,7.408,26.322,21.991,49.57076782273603,-0.1668998878900507,15264369565.2174,3.801,2.688,10.5,7.408,28.506,24.495,49.65363969171484,-0.1666217962988456,14108846153.8462,3.406,3.513,8.4,7.913,26.35038,24.86938,48.89918978805395,-0.5145601361288749,14594249022.8922
2003-01-01,3.406,3.513,8.4,7.913,26.35038,24.86938,48.89918978805395,-0.5145601361288749,14594249022.8922,3.455,2.718,7.32,7.86,24.70802,23.56102,49.15210693641619,-0.5119259691650601,12354820143.8849,3.41,2.764,10.0,7.859,28.36256,24.53656,49.40502408477842,-0.1674588652066344,12738912133.8912,3.544,3.029,10.18,7.408,28.436,24.829,49.487895953757224,-0.1671789093022701,12152867469.8795,3.796,2.073,10.2,7.408,26.322,21.991,49.57076782273603,-0.1668998878900507,15264369565.2174,3.45,3.987,9.0,7.955,26.59406,25.03106,48.64627263969171,-0.5172215520512158,17827791321.3067
2004-01-01,3.45,3.987,9.0,7.955,26.59406,25.03106,48.64627263969171,-0.5172215520512158,17827791321.3067,3.406,3.513,8.4,7.913,26.35038,24.86938,48.89918978805395,-0.5145601361288749,14594249022.8922,3.455,2.718,7.32,7.86,24.70802,23.56102,49.15210693641619,-0.5119259691650601,12354820143.8849,3.41,2.764,10.0,7.859,28.36256,24.53656,49.40502408477842,-0.1674588652066344,12738912133.8912,3.544,3.029,10.18,7.408,28.436,24.829,49.487895953757224,-0.1671789093022701,12152867469.8795,3.578,4.723,7.975,7.958,29.01344,29.33944,48.39335549132948,-0.519910641942733,23144351851.8519
2005-01-01,3.578,4.723,7.975,7.958,29.01344,29.33944,48.39335549132948,-0.519910641942733,23144351851.8519,3.45,3.987,9.0,7.955,26.59406,25.03106,48.64627263969171,-0.5172215520512158,17827791321.3067,3.406,3.513,8.4,7.913,26.35038,24.86938,48.89918978805395,-0.5145601361288749,14594249022.8922,3.455,2.718,7.32,7.86,24.70802,23.56102,49.15210693641619,-0.5119259691650601,12354820143.8849,3.41,2.764,10.0,7.859,28.36256,24.53656,49.40502408477842,-0.1674588652066344,12738912133.8912,3.634,5.055,9.091,7.9624,29.5093,29.1073,48.14043834296725,-0.522627839699084,30207567316.6202
2006-01-01,3.634,5.055,9.091,7.9624,29.5093,29.1073,48.14043834296725,-0.522627839699084,30207567316.6202,3.578,4.723,7.975,7.958,29.01344,29.33944,48.39335549132948,-0.519910641942733,23144351851.8519,3.45,3.987,9.0,7.955,26.59406,25.03106,48.64627263969171,-0.5172215520512158,17827791321.3067,3.406,3.513,8.4,7.913,26.35038,24.86938,48.89918978805395,-0.5145601361288749,14594249022.8922,3.455,2.718,7.32,7.86,24.70802,23.56102,49.15210693641619,-0.5119259691650601,12354820143.8849,3.841,5.789,10.149,8.0284,30.36508,29.84608,47.887521194605014,-0.5253735883341443,36954312354.3124
