,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Generation_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Generation_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Generation_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Generation_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Generation_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,3.834,5.446,9.637,14.573,71.19,70.833,4.191,0.3014086845649996,279201433224.756,3.673,5.326,9.4,14.613,69.71,69.309,4.074,0.3023199030078337,288025588396.278,3.57,5.07,9.1,14.631,67.735,67.275,4.03,0.3032366477471686,244884129491.198,3.673,5.359,7.59,13.785,64.663,66.105,2.231,0.3041589692092396,224721795708.955,3.537,5.721,5.849,13.785,63.968,67.377,0.128,0.3041589692092396,234781652446.675,3.691,6.705,9.975,14.417,73.00595,73.42695,3.27,0.3005029425986156,252708051420.839
1998-01-01,3.691,6.705,9.975,14.417,73.00595,73.42695,3.27,0.3005029425986156,252708051420.839,3.834,5.446,9.637,14.573,71.19,70.833,4.191,0.3014086845649996,279201433224.756,3.673,5.326,9.4,14.613,69.71,69.309,4.074,0.3023199030078337,288025588396.278,3.57,5.07,9.1,14.631,67.735,67.275,4.03,0.3032366477471686,244884129491.198,3.673,5.359,7.59,13.785,64.663,66.105,2.231,0.3041589692092396,224721795708.955,3.839,6.435,7.83,15.103,74.89311,77.33711,1.395,0.2996026278857345,258528339631.029
1999-01-01,3.839,6.435,7.83,15.103,74.89311,77.33711,1.395,0.2996026278857345,258528339631.029,3.691,6.705,9.975,14.417,73.00595,73.42695,3.27,0.3005029425986156,252708051420.839,3.834,5.446,9.637,14.573,71.19,70.833,4.191,0.3014086845649996,279201433224.756,3.673,5.326,9.4,14.613,69.71,69.309,4.074,0.3023199030078337,288025588396.278,3.57,5.07,9.1,14.631,67.735,67.275,4.03,0.3032366477471686,244884129491.198,4.126,8.207,9.059,15.253,75.298,78.572,0.852,0.2987076917914123,258158533986.789
2000-01-01,4.126,8.207,9.059,15.253,75.298,78.572,0.852,0.2987076917914123,258158533986.789,3.839,6.435,7.83,15.103,74.89311,77.33711,1.395,0.2996026278857345,258528339631.029,3.691,6.705,9.975,14.417,73.00595,73.42695,3.27,0.3005029425986156,252708051420.839,3.834,5.446,9.637,14.573,71.19,70.833,4.191,0.3014086845649996,279201433224.756,3.673,5.326,9.4,14.613,69.71,69.309,4.074,0.3023199030078337,288025588396.278,3.789,7.319,11.645,15.988,78.53076,77.99376,4.326,0.2978180862602253,236204532891.1
2001-01-01,3.789,7.319,11.645,15.988,78.53076,77.99376,4.326,0.2978180862602253,236204532891.1,4.126,8.207,9.059,15.253,75.298,78.572,0.852,0.2987076917914123,258158533986.789,3.839,6.435,7.83,15.103,74.89311,77.33711,1.395,0.2996026278857345,258528339631.029,3.691,6.705,9.975,14.417,73.00595,73.42695,3.27,0.3005029425986156,252708051420.839,3.834,5.446,9.637,14.573,71.19,70.833,4.191,0.3014086845649996,279201433224.756,3.886,6.712,15.818,15.863,79.28752,74.06752,9.106,0.5978015348863573,236541297539.15
2002-01-01,3.886,6.712,15.818,15.863,79.28752,74.06752,9.106,0.5978015348863573,236541297539.15,3.789,7.319,11.645,15.988,78.53076,77.99376,4.326,0.2978180862602253,236204532891.1,4.126,8.207,9.059,15.253,75.298,78.572,0.852,0.2987076917914123,258158533986.789,3.839,6.435,7.83,15.103,74.89311,77.33711,1.395,0.2996026278857345,258528339631.029,3.691,6.705,9.975,14.417,73.00595,73.42695,3.27,0.3005029425986156,252708051420.839,3.772,9.07,16.658,15.904,80.098,76.282,7.588,0.594249104617903,257157820440.429
2003-01-01,3.772,9.07,16.658,15.904,80.098,76.282,7.588,0.594249104617903,257157820440.429,3.886,6.712,15.818,15.863,79.28752,74.06752,9.106,0.5978015348863573,236541297539.15,3.789,7.319,11.645,15.988,78.53076,77.99376,4.326,0.2978180862602253,236204532891.1,4.126,8.207,9.059,15.253,75.298,78.572,0.852,0.2987076917914123,258158533986.789,3.839,6.435,7.83,15.103,74.89311,77.33711,1.395,0.2996026278857345,258528339631.029,3.757,8.254,14.664,16.016,81.41356,78.76056,6.41,0.5907386455063317,317381715575.621
2004-01-01,3.757,8.254,14.664,16.016,81.41356,78.76056,6.41,0.5907386455063317,317381715575.621,3.772,9.07,16.658,15.904,80.098,76.282,7.588,0.594249104617903,257157820440.429,3.886,6.712,15.818,15.863,79.28752,74.06752,9.106,0.5978015348863573,236541297539.15,3.789,7.319,11.645,15.988,78.53076,77.99376,4.326,0.2978180862602253,236204532891.1,4.126,8.207,9.059,15.253,75.298,78.572,0.852,0.2987076917914123,258158533986.789,3.751,6.79,14.567,16.065,83.52596,79.49996,7.777,0.5872694181003905,368537000248.324
2005-01-01,3.751,6.79,14.567,16.065,83.52596,79.49996,7.777,0.5872694181003905,368537000248.324,3.757,8.254,14.664,16.016,81.41356,78.76056,6.41,0.5907386455063317,317381715575.621,3.772,9.07,16.658,15.904,80.098,76.282,7.588,0.594249104617903,257157820440.429,3.886,6.712,15.818,15.863,79.28752,74.06752,9.106,0.5978015348863573,236541297539.15,3.789,7.319,11.645,15.988,78.53076,77.99376,4.326,0.2978180862602253,236204532891.1,3.856,8.024,14.328,16.785,83.06408,80.61608,6.304,0.5838407002175894,385570948886.954
2006-01-01,3.856,8.024,14.328,16.785,83.06408,80.61608,6.304,0.5838407002175894,385570948886.954,3.751,6.79,14.567,16.065,83.52596,79.49996,7.777,0.5872694181003905,368537000248.324,3.757,8.254,14.664,16.016,81.41356,78.76056,6.41,0.5907386455063317,317381715575.621,3.772,9.07,16.658,15.904,80.098,76.282,7.588,0.594249104617903,257157820440.429,3.886,6.712,15.818,15.863,79.28752,74.06752,9.106,0.5978015348863573,236541297539.15,3.965,8.696,18.853,17.021,85.5111,79.3191,10.157,0.580451786443194,407918078032.869
2007-01-01,3.965,8.696,18.853,17.021,85.5111,79.3191,10.157,0.580451786443194,407918078032.869,3.856,8.024,14.328,16.785,83.06408,80.61608,6.304,0.5838407002175894,385570948886.954,3.751,6.79,14.567,16.065,83.52596,79.49996,7.777,0.5872694181003905,368537000248.324,3.757,8.254,14.664,16.016,81.41356,78.76056,6.41,0.5907386455063317,317381715575.621,3.772,9.07,16.658,15.904,80.098,76.282,7.588,0.594249104617903,257157820440.429,3.972,9.037,15.816,17.162,85.21944,82.41244,6.779,0.5771019876463018,470324254037.777
