,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,0.01204,0.043,2.977918377521994,518559700.0
1993-01-01,0.01316,0.046,2.977918377521994,560205300.0
1994-01-01,0.01225,0.048,2.8918028490387493,581269550.0
1995-01-01,0.01274,0.0742,2.8105279225027986,620422500.0
1996-01-01,0.01302,0.0692,2.733696615799247,641660000.0
1997-01-01,0.014,0.0672,2.6609542008622924,654582900.0
1998-01-01,0.013454,0.058,2.591982727586956,689140000.0
1999-01-01,0.014084,0.0582,2.526496377859709,732732350.0
2000-01-01,0.031,0.066,2.464237506515741,832072450.0
2001-01-01,0.037,0.066,3.3984176767634753,868358750.0
2002-01-01,0.036,0.066,3.2867211637487124,925197950.0
2003-01-01,0.04,0.0883,3.182133314637813,983575600.0
2004-01-01,0.048,0.0826,3.0839964366063204,1051386600.0
2005-01-01,0.054,0.0875,2.991731542444505,1102564900.0
2006-01-01,0.058,0.0859,2.9048269192479452,1210603750.0
2007-01-01,0.057,0.088,2.822828633225764,1271598050.0
2008-01-01,0.057,0.089,2.7453325985564323,1351338650.0
2009-01-01,0.055441111,0.136,2.671977917754099,1317309450.0
2010-01-01,0.057041111,0.175,2.602441261913256,1377177100.0
2011-01-01,0.038157308,0.175,2.34488025680987,1460797903.23406
2012-01-01,0.041633633,0.176,2.291155406040788,1522897506.07849
2013-01-01,0.049770892,0.173,2.2398372537157636,1579411253.00514
2014-01-01,0.06504,0.186,2.190767624323815,1667335060.96064
2015-01-01,0.06859,0.187,2.143801906232438,1721700991.46912
2016-01-01,0.06805,0.1955,1.94792022697022,1789304087.78561
2017-01-01,0.0636,0.2227,1.9107012900640807,1858529676.71857
2018-01-01,0.06511,0.2227,1.8748779724572135,1915899786.96407
2019-01-01,0.06887,0.20225,1.8403732203380936,1982518540.6134
2020-01-01,0.06887,0.20425,1.8071155497008335,1636280797.08056
2021-01-01,0.06887,0.20425,1.310515267610484,1636280797.08056
