,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Generation,Population: Growth Rate,Economics: GDP
1992-01-01,0.032,0.0,0.238,0.023,3.3862857501093626,1695315305.70308
1993-01-01,0.043,0.0,0.24,0.024,3.3862857501093626,2274557914.07481
1994-01-01,0.038,0.0,0.242,0.048,3.27537228515414,1598075932.35432
1995-01-01,0.042,0.0,0.255,0.029,3.171494048078093,2169627250.93379
1996-01-01,0.04,0.0,0.27,0.0487,3.0740022496913455,2361116587.86079
1997-01-01,0.042,0.0,0.27,0.0517,2.982325496825786,2268301537.65128
1998-01-01,0.044,0.0,0.255,0.0597,2.895958585551387,2455092582.30927
1999-01-01,0.053,0.0,0.3,0.0677,2.8144531868504528,3677394291.51516
2000-01-01,0.059,0.0,0.37,0.07908,2.737410062119966,3519991326.48464
2001-01-01,0.087,0.0,0.42,0.06216,3.497683560056893,3666222600.09828
2002-01-01,0.098,0.0,0.437,0.05934,3.3794800422052753,4194342849.46574
2003-01-01,0.107,0.0,0.52,0.07532,3.2690046814179854,5349258334.31914
2004-01-01,0.114,0.0,0.578,0.0762,3.1655235677953772,6190270756.13743
2005-01-01,0.113,0.0,0.595,0.10064,3.068392868393819,6567654493.50831
2006-01-01,0.126,0.0,0.59,0.142,2.9770454190663305,7034111651.4964
2007-01-01,0.125,0.0,0.579,0.20498,2.890979642066085,8169048690.05254
2008-01-01,0.14,0.0,0.662,0.21344,2.8097503319757595,9787735426.00897
2009-01-01,0.208,0.0,0.866,0.12038,2.732960952539047,9738626993.27696
2010-01-01,0.207,0.0,1.006,0.10816,2.660257163036126,9535344283.47295
2011-01-01,0.204,0.0,1.012,0.09594,3.1486738424109957,10693321953.6355
2012-01-01,0.212,0.0,1.099,0.04612,3.0525587243336663,11141358945.1349
2013-01-01,0.229,0.0,1.077,0.08848,2.962137730611136,12517845732.2095
2014-01-01,0.232,0.0,0.939,0.22666,2.876919415136094,13284528654.0574
2015-01-01,0.277,0.0,1.048,0.31056,2.7964673043201738,11388160958.249
2016-01-01,0.288,0.0,1.089,0.26004,3.1288282224205854,11821066152.5979
2017-01-01,0.297,0.0,1.111321,0.3115,3.0339026209747693,12701654743.2149
2018-01-01,0.295489,0.0,1.293173,0.19028,2.9445673159983294,14262407011.5254
2019-01-01,0.363,0.002,1.093,0.2017,2.8603426025966914,14391686632.7821
2020-01-01,0.346,0.002,0.646,0.22608,2.7808021344510694,15651545331.5404
2021-01-01,0.361714286,0.002,0.646,0.24109728,2.8068262880935353,15651545331.5404
