,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
1992-01-01,0.03402,0.14,0.45198,1078.7074074074071,0.6696972714256876,1679900000.0
1993-01-01,0.03409,0.14,0.45291,1085.9314814814816,0.6696972714256876,1820359900.0
1994-01-01,0.03465,0.14,0.46035,1093.1555555555556,0.6652421628129435,1867160100.0
1995-01-01,0.0343,0.146,0.4557,1100.3796296296296,0.6608459370087252,2030750000.0
1996-01-01,0.03458,0.146,0.45942,1107.6037037037038,0.6565074343029738,2695390000.0
1997-01-01,0.03486,0.146,0.46314,1114.8277777777778,0.6522255252413427,2932827000.0
1998-01-01,0.0357,0.168,0.4743,1122.051851851852,0.6479991096449141,3130748000.0
1999-01-01,0.0385,0.168,0.5115,1129.275925925926,0.6438271156677228,3324433000.0
2000-01-01,0.0,0.168,0.595,1136.5,0.6397084988906339,3480219000.0
2001-01-01,0.0,0.168,0.643681818,1140.3444444444444,0.3382705186488708,3680483000.0
2002-01-01,0.0,0.175,0.643,1144.1888888888889,0.33713010688778,3937228000.0
2003-01-01,0.0,0.175,0.624,1148.0333333333333,0.3359973586334907,4186525000.0
2004-01-01,0.0,0.175,0.627164,1151.8777777777775,0.3348721968971067,4484703000.0
2005-01-01,0.0,0.175,0.652436,1155.7222222222222,0.3337545457176181,4868136000.0
2006-01-01,0.0,0.175,0.666401,1159.5666666666666,0.3326443301446883,6144000000.0
2007-01-01,0.0,0.165,0.67555,1163.411111111111,0.331541476221958,6767000000.0
2008-01-01,0.0,0.165,0.685,1167.2555555555557,0.3304459109706225,6980000000.0
2009-01-01,0.0,0.165,0.69372,1171.1,0.3293575623732759,6656000000.0
2010-01-01,0.0,0.165,0.686411,1174.9444444444443,0.3282763593582458,6634526000.0
2011-01-01,0.0,0.165,0.674,1173.8222222222223,-0.0955127902028441,6312691000.0
2012-01-01,0.0,0.171,0.658,1172.7,-0.0956041043504577,6378188000.0
2013-01-01,0.0,0.171,0.637,1171.5777777777778,-0.0956955932653133,6465756000.0
2014-01-01,0.0,0.1708,0.62,1170.4555555555555,-0.0957872574495908,6413988000.0
2015-01-01,0.0,0.1708,0.634,1169.3333333333333,-0.0958790974074648,6654541000.0
2016-01-01,0.0,0.1708,0.625,1172.6185185185186,0.2809451412644138,6899911000.0
2017-01-01,0.0447,0.1708,0.5883,1175.9037037037035,0.2801580508327381,7142316000.0
2018-01-01,0.0375,0.1715,0.5645,1179.1888888888889,0.2793753582744779,7224329000.0
2019-01-01,0.041,0.1715,0.533434,1182.474074074074,0.2785970268326336,7484113000.0
2020-01-01,0.041,0.1715,0.504404156,1185.7592592592594,0.2778230201586151,6842700000.0
2021-01-01,0.041,0.1715,0.539310022,1187.175925925926,0.119473380081523,6842700000.0
