,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
1997-01-01,0.03458,0.146,0.45942,1107.6037037037038,0.6565074343029738,2695390000.0,0.0343,0.146,0.4557,1100.3796296296296,0.6608459370087252,2030750000.0,0.03465,0.14,0.46035,1093.1555555555556,0.6652421628129435,1867160100.0,0.03409,0.14,0.45291,1085.9314814814816,0.6696972714256876,1820359900.0,0.03402,0.14,0.45198,1078.7074074074071,0.6696972714256876,1679900000.0,0.03486,0.146,0.46314,1114.8277777777778,0.6522255252413427,2932827000.0
1998-01-01,0.03486,0.146,0.46314,1114.8277777777778,0.6522255252413427,2932827000.0,0.03458,0.146,0.45942,1107.6037037037038,0.6565074343029738,2695390000.0,0.0343,0.146,0.4557,1100.3796296296296,0.6608459370087252,2030750000.0,0.03465,0.14,0.46035,1093.1555555555556,0.6652421628129435,1867160100.0,0.03409,0.14,0.45291,1085.9314814814816,0.6696972714256876,1820359900.0,0.0357,0.168,0.4743,1122.051851851852,0.6479991096449141,3130748000.0
1999-01-01,0.0357,0.168,0.4743,1122.051851851852,0.6479991096449141,3130748000.0,0.03486,0.146,0.46314,1114.8277777777778,0.6522255252413427,2932827000.0,0.03458,0.146,0.45942,1107.6037037037038,0.6565074343029738,2695390000.0,0.0343,0.146,0.4557,1100.3796296296296,0.6608459370087252,2030750000.0,0.03465,0.14,0.46035,1093.1555555555556,0.6652421628129435,1867160100.0,0.0385,0.168,0.5115,1129.275925925926,0.6438271156677228,3324433000.0
2000-01-01,0.0385,0.168,0.5115,1129.275925925926,0.6438271156677228,3324433000.0,0.0357,0.168,0.4743,1122.051851851852,0.6479991096449141,3130748000.0,0.03486,0.146,0.46314,1114.8277777777778,0.6522255252413427,2932827000.0,0.03458,0.146,0.45942,1107.6037037037038,0.6565074343029738,2695390000.0,0.0343,0.146,0.4557,1100.3796296296296,0.6608459370087252,2030750000.0,0.0,0.168,0.595,1136.5,0.6397084988906339,3480219000.0
2001-01-01,0.0,0.168,0.595,1136.5,0.6397084988906339,3480219000.0,0.0385,0.168,0.5115,1129.275925925926,0.6438271156677228,3324433000.0,0.0357,0.168,0.4743,1122.051851851852,0.6479991096449141,3130748000.0,0.03486,0.146,0.46314,1114.8277777777778,0.6522255252413427,2932827000.0,0.03458,0.146,0.45942,1107.6037037037038,0.6565074343029738,2695390000.0,0.0,0.168,0.643681818,1140.3444444444444,0.3382705186488708,3680483000.0
2002-01-01,0.0,0.168,0.643681818,1140.3444444444444,0.3382705186488708,3680483000.0,0.0,0.168,0.595,1136.5,0.6397084988906339,3480219000.0,0.0385,0.168,0.5115,1129.275925925926,0.6438271156677228,3324433000.0,0.0357,0.168,0.4743,1122.051851851852,0.6479991096449141,3130748000.0,0.03486,0.146,0.46314,1114.8277777777778,0.6522255252413427,2932827000.0,0.0,0.175,0.643,1144.1888888888889,0.33713010688778,3937228000.0
2003-01-01,0.0,0.175,0.643,1144.1888888888889,0.33713010688778,3937228000.0,0.0,0.168,0.643681818,1140.3444444444444,0.3382705186488708,3680483000.0,0.0,0.168,0.595,1136.5,0.6397084988906339,3480219000.0,0.0385,0.168,0.5115,1129.275925925926,0.6438271156677228,3324433000.0,0.0357,0.168,0.4743,1122.051851851852,0.6479991096449141,3130748000.0,0.0,0.175,0.624,1148.0333333333333,0.3359973586334907,4186525000.0
2004-01-01,0.0,0.175,0.624,1148.0333333333333,0.3359973586334907,4186525000.0,0.0,0.175,0.643,1144.1888888888889,0.33713010688778,3937228000.0,0.0,0.168,0.643681818,1140.3444444444444,0.3382705186488708,3680483000.0,0.0,0.168,0.595,1136.5,0.6397084988906339,3480219000.0,0.0385,0.168,0.5115,1129.275925925926,0.6438271156677228,3324433000.0,0.0,0.175,0.627164,1151.8777777777775,0.3348721968971067,4484703000.0
2005-01-01,0.0,0.175,0.627164,1151.8777777777775,0.3348721968971067,4484703000.0,0.0,0.175,0.624,1148.0333333333333,0.3359973586334907,4186525000.0,0.0,0.175,0.643,1144.1888888888889,0.33713010688778,3937228000.0,0.0,0.168,0.643681818,1140.3444444444444,0.3382705186488708,3680483000.0,0.0,0.168,0.595,1136.5,0.6397084988906339,3480219000.0,0.0,0.175,0.652436,1155.7222222222222,0.3337545457176181,4868136000.0
2006-01-01,0.0,0.175,0.652436,1155.7222222222222,0.3337545457176181,4868136000.0,0.0,0.175,0.627164,1151.8777777777775,0.3348721968971067,4484703000.0,0.0,0.175,0.624,1148.0333333333333,0.3359973586334907,4186525000.0,0.0,0.175,0.643,1144.1888888888889,0.33713010688778,3937228000.0,0.0,0.168,0.643681818,1140.3444444444444,0.3382705186488708,3680483000.0,0.0,0.175,0.666401,1159.5666666666666,0.3326443301446883,6144000000.0
