,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Population: Growth Rate,Population: Percentage,Economics: GDP
1992-01-01,0.11235,1.445,0.003,0.5098414555251287,0.0106173031834208,240215763.888889
1993-01-01,0.11235,1.42,0.003,0.5098414555251287,0.0105134746168149,225998091.177435
1994-01-01,0.11613,1.455,0.003,0.507255257934846,0.0104126749837577,258985597.704814
1995-01-01,0.12012,1.475,0.004,0.5046951651729631,0.0103147736476309,290464801.110083
1996-01-01,0.12971,1.482,0.004,0.5021607839748474,0.0102196473777469,303435517.922664
1997-01-01,0.12747,1.33,0.025,0.4996517289356801,0.0101271798318705,352260952.905536
1998-01-01,0.12488,1.36,0.015,0.4971676223150745,0.0100372610815318,363452787.203102
1999-01-01,0.12481,1.385,0.021,0.4947080938474926,0.0099497871760589,399268801.672085
2000-01-01,0.015,1.398,0.02,0.4922727805582628,0.0098646597416942,424464089.897641
2001-01-01,0.06806,1.4,0.016,2.0147750282268473,0.00993033803464,461444513.66815
2002-01-01,0.0926,1.561,0.024,1.974983552793575,0.0099943020171254,520849551.532606
2003-01-01,0.1227,1.845,0.018,1.936733386940028,0.0100566179439161,604041957.921855
2004-01-01,0.1302,1.624,0.021,1.8999366789481391,0.0101173486990448,682523857.01677
2005-01-01,0.1172,1.714,0.018,1.864512129123485,0.0101765540074779,796938120.181406
2006-01-01,0.12105,2.526,0.035,1.8303843901593804,0.0102342906310302,874989895.601121
2007-01-01,0.15069,5.373,0.022,1.7974835321708398,0.0102906125498778,1168308516.63301
2008-01-01,0.01175,5.922,0.009,1.7657445644054328,0.0103455711308907,1227808790.6733
2009-01-01,0.01486,5.405,0.064,1.7351070067471936,0.0103992152838863,1234014291.82342
2010-01-01,0.01919,5.58,0.132,1.7055145050686578,0.0104515916068053,1547991317.81183
2011-01-01,0.02314,5.273,0.04,1.0703655197047235,0.0104312933806341,1777101316.67756
2012-01-01,0.08417,4.896,0.059,1.0590300274476048,0.0104114968145238,1781281281.57912
2013-01-01,0.08277,5.557,0.112,1.0479321117172695,0.010392183538082,1756215665.09323
2014-01-01,0.08063,5.147,0.159,1.0370643810490583,0.0103733360670454,1907090813.45906
2015-01-01,0.06673,5.721,0.125,1.026419747448219,0.0103549377504864,2003598212.99135
2016-01-01,0.2657,5.763,0.087,0.7865739955924764,0.0103211379175056,2158972129.00307
2017-01-01,0.05796,5.701,0.092,0.7804352945134084,0.0102880764344159,2450364928.07302
2018-01-01,0.1845,4.581,0.134,0.7743916686137599,0.0102557293689789,2446866404.93058
2019-01-01,0.52606,6.1466,0.09637,0.7684409261038089,0.0102240738121929,2535657068.96575
2020-01-01,0.52606,6.0,0.1,0.7625809420504255,0.0101930878241846,2315437338.08809
2021-01-01,0.52606,5.306106667,0.1,0.6439432185639982,0.0101735100583365,2315437338.08809
