,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Population: Growth Rate_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Population: Growth Rate_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Population: Growth Rate_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Population: Growth Rate_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Population: Growth Rate_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Population: Growth Rate,Population: Percentage,Economics: GDP
1997-01-01,0.12971,1.482,0.004,0.5021607839748474,0.0102196473777469,303435517.922664,0.12012,1.475,0.004,0.5046951651729631,0.0103147736476309,290464801.110083,0.11613,1.455,0.003,0.507255257934846,0.0104126749837577,258985597.704814,0.11235,1.42,0.003,0.5098414555251287,0.0105134746168149,225998091.177435,0.11235,1.445,0.003,0.5098414555251287,0.0106173031834208,240215763.888889,0.12747,1.33,0.025,0.4996517289356801,0.0101271798318705,352260952.905536
1998-01-01,0.12747,1.33,0.025,0.4996517289356801,0.0101271798318705,352260952.905536,0.12971,1.482,0.004,0.5021607839748474,0.0102196473777469,303435517.922664,0.12012,1.475,0.004,0.5046951651729631,0.0103147736476309,290464801.110083,0.11613,1.455,0.003,0.507255257934846,0.0104126749837577,258985597.704814,0.11235,1.42,0.003,0.5098414555251287,0.0105134746168149,225998091.177435,0.12488,1.36,0.015,0.4971676223150745,0.0100372610815318,363452787.203102
1999-01-01,0.12488,1.36,0.015,0.4971676223150745,0.0100372610815318,363452787.203102,0.12747,1.33,0.025,0.4996517289356801,0.0101271798318705,352260952.905536,0.12971,1.482,0.004,0.5021607839748474,0.0102196473777469,303435517.922664,0.12012,1.475,0.004,0.5046951651729631,0.0103147736476309,290464801.110083,0.11613,1.455,0.003,0.507255257934846,0.0104126749837577,258985597.704814,0.12481,1.385,0.021,0.4947080938474926,0.0099497871760589,399268801.672085
2000-01-01,0.12481,1.385,0.021,0.4947080938474926,0.0099497871760589,399268801.672085,0.12488,1.36,0.015,0.4971676223150745,0.0100372610815318,363452787.203102,0.12747,1.33,0.025,0.4996517289356801,0.0101271798318705,352260952.905536,0.12971,1.482,0.004,0.5021607839748474,0.0102196473777469,303435517.922664,0.12012,1.475,0.004,0.5046951651729631,0.0103147736476309,290464801.110083,0.015,1.398,0.02,0.4922727805582628,0.0098646597416942,424464089.897641
2001-01-01,0.015,1.398,0.02,0.4922727805582628,0.0098646597416942,424464089.897641,0.12481,1.385,0.021,0.4947080938474926,0.0099497871760589,399268801.672085,0.12488,1.36,0.015,0.4971676223150745,0.0100372610815318,363452787.203102,0.12747,1.33,0.025,0.4996517289356801,0.0101271798318705,352260952.905536,0.12971,1.482,0.004,0.5021607839748474,0.0102196473777469,303435517.922664,0.06806,1.4,0.016,2.0147750282268473,0.00993033803464,461444513.66815
2002-01-01,0.06806,1.4,0.016,2.0147750282268473,0.00993033803464,461444513.66815,0.015,1.398,0.02,0.4922727805582628,0.0098646597416942,424464089.897641,0.12481,1.385,0.021,0.4947080938474926,0.0099497871760589,399268801.672085,0.12488,1.36,0.015,0.4971676223150745,0.0100372610815318,363452787.203102,0.12747,1.33,0.025,0.4996517289356801,0.0101271798318705,352260952.905536,0.0926,1.561,0.024,1.974983552793575,0.0099943020171254,520849551.532606
2003-01-01,0.0926,1.561,0.024,1.974983552793575,0.0099943020171254,520849551.532606,0.06806,1.4,0.016,2.0147750282268473,0.00993033803464,461444513.66815,0.015,1.398,0.02,0.4922727805582628,0.0098646597416942,424464089.897641,0.12481,1.385,0.021,0.4947080938474926,0.0099497871760589,399268801.672085,0.12488,1.36,0.015,0.4971676223150745,0.0100372610815318,363452787.203102,0.1227,1.845,0.018,1.936733386940028,0.0100566179439161,604041957.921855
2004-01-01,0.1227,1.845,0.018,1.936733386940028,0.0100566179439161,604041957.921855,0.0926,1.561,0.024,1.974983552793575,0.0099943020171254,520849551.532606,0.06806,1.4,0.016,2.0147750282268473,0.00993033803464,461444513.66815,0.015,1.398,0.02,0.4922727805582628,0.0098646597416942,424464089.897641,0.12481,1.385,0.021,0.4947080938474926,0.0099497871760589,399268801.672085,0.1302,1.624,0.021,1.8999366789481391,0.0101173486990448,682523857.01677
2005-01-01,0.1302,1.624,0.021,1.8999366789481391,0.0101173486990448,682523857.01677,0.1227,1.845,0.018,1.936733386940028,0.0100566179439161,604041957.921855,0.0926,1.561,0.024,1.974983552793575,0.0099943020171254,520849551.532606,0.06806,1.4,0.016,2.0147750282268473,0.00993033803464,461444513.66815,0.015,1.398,0.02,0.4922727805582628,0.0098646597416942,424464089.897641,0.1172,1.714,0.018,1.864512129123485,0.0101765540074779,796938120.181406
2006-01-01,0.1172,1.714,0.018,1.864512129123485,0.0101765540074779,796938120.181406,0.1302,1.624,0.021,1.8999366789481391,0.0101173486990448,682523857.01677,0.1227,1.845,0.018,1.936733386940028,0.0100566179439161,604041957.921855,0.0926,1.561,0.024,1.974983552793575,0.0099943020171254,520849551.532606,0.06806,1.4,0.016,2.0147750282268473,0.00993033803464,461444513.66815,0.12105,2.526,0.035,1.8303843901593804,0.0102342906310302,874989895.601121
2007-01-01,0.12105,2.526,0.035,1.8303843901593804,0.0102342906310302,874989895.601121,0.1172,1.714,0.018,1.864512129123485,0.0101765540074779,796938120.181406,0.1302,1.624,0.021,1.8999366789481391,0.0101173486990448,682523857.01677,0.1227,1.845,0.018,1.936733386940028,0.0100566179439161,604041957.921855,0.0926,1.561,0.024,1.974983552793575,0.0099943020171254,520849551.532606,0.15069,5.373,0.022,1.7974835321708398,0.0102906125498778,1168308516.63301
2008-01-01,0.15069,5.373,0.022,1.7974835321708398,0.0102906125498778,1168308516.63301,0.12105,2.526,0.035,1.8303843901593804,0.0102342906310302,874989895.601121,0.1172,1.714,0.018,1.864512129123485,0.0101765540074779,796938120.181406,0.1302,1.624,0.021,1.8999366789481391,0.0101173486990448,682523857.01677,0.1227,1.845,0.018,1.936733386940028,0.0100566179439161,604041957.921855,0.01175,5.922,0.009,1.7657445644054328,0.0103455711308907,1227808790.6733
2009-01-01,0.01175,5.922,0.009,1.7657445644054328,0.0103455711308907,1227808790.6733,0.15069,5.373,0.022,1.7974835321708398,0.0102906125498778,1168308516.63301,0.12105,2.526,0.035,1.8303843901593804,0.0102342906310302,874989895.601121,0.1172,1.714,0.018,1.864512129123485,0.0101765540074779,796938120.181406,0.1302,1.624,0.021,1.8999366789481391,0.0101173486990448,682523857.01677,0.01486,5.405,0.064,1.7351070067471936,0.0103992152838863,1234014291.82342
2010-01-01,0.01486,5.405,0.064,1.7351070067471936,0.0103992152838863,1234014291.82342,0.01175,5.922,0.009,1.7657445644054328,0.0103455711308907,1227808790.6733,0.15069,5.373,0.022,1.7974835321708398,0.0102906125498778,1168308516.63301,0.12105,2.526,0.035,1.8303843901593804,0.0102342906310302,874989895.601121,0.1172,1.714,0.018,1.864512129123485,0.0101765540074779,796938120.181406,0.01919,5.58,0.132,1.7055145050686578,0.0104515916068053,1547991317.81183
2011-01-01,0.01919,5.58,0.132,1.7055145050686578,0.0104515916068053,1547991317.81183,0.01486,5.405,0.064,1.7351070067471936,0.0103992152838863,1234014291.82342,0.01175,5.922,0.009,1.7657445644054328,0.0103455711308907,1227808790.6733,0.15069,5.373,0.022,1.7974835321708398,0.0102906125498778,1168308516.63301,0.12105,2.526,0.035,1.8303843901593804,0.0102342906310302,874989895.601121,0.02314,5.273,0.04,1.0703655197047235,0.0104312933806341,1777101316.67756
