,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Economics: GDP
1997-01-01,0.372,0.003,0.0,0.805,7396966657.47054,0.349,0.003,0.015,0.803,6715220507.05164,0.355,0.003,0.019,0.8044,5981244886.917,0.378,0.003,0.016,0.756,5734676560.92471,0.347,0.003,0.025,0.701,5643893347.00679,0.403,0.001,0.008,0.9886,7925673448.41368
1998-01-01,0.403,0.001,0.008,0.9886,7925673448.41368,0.372,0.003,0.0,0.805,7396966657.47054,0.349,0.003,0.015,0.803,6715220507.05164,0.355,0.003,0.019,0.8044,5981244886.917,0.378,0.003,0.016,0.756,5734676560.92471,0.445,0.001,0.007,1.0612,8497545598.08352
1999-01-01,0.445,0.001,0.007,1.0612,8497545598.08352,0.403,0.001,0.008,0.9886,7925673448.41368,0.372,0.003,0.0,0.805,7396966657.47054,0.349,0.003,0.015,0.803,6715220507.05164,0.355,0.003,0.019,0.8044,5981244886.917,0.443,0.0,0.01,1.3446,8285075872.27307
2000-01-01,0.443,0.0,0.01,1.3446,8285075872.27307,0.445,0.001,0.007,1.0612,8497545598.08352,0.403,0.001,0.008,0.9886,7925673448.41368,0.372,0.003,0.0,0.805,7396966657.47054,0.349,0.003,0.015,0.803,6715220507.05164,0.395,0.0,0.016,1.3409,8397912509.09679
2001-01-01,0.395,0.0,0.016,1.3409,8397912509.09679,0.443,0.0,0.01,1.3446,8285075872.27307,0.445,0.001,0.007,1.0612,8497545598.08352,0.403,0.001,0.008,0.9886,7925673448.41368,0.372,0.003,0.0,0.805,7396966657.47054,0.484,0.0,0.01,1.2433,8141537937.61068
2002-01-01,0.484,0.0,0.01,1.2433,8141537937.61068,0.395,0.0,0.016,1.3409,8397912509.09679,0.443,0.0,0.01,1.3446,8285075872.27307,0.445,0.001,0.007,1.0612,8497545598.08352,0.403,0.001,0.008,0.9886,7925673448.41368,0.57,0.0,0.009,1.4019,7905485216.17852
2003-01-01,0.57,0.0,0.009,1.4019,7905485216.17852,0.484,0.0,0.01,1.2433,8141537937.61068,0.395,0.0,0.016,1.3409,8397912509.09679,0.443,0.0,0.01,1.3446,8285075872.27307,0.445,0.001,0.007,1.0612,8497545598.08352,0.581,0.0,0.009,1.32859,8082364868.39357
2004-01-01,0.581,0.0,0.009,1.32859,8082364868.39357,0.57,0.0,0.009,1.4019,7905485216.17852,0.484,0.0,0.01,1.2433,8141537937.61068,0.395,0.0,0.016,1.3409,8397912509.09679,0.443,0.0,0.01,1.3446,8285075872.27307,0.603,0.0,0.005,1.47119,8773451738.91129
2005-01-01,0.603,0.0,0.005,1.47119,8773451738.91129,0.581,0.0,0.009,1.32859,8082364868.39357,0.57,0.0,0.009,1.4019,7905485216.17852,0.484,0.0,0.01,1.2433,8141537937.61068,0.395,0.0,0.016,1.3409,8397912509.09679,0.5,0.0,0.0,1.42979,9549077869.10651
2006-01-01,0.5,0.0,0.0,1.42979,9549077869.10651,0.603,0.0,0.005,1.47119,8773451738.91129,0.581,0.0,0.009,1.32859,8082364868.39357,0.57,0.0,0.009,1.4019,7905485216.17852,0.484,0.0,0.01,1.2433,8141537937.61068,0.541,0.0,0.0,1.454,11451869164.7112
2007-01-01,0.541,0.0,0.0,1.454,11451869164.7112,0.5,0.0,0.0,1.42979,9549077869.10651,0.603,0.0,0.005,1.47119,8773451738.91129,0.581,0.0,0.009,1.32859,8082364868.39357,0.57,0.0,0.009,1.4019,7905485216.17852,0.59,0.0,0.0,1.584,13120183156.7149
2008-01-01,0.59,0.0,0.0,1.584,13120183156.7149,0.541,0.0,0.0,1.454,11451869164.7112,0.5,0.0,0.0,1.42979,9549077869.10651,0.603,0.0,0.005,1.47119,8773451738.91129,0.581,0.0,0.009,1.32859,8082364868.39357,0.686,0.0,0.0,1.539,16674324634.2373
