,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,Economics: GDP
1992-01-01,0.07616,0.08,0.217,1.09184,1.088,2.717591060670558,4146513722.33019
1993-01-01,0.07189,0.159,0.217,1.11411,1.027,2.717591060670558,4160086253.1468
1994-01-01,0.07308,0.31,0.217,1.28092,1.044,2.6456919721427123,4259330999.03151
1995-01-01,0.07329,0.34,0.217,1.31371,1.047,2.5774992805940165,4730611067.02258
1996-01-01,0.05313,0.685,0.217,1.39087,0.759,2.5127335903787595,4847752842.78924
1997-01-01,0.0609,0.748,0.217,1.5571,0.87,2.4511428993974023,5020214747.45261
1998-01-01,0.144,0.689,0.132,1.571,1.026,2.3924993221445403,4790458837.17078
1999-01-01,0.144,0.85,0.132,1.749,1.043,2.3365962721715663,5484257417.17844
2000-01-01,0.164,0.986,0.132,1.71218,0.89018,2.2832460305375353,5788329609.15755
2001-01-01,0.11,1.183,0.132,2.0224,0.9494,2.1116512303233614,5489608299.66445
2002-01-01,0.117,1.473,0.132,2.19824,0.84224,2.0679826492672495,5438857106.73536
2003-01-01,0.19,1.874,0.132,2.36456,0.68056,2.0260835921224927,7511582173.37724
2004-01-01,0.171,1.91,0.132,2.47878,0.73978,1.985848638689627,8957467706.5354
2005-01-01,0.214,1.975,0.132,2.57598,0.81498,1.947180579655693,9918907108.09702
2006-01-01,0.29,2.207,0.132,2.663,0.746,1.9099896324590144,10137883299.3156
2007-01-01,0.343,2.519,0.132,2.754,0.578,1.8741927453309069,10939053365.4786
2008-01-01,0.327,2.728,0.132,2.953,0.552,1.839712978159322,10945070441.9283
2009-01-01,0.381,2.793,0.132,2.829,0.417,1.8064789504600045,10267133177.7334
2010-01-01,0.333,2.985,0.152,3.15208,0.50008,1.774424348119379,12786654498.3514
2011-01-01,0.434,3.139,0.1521,3.15432,0.44932,2.0415037979331245,15351972361.1477
2012-01-01,0.393,3.272,0.153,3.209,0.33,2.0006602430867697,14380004175.1194
2013-01-01,0.34,2.819,0.754,3.34768,0.86868,1.9614189146607892,14901750991.2012
2014-01-01,0.255,1.684,0.622,3.60528,2.17628,1.923687347174354,15654660710.108
2015-01-01,0.529,1.468,0.622,3.73004,2.79104,1.887380055846934,13578754072.4652
2016-01-01,0.564,1.65,0.623,3.61584,2.52984,2.092955359927753,15082578064.8002
2017-01-01,0.579,1.288,0.755,3.5528,2.8438,2.0500487546364377,16088437675.1648
2018-01-01,0.509,1.189452,0.799,3.651212,2.97076,2.00886602177475,16914245098.0392
2019-01-01,0.631,1.746238,0.766,4.162138,3.0469,1.969305316408398,16593720655.6402
2020-01-01,0.667,1.83769,0.766,3.22213,2.05144,1.931272661216734,15061922801.6271
2021-01-01,0.667,1.83769,0.766,3.35303816,2.18234816,1.6473047067980626,15061922801.6271
