,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Economics: GDP
1997-01-01,50.117,0.008,40.213,850426433004.077,46.148,0.0,35.46,769333330368.987,42.015,0.0,33.11,525369851353.742,38.356,0.011,28.21,368295777770.079,35.273,0.008,24.55,328187944300.908,53.877,0.008,40.478,883206452795.124
1998-01-01,53.877,0.008,40.478,883206452795.124,50.117,0.008,40.213,850426433004.077,46.148,0.0,35.46,769333330368.987,42.015,0.0,33.11,525369851353.742,38.356,0.011,28.21,368295777770.079,54.317,0.008,39.412,863711007325.493
1999-01-01,54.317,0.008,39.412,863711007325.493,53.877,0.008,40.478,883206452795.124,50.117,0.008,40.213,850426433004.077,46.148,0.0,35.46,769333330368.987,42.015,0.0,33.11,525369851353.742,58.965,0.005,39.9,599642075004.471
2000-01-01,58.965,0.005,39.9,599642075004.471,54.317,0.008,39.412,863711007325.493,53.877,0.008,40.478,883206452795.124,50.117,0.008,40.213,850426433004.077,46.148,0.0,35.46,769333330368.987,63.571,0.004,43.0,655448188259.351
2001-01-01,63.571,0.004,43.0,655448188259.351,58.965,0.005,39.9,599642075004.471,54.317,0.008,39.412,863711007325.493,53.877,0.008,40.478,883206452795.124,50.117,0.008,40.213,850426433004.077,56.539,0.006,37.86,559983704094.17
2002-01-01,56.539,0.006,37.86,559983704094.17,63.571,0.004,43.0,655448188259.351,58.965,0.005,39.9,599642075004.471,54.317,0.008,39.412,863711007325.493,53.877,0.008,40.478,883206452795.124,57.88,0.01,36.57,509795270685.19
2003-01-01,57.88,0.01,36.57,509795270685.19,56.539,0.006,37.86,559983704094.17,63.571,0.004,43.0,655448188259.351,58.965,0.005,39.9,599642075004.471,54.317,0.008,39.412,863711007325.493,60.221,0.006,38.2,558233724164.711
2004-01-01,60.221,0.006,38.2,558233724164.711,57.88,0.01,36.57,509795270685.19,56.539,0.006,37.86,559983704094.17,63.571,0.004,43.0,655448188259.351,58.965,0.005,39.9,599642075004.471,65.273,0.007,37.392,669289321944.516
2005-01-01,65.273,0.007,37.392,669289321944.516,60.221,0.006,38.2,558233724164.711,57.88,0.01,36.57,509795270685.19,56.539,0.006,37.86,559983704094.17,63.571,0.004,43.0,655448188259.351,66.88,0.16,39.202,891633826603.377
2006-01-01,66.88,0.16,39.202,891633826603.377,65.273,0.007,37.392,669289321944.516,60.221,0.006,38.2,558233724164.711,57.88,0.01,36.57,509795270685.19,56.539,0.006,37.86,559983704094.17,70.55,0.283,41.447,1107626711406.63
2007-01-01,70.55,0.283,41.447,1107626711406.63,66.88,0.16,39.202,891633826603.377,65.273,0.007,37.392,669289321944.516,60.221,0.006,38.2,558233724164.711,57.88,0.01,36.57,509795270685.19,71.851,2.034,40.866,1397114247331.17
2008-01-01,71.851,2.034,40.866,1397114247331.17,70.55,0.283,41.447,1107626711406.63,66.88,0.16,39.202,891633826603.377,65.273,0.007,37.392,669289321944.516,60.221,0.006,38.2,558233724164.711,77.081,0.689,42.901,1695855391810.9
2009-01-01,77.081,0.689,42.901,1695855391810.9,71.851,2.034,40.866,1397114247331.17,70.55,0.283,41.447,1107626711406.63,66.88,0.16,39.202,891633826603.377,65.273,0.007,37.392,669289321944.516,80.112,1.08,41.064,1666996294372.87
2010-01-01,80.112,1.08,41.064,1666996294372.87,77.081,0.689,42.901,1695855391810.9,71.851,2.034,40.866,1397114247331.17,70.55,0.283,41.447,1107626711406.63,66.88,0.16,39.202,891633826603.377,85.748,1.257,35.906,2208838108577.09
2011-01-01,85.748,1.257,35.906,2208838108577.09,80.112,1.08,41.064,1666996294372.87,77.081,0.689,42.901,1695855391810.9,71.851,2.034,40.866,1397114247331.17,70.55,0.283,41.447,1107626711406.63,87.524,2.544,38.43,2616156606666.62
2012-01-01,87.524,2.544,38.43,2616156606666.62,85.748,1.257,35.906,2208838108577.09,80.112,1.08,41.064,1666996294372.87,77.081,0.689,42.901,1695855391810.9,71.851,2.034,40.866,1397114247331.17,94.367,0.467,40.722,2465228293894.01
2013-01-01,94.367,0.467,40.722,2465228293894.01,87.524,2.544,38.43,2616156606666.62,85.748,1.257,35.906,2208838108577.09,80.112,1.08,41.064,1666996294372.87,77.081,0.689,42.901,1695855391810.9,94.995,0.0,40.334,2472819362216.69
