,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Economics: GDP
1992-01-01,0.087,0.417,1.237,4183548189.07305
1993-01-01,0.064,0.469,1.39,4105706151.75145
1994-01-01,0.048,0.475,1.515,4087337959.93191
1995-01-01,0.069,0.65,1.779,4734020036.68689
1996-01-01,0.043,0.707,1.953,5115602836.87943
1997-01-01,0.029,0.707,2.234,5197332974.13793
1998-01-01,0.029,0.769,2.324,4051147227.53346
1999-01-01,0.028,0.77,2.26,4600000000.0
2000-01-01,0.029,0.763,2.36142,6001153306.2645
2001-01-01,0.307,0.761,2.11726,5601090584.36122
2002-01-01,0.34,0.761,2.19894,5843329107.56171
2003-01-01,0.392,0.86,2.60754,6557333084.60567
2004-01-01,0.122,0.874,2.94616,7872333215.00414
2005-01-01,0.174,0.759,2.89416,9531402847.87311
2006-01-01,0.176,0.759,2.92412,11470703002.0769
2007-01-01,0.165,0.759,3.0263,12247694247.2298
2008-01-01,0.164,0.759,3.05362,14393099068.5859
2009-01-01,0.218,0.768,3.17728,10732366286.2643
2010-01-01,0.368,0.889,3.19648,13707370737.0737
2011-01-01,0.267,0.895,3.23262,18525319977.7407
2012-01-01,0.243,0.915,3.45132,19047940300.8963
2013-01-01,0.409,0.916,3.729,18093829923.2737
2014-01-01,0.289,0.92,3.94676,17098342541.4365
2015-01-01,0.269,0.923,3.67812,12930394937.8137
2016-01-01,0.243,0.923,3.77086,11400854267.7188
2017-01-01,0.481,0.993,3.4267,12128104859.1498
2018-01-01,0.481,1.007,3.55548,13567351175.0315
2019-01-01,0.497,1.1088,4.14014,13469422958.5105
2020-01-01,0.439,1.261,3.963896567,12005825769.5087
2021-01-01,0.439,1.265,4.245993947,12005825769.5087
