,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Generation_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Generation_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Generation_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Generation_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Generation_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,Economics: GDP
1997-01-01,5.885,2.252,1.803,12.087,34.733,41.067,-0.794625989944308,12294221472.7375,6.23,2.121,2.0,12.087,33.218,39.569,-0.7883614648498941,18983303571.4286,5.761,1.23,1.2,12.087,30.2755,36.0665,-0.7821949413522891,9697416974.16974,5.847,1.52,1.65,12.087,30.235,35.952,-0.7761241376092737,10829710144.9275,6.413,0.584,3.15,12.087,29.857,33.704,-0.7761241376092737,10350515463.9175,6.253,4.335,0.8,12.428,30.066,39.854,-0.8009908715870198,11315986087.1633
1998-01-01,6.253,4.335,0.8,12.428,30.066,39.854,-0.8009908715870198,11315986087.1633,5.885,2.252,1.803,12.087,34.733,41.067,-0.794625989944308,12294221472.7375,6.23,2.121,2.0,12.087,33.218,39.569,-0.7883614648498941,18983303571.4286,5.761,1.23,1.2,12.087,30.2755,36.0665,-0.7821949413522891,9697416974.16974,5.847,1.52,1.65,12.087,30.235,35.952,-0.7761241376092737,10829710144.9275,5.595,4.211,0.565,12.428,30.012,39.253,-0.8074585407905911,15030695296.5235
1999-01-01,5.595,4.211,0.565,12.428,30.012,39.253,-0.8074585407905911,15030695296.5235,6.253,4.335,0.8,12.428,30.066,39.854,-0.8009908715870198,11315986087.1633,5.885,2.252,1.803,12.087,34.733,41.067,-0.794625989944308,12294221472.7375,6.23,2.121,2.0,12.087,33.218,39.569,-0.7883614648498941,18983303571.4286,5.761,1.23,1.2,12.087,30.2755,36.0665,-0.7821949413522891,9697416974.16974,6.623,3.627,1.7,12.116,27.362,35.912,-0.8140315077244498,13627323284.5405
2000-01-01,6.623,3.627,1.7,12.116,27.362,35.912,-0.8140315077244498,13627323284.5405,5.595,4.211,0.565,12.428,30.012,39.253,-0.8074585407905911,15030695296.5235,6.253,4.335,0.8,12.428,30.066,39.854,-0.8009908715870198,11315986087.1633,5.885,2.252,1.803,12.087,34.733,41.067,-0.794625989944308,12294221472.7375,6.23,2.121,2.0,12.087,33.218,39.569,-0.7883614648498941,18983303571.4286,6.29,5.584,0.964,12.019,27.4082,38.3182,-0.8207123649630395,13245833843.5454
2001-01-01,6.29,5.584,0.964,12.019,27.4082,38.3182,-0.8207123649630395,13245833843.5454,6.623,3.627,1.7,12.116,27.362,35.912,-0.8140315077244498,13627323284.5405,5.595,4.211,0.565,12.428,30.012,39.253,-0.8074585407905911,15030695296.5235,6.253,4.335,0.8,12.428,30.066,39.854,-0.8009908715870198,11315986087.1633,5.885,2.252,1.803,12.087,34.733,41.067,-0.794625989944308,12294221472.7375,6.135,8.017,0.83,11.844,27.33136,40.65336,-0.6241507610008805,14183497963.1071
2002-01-01,6.135,8.017,0.83,11.844,27.33136,40.65336,-0.6241507610008805,14183497963.1071,6.29,5.584,0.964,12.019,27.4082,38.3182,-0.8207123649630395,13245833843.5454,6.623,3.627,1.7,12.116,27.362,35.912,-0.8140315077244498,13627323284.5405,5.595,4.211,0.565,12.428,30.012,39.253,-0.8074585407905911,15030695296.5235,6.253,4.335,0.8,12.428,30.066,39.854,-0.8009908715870198,11315986087.1633,6.181,8.335,2.04,12.95,28.27948,40.75548,-0.6280708701163366,16402846413.0958
2003-01-01,6.181,8.335,2.04,12.95,28.27948,40.75548,-0.6280708701163366,16402846413.0958,6.135,8.017,0.83,11.844,27.33136,40.65336,-0.6241507610008805,14183497963.1071,6.29,5.584,0.964,12.019,27.4082,38.3182,-0.8207123649630395,13245833843.5454,6.623,3.627,1.7,12.116,27.362,35.912,-0.8140315077244498,13627323284.5405,5.595,4.211,0.565,12.428,30.012,39.253,-0.8074585407905911,15030695296.5235,6.026,6.772,1.283,12.125,28.01322,39.52822,-0.6320405325888668,21144983551.6823
2004-01-01,6.026,6.772,1.283,12.125,28.01322,39.52822,-0.6320405325888668,21144983551.6823,6.181,8.335,2.04,12.95,28.27948,40.75548,-0.6280708701163366,16402846413.0958,6.135,8.017,0.83,11.844,27.33136,40.65336,-0.6241507610008805,14183497963.1071,6.29,5.584,0.964,12.019,27.4082,38.3182,-0.8207123649630395,13245833843.5454,6.623,3.627,1.7,12.116,27.362,35.912,-0.8140315077244498,13627323284.5405,5.092,6.62,0.741,12.332,27.82862,38.79962,-0.6360606939867173,26157894736.8421
2005-01-01,5.092,6.62,0.741,12.332,27.82862,38.79962,-0.6360606939867173,26157894736.8421,6.026,6.772,1.283,12.125,28.01322,39.52822,-0.6320405325888668,21144983551.6823,6.181,8.335,2.04,12.95,28.27948,40.75548,-0.6280708701163366,16402846413.0958,6.135,8.017,0.83,11.844,27.33136,40.65336,-0.6241507610008805,14183497963.1071,6.29,5.584,0.964,12.019,27.4082,38.3182,-0.8207123649630395,13245833843.5454,4.883,8.38,0.799,12.638,28.7814,41.2454,-0.640132324089756,29869283400.0381
2006-01-01,4.883,8.38,0.799,12.638,28.7814,41.2454,-0.640132324089756,29869283400.0381,5.092,6.62,0.741,12.332,27.82862,38.79962,-0.6360606939867173,26157894736.8421,6.026,6.772,1.283,12.125,28.01322,39.52822,-0.6320405325888668,21144983551.6823,6.181,8.335,2.04,12.95,28.27948,40.75548,-0.6280708701163366,16402846413.0958,6.135,8.017,0.83,11.844,27.33136,40.65336,-0.6241507610008805,14183497963.1071,4.907,8.882,1.139,12.392,30.03836,42.68836,-0.6442564176692798,34379808888.6039
