,Electricity: Distribution Losses_lag1,Electricity: Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Imports,Population: Growth Rate,Economics: GDP
1997-01-01,0.01841,0.0,2.618725037473376,2586550747.09844,0.01624,0.0,2.6891463872095427,2379518099.2266,0.01442,0.0,2.763459868423251,1895290623.44033,0.01435,0.0,2.841997323931748,3199536227.94818,0.0133,0.0,2.841997323931748,3356692517.86417,0.01974,0.0,2.5518978495563176,2447668984.53131
1998-01-01,0.01974,0.0,2.5518978495563176,2447668984.53131,0.01841,0.0,2.618725037473376,2586550747.09844,0.01624,0.0,2.6891463872095427,2379518099.2266,0.01442,0.0,2.763459868423251,1895290623.44033,0.01435,0.0,2.841997323931748,3199536227.94818,0.02184,0.0,2.48839651246624,2804902248.28537
1999-01-01,0.02184,0.0,2.48839651246624,2804902248.28537,0.01974,0.0,2.5518978495563176,2447668984.53131,0.01841,0.0,2.618725037473376,2586550747.09844,0.01624,0.0,2.6891463872095427,2379518099.2266,0.01442,0.0,2.763459868423251,1895290623.44033,0.02436,0.0,2.4279787733468727,3389566982.51573
2000-01-01,0.02436,0.0,2.4279787733468727,3389566982.51573,0.02184,0.0,2.48839651246624,2804902248.28537,0.01974,0.0,2.5518978495563176,2447668984.53131,0.01841,0.0,2.618725037473376,2586550747.09844,0.01624,0.0,2.6891463872095427,2379518099.2266,0.049,0.0,2.3704253490342704,2968369991.46729
2001-01-01,0.049,0.0,2.3704253490342704,2968369991.46729,0.02436,0.0,2.4279787733468727,3389566982.51573,0.02184,0.0,2.48839651246624,2804902248.28537,0.01974,0.0,2.5518978495563176,2447668984.53131,0.01841,0.0,2.618725037473376,2586550747.09844,0.064,0.0667,3.5630706945988155,3190371050.45524
2002-01-01,0.064,0.0667,3.5630706945988155,3190371050.45524,0.049,0.0,2.3704253490342704,2968369991.46729,0.02436,0.0,2.4279787733468727,3389566982.51573,0.02184,0.0,2.48839651246624,2804902248.28537,0.01974,0.0,2.5518978495563176,2447668984.53131,0.057,0.1105,3.440483823723332,3622350203.94595
2003-01-01,0.057,0.1105,3.440483823723332,3622350203.94595,0.064,0.0667,3.5630706945988155,3190371050.45524,0.049,0.0,2.3704253490342704,2968369991.46729,0.02436,0.0,2.4279787733468727,3389566982.51573,0.02184,0.0,2.48839651246624,2804902248.28537,0.069,0.0692,3.3260515579049006,4740768355.22974
2004-01-01,0.069,0.0692,3.3260515579049006,4740768355.22974,0.057,0.1105,3.440483823723332,3622350203.94595,0.064,0.0667,3.5630706945988155,3190371050.45524,0.049,0.0,2.3704253490342704,2968369991.46729,0.02436,0.0,2.4279787733468727,3389566982.51573,0.0764,0.0962,3.2189864102577896,5451688868.42974
2005-01-01,0.0764,0.0962,3.2189864102577896,5451688868.42974,0.069,0.0692,3.3260515579049006,4740768355.22974,0.057,0.1105,3.440483823723332,3622350203.94595,0.064,0.0667,3.5630706945988155,3190371050.45524,0.049,0.0,2.3704253490342704,2968369991.46729,0.082,0.1253,3.1185991281327636,6146352742.03313
2006-01-01,0.082,0.1253,3.1185991281327636,6146352742.03313,0.0764,0.0962,3.2189864102577896,5451688868.42974,0.069,0.0692,3.3260515579049006,4740768355.22974,0.057,0.1105,3.440483823723332,3622350203.94595,0.064,0.0667,3.5630706945988155,3190371050.45524,0.0849,0.1393,3.0242838387065993,6547420133.69942
2007-01-01,0.0849,0.1393,3.0242838387065993,6547420133.69942,0.082,0.1253,3.1185991281327636,6146352742.03313,0.0764,0.0962,3.2189864102577896,5451688868.42974,0.069,0.0692,3.3260515579049006,4740768355.22974,0.057,0.1105,3.440483823723332,3622350203.94595,0.103,0.124,2.935505810883762,7625723123.54939
2008-01-01,0.103,0.124,2.935505810883762,7625723123.54939,0.0849,0.1393,3.0242838387065993,6547420133.69942,0.082,0.1253,3.1185991281327636,6146352742.03313,0.0764,0.0962,3.2189864102577896,5451688868.42974,0.069,0.0692,3.3260515579049006,4740768355.22974,0.095,0.1357,2.851791311228362,9451436358.96861
2009-01-01,0.095,0.1357,2.851791311228362,9451436358.96861,0.103,0.124,2.935505810883762,7625723123.54939,0.0849,0.1393,3.0242838387065993,6547420133.69942,0.082,0.1253,3.1185991281327636,6146352742.03313,0.0764,0.0962,3.2189864102577896,5451688868.42974,0.102,0.1446,2.7727191474953377,9450697335.53565
2010-01-01,0.102,0.1446,2.7727191474953377,9450697335.53565,0.095,0.1357,2.851791311228362,9451436358.96861,0.103,0.124,2.935505810883762,7625723123.54939,0.0849,0.1393,3.0242838387065993,6547420133.69942,0.082,0.1253,3.1185991281327636,6146352742.03313,0.1031,0.3845,2.697913581050657,10109618964.2848
2011-01-01,0.1031,0.3845,2.697913581050657,10109618964.2848,0.102,0.1446,2.7727191474953377,9450697335.53565,0.095,0.1357,2.851791311228362,9451436358.96861,0.103,0.124,2.935505810883762,7625723123.54939,0.0849,0.1393,3.0242838387065993,6547420133.69942,0.1148,0.4952,3.2278947895819607,12080296644.0643
2012-01-01,0.1148,0.4952,3.2278947895819607,12080296644.0643,0.1031,0.3845,2.697913581050657,10109618964.2848,0.102,0.1446,2.7727191474953377,9450697335.53565,0.095,0.1357,2.851791311228362,9451436358.96861,0.103,0.124,2.935505810883762,7625723123.54939,0.1354,0.5149,3.1269598165899324,12561016091.4673
2013-01-01,0.1354,0.5149,3.1269598165899324,12561016091.4673,0.1148,0.4952,3.2278947895819607,12080296644.0643,0.1031,0.3845,2.697913581050657,10109618964.2848,0.102,0.1446,2.7727191474953377,9450697335.53565,0.095,0.1357,2.851791311228362,9451436358.96861,0.1578,0.5316,3.0321458347566637,13444301139.1384
