,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,0.00742,0.043,1.4585400450825845,1083037670.60484
1993-01-01,0.0077,0.043,1.4585400450825845,938632612.026359
1994-01-01,0.00812,0.043,1.4375724748596876,925030590.153683
1995-01-01,0.00833,0.054,1.4171992091154977,1000428393.88528
1996-01-01,0.00826,0.054,1.3973953335009062,869033856.317093
1997-01-01,0.00847,0.054,1.3781373070825158,972896267.915425
1998-01-01,0.00777,0.054,1.35940286899138,893770806.077641
1999-01-01,0.00693,0.054,1.3411709525838909,808077223.365746
2000-01-01,0.0,0.059,1.3234216064183733,870486065.883137
2001-01-01,0.025,0.046,4.469084330652618,876794723.068586
2002-01-01,0.03,0.048,4.277901313375774,825394490.159111
2003-01-01,0.029,0.046,4.102404497497334,784654423.620476
2004-01-01,0.027,0.041,3.940739426048484,915257323.3961
2005-01-01,0.028,0.0371,3.79133287660727,1117113045.65222
2006-01-01,0.025,0.037,3.6528414960376425,1273375020.26862
2007-01-01,0.03,0.037,3.524111296241977,1356199364.85882
2008-01-01,0.032,0.037,3.404145422854652,1611835901.9063
2009-01-01,0.034,0.057,3.2920782904146977,1781455092.07114
2010-01-01,0.04,0.063,3.1871546636507126,2032135246.50004
2011-01-01,0.04,0.061,3.507422530064571,2235820867.82743
2012-01-01,0.04,0.061,3.38857102643611,2333308099.46249
2013-01-01,0.04,0.067,3.277510263266608,2451625332.74584
2014-01-01,0.04,0.069,3.173498523455714,2705783272.07443
2015-01-01,0.04,0.069,3.0758853473736214,3104394858.11518
2016-01-01,0.04,0.068,2.7837389770328587,2732808556.84172
2017-01-01,0.04,0.083,2.7083457020909414,2748180473.71333
2018-01-01,0.04,0.0995,2.636928560748712,2668495742.88443
2019-01-01,0.04,0.0995,2.5691810907883426,2631434363.22693
2020-01-01,0.04,0.0995,2.5048275353922027,2841786382.19063
2021-01-01,0.040009672,0.0995,2.73869298827264,2841786382.19063
