,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1997-01-01,0.00826,0.054,1.3973953335009062,869033856.317093,0.00833,0.054,1.4171992091154977,1000428393.88528,0.00812,0.043,1.4375724748596876,925030590.153683,0.0077,0.043,1.4585400450825845,938632612.026359,0.00742,0.043,1.4585400450825845,1083037670.60484,0.00847,0.054,1.3781373070825158,972896267.915425
1998-01-01,0.00847,0.054,1.3781373070825158,972896267.915425,0.00826,0.054,1.3973953335009062,869033856.317093,0.00833,0.054,1.4171992091154977,1000428393.88528,0.00812,0.043,1.4375724748596876,925030590.153683,0.0077,0.043,1.4585400450825845,938632612.026359,0.00777,0.054,1.35940286899138,893770806.077641
1999-01-01,0.00777,0.054,1.35940286899138,893770806.077641,0.00847,0.054,1.3781373070825158,972896267.915425,0.00826,0.054,1.3973953335009062,869033856.317093,0.00833,0.054,1.4171992091154977,1000428393.88528,0.00812,0.043,1.4375724748596876,925030590.153683,0.00693,0.054,1.3411709525838909,808077223.365746
2000-01-01,0.00693,0.054,1.3411709525838909,808077223.365746,0.00777,0.054,1.35940286899138,893770806.077641,0.00847,0.054,1.3781373070825158,972896267.915425,0.00826,0.054,1.3973953335009062,869033856.317093,0.00833,0.054,1.4171992091154977,1000428393.88528,0.0,0.059,1.3234216064183733,870486065.883137
2001-01-01,0.0,0.059,1.3234216064183733,870486065.883137,0.00693,0.054,1.3411709525838909,808077223.365746,0.00777,0.054,1.35940286899138,893770806.077641,0.00847,0.054,1.3781373070825158,972896267.915425,0.00826,0.054,1.3973953335009062,869033856.317093,0.025,0.046,4.469084330652618,876794723.068586
2002-01-01,0.025,0.046,4.469084330652618,876794723.068586,0.0,0.059,1.3234216064183733,870486065.883137,0.00693,0.054,1.3411709525838909,808077223.365746,0.00777,0.054,1.35940286899138,893770806.077641,0.00847,0.054,1.3781373070825158,972896267.915425,0.03,0.048,4.277901313375774,825394490.159111
2003-01-01,0.03,0.048,4.277901313375774,825394490.159111,0.025,0.046,4.469084330652618,876794723.068586,0.0,0.059,1.3234216064183733,870486065.883137,0.00693,0.054,1.3411709525838909,808077223.365746,0.00777,0.054,1.35940286899138,893770806.077641,0.029,0.046,4.102404497497334,784654423.620476
2004-01-01,0.029,0.046,4.102404497497334,784654423.620476,0.03,0.048,4.277901313375774,825394490.159111,0.025,0.046,4.469084330652618,876794723.068586,0.0,0.059,1.3234216064183733,870486065.883137,0.00693,0.054,1.3411709525838909,808077223.365746,0.027,0.041,3.940739426048484,915257323.3961
2005-01-01,0.027,0.041,3.940739426048484,915257323.3961,0.029,0.046,4.102404497497334,784654423.620476,0.03,0.048,4.277901313375774,825394490.159111,0.025,0.046,4.469084330652618,876794723.068586,0.0,0.059,1.3234216064183733,870486065.883137,0.028,0.0371,3.79133287660727,1117113045.65222
2006-01-01,0.028,0.0371,3.79133287660727,1117113045.65222,0.027,0.041,3.940739426048484,915257323.3961,0.029,0.046,4.102404497497334,784654423.620476,0.03,0.048,4.277901313375774,825394490.159111,0.025,0.046,4.469084330652618,876794723.068586,0.025,0.037,3.6528414960376425,1273375020.26862
2007-01-01,0.025,0.037,3.6528414960376425,1273375020.26862,0.028,0.0371,3.79133287660727,1117113045.65222,0.027,0.041,3.940739426048484,915257323.3961,0.029,0.046,4.102404497497334,784654423.620476,0.03,0.048,4.277901313375774,825394490.159111,0.03,0.037,3.524111296241977,1356199364.85882
