,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Growth Rate,Economics: GDP
1997-01-01,0.185,1.486,0.3,2.574,4.676,2.9853900988770548,5772020526.10602,0.207,1.486,0.058,2.574,4.479,3.0772582623583777,5647034188.03419,0.205,1.077,0.055,3.194,4.031,3.1749599806907556,5840529411.76471,0.201,1.415,0.053,3.194,3.926,3.27906911276006,10706246370.9325,0.576,1.23,0.002,3.134,4.207,3.27906911276006,8227200892.44213,0.188,0.718,0.3,2.548,4.386,2.898848172552203,6091061291.30501
1998-01-01,0.188,0.718,0.3,2.548,4.386,2.898848172552203,6091061291.30501,0.185,1.486,0.3,2.574,4.676,2.9853900988770548,5772020526.10602,0.207,1.486,0.058,2.574,4.479,3.0772582623583777,5647034188.03419,0.205,1.077,0.055,3.194,4.031,3.1749599806907556,5840529411.76471,0.201,1.415,0.053,3.194,3.926,3.27906911276006,10706246370.9325,0.19,0.404,0.055,2.548,4.141,2.817182333947097,6215716712.29467
1999-01-01,0.19,0.404,0.055,2.548,4.141,2.817182333947097,6215716712.29467,0.188,0.718,0.3,2.548,4.386,2.898848172552203,6091061291.30501,0.185,1.486,0.3,2.574,4.676,2.9853900988770548,5772020526.10602,0.207,1.486,0.058,2.574,4.479,3.0772582623583777,5647034188.03419,0.205,1.077,0.055,3.194,4.031,3.1749599806907556,5840529411.76471,0.2,0.754,0.045,2.473,4.357,2.7399917698551497,4711259427.27273
2000-01-01,0.2,0.754,0.045,2.473,4.357,2.7399917698551497,4711259427.27273,0.19,0.404,0.055,2.548,4.141,2.817182333947097,6215716712.29467,0.188,0.718,0.3,2.548,4.386,2.898848172552203,6091061291.30501,0.185,1.486,0.3,2.574,4.676,2.9853900988770548,5772020526.10602,0.207,1.486,0.058,2.574,4.479,3.0772582623583777,5647034188.03419,0.177,1.279,0.053,2.475,4.53882,2.666918424514696,19088046305.7971
2001-01-01,0.177,1.279,0.053,2.475,4.53882,2.666918424514696,19088046305.7971,0.2,0.754,0.045,2.473,4.357,2.7399917698551497,4711259427.27273,0.19,0.404,0.055,2.548,4.141,2.817182333947097,6215716712.29467,0.188,0.718,0.3,2.548,4.386,2.898848172552203,6091061291.30501,0.185,1.486,0.3,2.574,4.676,2.9853900988770548,5772020526.10602,0.162,1.202,0.012,2.55,4.5667,3.656167537331139,7438189100.33333
2002-01-01,0.162,1.202,0.012,2.55,4.5667,3.656167537331139,7438189100.33333,0.177,1.279,0.053,2.475,4.53882,2.666918424514696,19088046305.7971,0.2,0.754,0.045,2.473,4.357,2.7399917698551497,4711259427.27273,0.19,0.404,0.055,2.548,4.141,2.817182333947097,6215716712.29467,0.188,0.718,0.3,2.548,4.386,2.898848172552203,6091061291.30501,0.329,1.334,0.02,2.57,4.41352,3.5272069421381924,8728038525.14034
2003-01-01,0.329,1.334,0.02,2.57,4.41352,3.5272069421381924,8728038525.14034,0.162,1.202,0.012,2.55,4.5667,3.656167537331139,7438189100.33333,0.177,1.279,0.053,2.475,4.53882,2.666918424514696,19088046305.7971,0.2,0.754,0.045,2.473,4.357,2.7399917698551497,4711259427.27273,0.19,0.404,0.055,2.548,4.141,2.817182333947097,6215716712.29467,0.2,1.331,0.003,2.5039,4.57658,3.4070338091025323,8937567059.87754
2004-01-01,0.2,1.331,0.003,2.5039,4.57658,3.4070338091025323,8937567059.87754,0.329,1.334,0.02,2.57,4.41352,3.5272069421381924,8728038525.14034,0.162,1.202,0.012,2.55,4.5667,3.656167537331139,7438189100.33333,0.177,1.279,0.053,2.475,4.53882,2.666918424514696,19088046305.7971,0.2,0.754,0.045,2.473,4.357,2.7399917698551497,4711259427.27273,1.012,1.395,0.001,2.443,4.60852,3.29477955570429,10297483481.223
2005-01-01,1.012,1.395,0.001,2.443,4.60852,3.29477955570429,10297483481.223,0.2,1.331,0.003,2.5039,4.57658,3.4070338091025323,8937567059.87754,0.329,1.334,0.02,2.57,4.41352,3.5272069421381924,8728038525.14034,0.162,1.202,0.012,2.55,4.5667,3.656167537331139,7438189100.33333,0.177,1.279,0.053,2.475,4.53882,2.666918424514696,19088046305.7971,0.834,1.735,0.071,2.443,4.82758,3.189686419658311,11964484667.9102
2006-01-01,0.834,1.735,0.071,2.443,4.82758,3.189686419658311,11964484667.9102,1.012,1.395,0.001,2.443,4.60852,3.29477955570429,10297483481.223,0.2,1.331,0.003,2.5039,4.57658,3.4070338091025323,8937567059.87754,0.329,1.334,0.02,2.57,4.41352,3.5272069421381924,8728038525.14034,0.162,1.202,0.012,2.55,4.5667,3.656167537331139,7438189100.33333,0.477,1.323,0.014,2.45,5.6778,3.0910903311463644,14451902467.9315
