,Electricity: Distribution Losses,Electricity: Imports,Population: Density,Economics: GDP
1992-01-01,0.01162,0.0,52.76556798409147,2533727592.04165
1993-01-01,0.01204,0.0,54.5376192448974,2533727592.04165
1994-01-01,0.01253,0.0,56.30967050570331,2791435272.26653
1995-01-01,0.079,0.0,58.08172176650924,3441205692.9166
1996-01-01,0.054,0.0,59.85377302731517,3506695719.57259
1997-01-01,0.073,0.0,61.62582428812108,3443413388.6909
1998-01-01,0.083,0.0,63.39787554892701,3120425502.58253
1999-01-01,0.113,0.0,65.16992680973291,3517242477.2285
2000-01-01,0.085,0.0,66.94197807053885,3654031716.26881
2001-01-01,0.124,0.002,68.18189908028835,3984000517.02345
2002-01-01,0.096,0.007,69.42182009003784,4284028482.53766
2003-01-01,0.092,0.013,70.66174109978733,4658246918.27092
2004-01-01,0.17,0.018,71.90166210953683,5337833248.03924
2005-01-01,0.107,0.029,73.14158311928632,6293046161.83262
2006-01-01,0.142,0.054,74.38150412903582,7274595706.67154
2007-01-01,0.216,0.103,75.62142513878531,8639235842.18075
2008-01-01,0.164,0.276,76.86134614853482,10351914093.1723
2009-01-01,0.178,0.725,78.10126715828432,10401851850.6108
2010-01-01,0.286,1.547,79.34118816803381,11242275198.9783
2011-01-01,0.296,1.826,80.50559394592206,12829541141.0127
2012-01-01,0.262,2.105,81.66999972381032,14054443213.4639
2013-01-01,0.499,2.279,82.83440550169857,15227991395.2201
2014-01-01,0.717,1.803,83.99881127958682,16702610842.4025
2015-01-01,0.81,1.547,85.16321705747508,18049954289.4229
2016-01-01,0.936,1.582,86.24514817576711,20016747754.0192
2017-01-01,1.332,1.442,87.32707929405916,22177200511.5811
2018-01-01,1.09,1.567,88.4090104123512,24571753583.4922
2019-01-01,1.36,3.063,89.49094153064324,27089389786.979
2020-01-01,1.309,3.82,90.57287264893527,25808561550.9514
2021-01-01,1.392357143,3.605209587,91.5974866738476,25808561550.9514
