,Electricity: Distribution Losses,Electricity: Imports,Electricity: Net Consumption,Population: Growth Rate,Economics: GDP
1992-01-01,0.377,0.0,2.318,3.010074674981802,12071775380.6503
1993-01-01,0.375,0.0,2.324,3.010074674981802,16181813512.4483
1994-01-01,0.507,0.0,2.231,2.922116777877531,8902446188.0456
1995-01-01,0.608,0.0,2.203,2.8391534000256997,10864773036.8363
1996-01-01,0.587,0.0,2.341,2.7607708797270107,11093539497.029
1997-01-01,0.612,0.0,2.483,2.6866000090231563,10789457915.0457
1998-01-01,0.629,0.0,2.505,2.616310218457977,11298144511.6364
1999-01-01,0.695,0.0,2.645,2.549604651432287,11565827385.6884
2000-01-01,0.761,0.0,2.68272,2.486215973331573,10566578952.7857
2001-01-01,0.909,0.0,2.59298,3.171594730152423,10953485244.4239
2002-01-01,0.763,0.0,2.49792,3.074096836874346,12417251815.8801
2003-01-01,0.877,0.0,2.76264,2.982414526260092,15970315751.0277
2004-01-01,0.79,0.0,3.2696,2.8960425330672357,18826215278.057
2005-01-01,0.698,0.0,3.25408,2.814532475470606,19509850837.2745
2006-01-01,0.629,0.0,3.76074,2.7374850691871733,20910513974.6215
2007-01-01,0.49,0.0,4.5598,2.664543586348888,23928251333.7444
2008-01-01,0.538,0.0,4.94168,2.5953883329816003,27715144580.2691
2009-01-01,0.54,0.0,5.03024,2.5297319647136947,27932971683.4215
2010-01-01,0.58,0.0,5.1236,2.4673154959425028,27507499709.071
2011-01-01,1.091,0.0,4.64025,3.153842763943078,30630912184.7789
2012-01-01,1.602,1.125,4.8346,3.0574166501584643,30155064574.0734
2013-01-01,1.879,0.754,5.03193,2.9667119063708483,33728622819.0912
2014-01-01,2.114,0.729,5.27783,2.8812339944083316,36386546917.6861
2015-01-01,1.663,0.018,6.04655,2.8005437751309716,32210232911.6626
2016-01-01,1.693,0.017,5.24557,3.023069142070839,33814337900.2831
2017-01-01,1.79,0.018243,6.061043,2.934361369007525,36098550141.5897
2018-01-01,1.805,0.01937,6.4962,2.8507112007896,39973839064.6084
2019-01-01,1.864,0.019134,6.509974,2.7716980928058956,39670977332.7348
2020-01-01,1.981,0.02,6.336891475,2.6969468679042063,40804449726.0184
2021-01-01,1.981,0.01987146,6.084346389,2.686656459208337,40804449726.0184
