,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,43.641,42.233376,1.936,114.343,473.652624,-40.297376,1.0373953319611429,628546387972.131,39.657,40.596119,2.468,112.916,466.698881,-38.128119,1.0482700363849478,604031623433.401,36.599,44.821858,0.941,112.081,459.642142,-43.880858,1.0593751486410736,578139279437.61,36.672,29.364197,2.692,107.838,455.060803,-26.672197,1.0707180697843657,577170761956.438,36.734,26.224179,1.836,108.265,444.724821,-24.388179,1.0707180697843657,592387689252.916,39.936,43.008501,7.47,110.484,482.487399,-35.538501,1.026743938274304,654986999855.554
1998-01-01,39.936,43.008501,7.47,110.484,482.487399,-35.538501,1.026743938274304,654986999855.554,43.641,42.233376,1.936,114.343,473.652624,-40.297376,1.0373953319611429,628546387972.131,39.657,40.596119,2.468,112.916,466.698881,-38.128119,1.0482700363849478,604031623433.401,36.599,44.821858,0.941,112.081,459.642142,-43.880858,1.0593751486410736,578139279437.61,36.672,29.364197,2.692,107.838,455.060803,-26.672197,1.0707180697843657,577170761956.438,38.801,39.502108,11.683276,108.035,479.436168,-27.818832,1.0163090467427272,634000000000.0
1999-01-01,38.801,39.502108,11.683276,108.035,479.436168,-27.818832,1.0163090467427272,634000000000.0,39.936,43.008501,7.47,110.484,482.487399,-35.538501,1.026743938274304,654986999855.554,43.641,42.233376,1.936,114.343,473.652624,-40.297376,1.0373953319611429,628546387972.131,39.657,40.596119,2.468,112.916,466.698881,-38.128119,1.0482700363849478,604031623433.401,36.599,44.821858,0.941,112.081,459.642142,-43.880858,1.0593751486410736,578139279437.61,43.115,42.911308,12.953,109.007,490.033692,-29.958308,1.0060841227850332,678412196271.118
2000-01-01,43.115,42.911308,12.953,109.007,490.033692,-29.958308,1.0060841227850332,678412196271.118,38.801,39.502108,11.683276,108.035,479.436168,-27.818832,1.0163090467427272,634000000000.0,39.936,43.008501,7.47,110.484,482.487399,-35.538501,1.026743938274304,654986999855.554,43.641,42.233376,1.936,114.343,473.652624,-40.297376,1.0373953319611429,628546387972.131,39.657,40.596119,2.468,112.916,466.698881,-38.128119,1.0482700363849478,604031623433.401,47.271,48.515476,12.685,112.052,505.225524,-35.830476,0.9960628921739058,744773415931.587
2001-01-01,47.271,48.515476,12.685,112.052,505.225524,-35.830476,0.9960628921739058,744773415931.587,43.115,42.911308,12.953,109.007,490.033692,-29.958308,1.0060841227850332,678412196271.118,38.801,39.502108,11.683276,108.035,479.436168,-27.818832,1.0163090467427272,634000000000.0,39.936,43.008501,7.47,110.484,482.487399,-35.538501,1.026743938274304,654986999855.554,43.641,42.233376,1.936,114.343,473.652624,-40.297376,1.0373953319611429,628546387972.131,44.365,38.401598,16.105612,113.614,505.604054,-22.295986,1.069017221184683,738981792355.372
2002-01-01,44.365,38.401598,16.105612,113.614,505.604054,-22.295986,1.069017221184683,738981792355.372,47.271,48.515476,12.685,112.052,505.225524,-35.830476,0.9960628921739058,744773415931.587,43.115,42.911308,12.953,109.007,490.033692,-29.958308,1.0060841227850332,678412196271.118,38.801,39.502108,11.683276,108.035,479.436168,-27.818832,1.0163090467427272,634000000000.0,39.936,43.008501,7.47,110.484,482.487399,-35.538501,1.026743938274304,654986999855.554,49.353,36.536479,15.231079,116.152,513.18464,-21.3054,1.0577101178744048,760649334098.005
2003-01-01,49.353,36.536479,15.231079,116.152,513.18464,-21.3054,1.0577101178744048,760649334098.005,44.365,38.401598,16.105612,113.614,505.604054,-22.295986,1.069017221184683,738981792355.372,47.271,48.515476,12.685,112.052,505.225524,-35.830476,0.9960628921739058,744773415931.587,43.115,42.911308,12.953,109.007,490.033692,-29.958308,1.0060841227850332,678412196271.118,38.801,39.502108,11.683276,108.035,479.436168,-27.818832,1.0163090467427272,634000000000.0,38.315,29.324625,23.584513,121.025,528.233048,-5.740112,1.0466397038292994,895540646634.787
2004-01-01,38.315,29.324625,23.584513,121.025,528.233048,-5.740112,1.0466397038292994,895540646634.787,49.353,36.536479,15.231079,116.152,513.18464,-21.3054,1.0577101178744048,760649334098.005,44.365,38.401598,16.105612,113.614,505.604054,-22.295986,1.069017221184683,738981792355.372,47.271,48.515476,12.685,112.052,505.225524,-35.830476,0.9960628921739058,744773415931.587,43.115,42.911308,12.953,109.007,490.033692,-29.958308,1.0060841227850332,678412196271.118,37.72,33.007487,22.482109,121.748,534.064122,-10.525378,1.0357986241769577,1026690238278.25
2005-01-01,37.72,33.007487,22.482109,121.748,534.064122,-10.525378,1.0357986241769577,1026690238278.25,38.315,29.324625,23.584513,121.025,528.233048,-5.740112,1.0466397038292994,895540646634.787,49.353,36.536479,15.231079,116.152,513.18464,-21.3054,1.0577101178744048,760649334098.005,44.365,38.401598,16.105612,113.614,505.604054,-22.295986,1.069017221184683,738981792355.372,47.271,48.515476,12.685,112.052,505.225524,-35.830476,0.9960628921739058,744773415931.587,22.132,43.528075,19.676695,124.381,560.37862,-23.85138,1.0251798256475488,1173108598778.68
2006-01-01,22.132,43.528075,19.676695,124.381,560.37862,-23.85138,1.0251798256475488,1173108598778.68,37.72,33.007487,22.482109,121.748,534.064122,-10.525378,1.0357986241769577,1026690238278.25,38.315,29.324625,23.584513,121.025,528.233048,-5.740112,1.0466397038292994,895540646634.787,49.353,36.536479,15.231079,116.152,513.18464,-21.3054,1.0577101178744048,760649334098.005,44.365,38.401598,16.105612,113.614,505.604054,-22.295986,1.069017221184683,738981792355.372,23.225,42.735776,23.623767,125.906,550.193991,-19.112009,1.0147765412710343,1319264809590.97
