,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
1992-01-01,0.00658,0.043,0.08742,4.8142661769804675,3.167329885581913,1411917558.45855
1993-01-01,0.00665,0.043,0.08835,4.966749868375432,3.167329885581913,1278781166.72188
1994-01-01,0.00693,0.043,0.09207,5.119233559770396,3.0700900072674515,851174350.649409
1995-01-01,0.007,0.043,0.093,5.271717251165359,2.9786429865841586,1115389731.79119
1996-01-01,0.00714,0.043,0.09486,5.424200942560322,2.8924861507178825,1007791186.20106
1997-01-01,0.00728,0.043,0.09672,5.576684633955286,2.8111733508712593,937741468.029676
1998-01-01,0.00714,0.043,0.09486,5.72916832535025,2.7343072345623125,967338348.658314
1999-01-01,0.00721,0.03975,0.09579,5.881652016745213,2.6615327519748067,999477510.686632
2000-01-01,0.0,0.03975,0.105,6.034135708140177,2.5925316724083385,914500299.097034
2001-01-01,0.0,0.04,0.106,6.178745682072092,2.3965316811955883,931833302.752857
2002-01-01,0.0,0.04,0.106,6.323355656004006,2.3404422414003325,991387870.12463
2003-01-01,0.0,0.04,0.107,6.467965629935922,2.286918240864854,1139754799.16304
2004-01-01,0.0,0.0397,0.149,6.612575603867835,2.235787606270057,1270080250.65268
2005-01-01,0.0,0.038,0.159,6.757185577799751,2.186893316536595,1337362392.15225
2006-01-01,0.0,0.038,0.166,6.901795551731666,2.1400917921659692,1460561215.4447
2007-01-01,0.0,0.038,0.16,7.046405525663581,2.0952514870660335,1697565948.65323
2008-01-01,0.0,0.044,0.16,7.191015499595495,2.052251653772017,1985240986.18508
2009-01-01,0.0,0.044,0.159,7.33562547352741,2.0109812576547723,2059094048.26019
2010-01-01,0.0,0.0441,0.1591,7.480235447459325,1.971338019556469,2142591375.85053
2011-01-01,0.0,0.0442,0.1713,7.531365492532714,0.6835352367251412,2437982839.63072
2012-01-01,0.0,0.0443,0.1744,7.5824955376061025,0.6788947518757925,2510126699.05356
2013-01-01,0.01,0.0443,0.1284,7.633625582679491,0.6743168501689614,1691544192.38242
2014-01-01,0.01,0.0443,0.1594,7.684755627752879,0.6698002740585266,1894813504.52945
2015-01-01,0.01,0.0383,0.1594,7.735885672826268,0.6653437994662701,1695825708.45604
2016-01-01,0.01,0.0383,0.1604,7.904007807584144,2.1732758454333903,1825018190.85071
2017-01-01,0.01,0.0383,0.1414,8.072129942342018,2.127049198971636,2072349794.23301
2018-01-01,0.01,0.0383,0.141,8.240252077099894,2.082748121731763,2220978978.17342
2019-01-01,0.01,0.0383,0.14094,8.408374211857767,2.0402547541609146,2220307368.69593
2020-01-01,0.01,0.0383,0.141,8.576496346615643,1.9994606629279672,2380087758.04137
2021-01-01,0.01,0.0383,0.141064,8.766006831636126,2.209649224595828,2380087758.04137
