,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
1997-01-01,0.00714,0.043,0.09486,5.424200942560322,2.8924861507178825,1007791186.20106,0.007,0.043,0.093,5.271717251165359,2.9786429865841586,1115389731.79119,0.00693,0.043,0.09207,5.119233559770396,3.0700900072674515,851174350.649409,0.00665,0.043,0.08835,4.966749868375432,3.167329885581913,1278781166.72188,0.00658,0.043,0.08742,4.8142661769804675,3.167329885581913,1411917558.45855,0.00728,0.043,0.09672,5.576684633955286,2.8111733508712593,937741468.029676
1998-01-01,0.00728,0.043,0.09672,5.576684633955286,2.8111733508712593,937741468.029676,0.00714,0.043,0.09486,5.424200942560322,2.8924861507178825,1007791186.20106,0.007,0.043,0.093,5.271717251165359,2.9786429865841586,1115389731.79119,0.00693,0.043,0.09207,5.119233559770396,3.0700900072674515,851174350.649409,0.00665,0.043,0.08835,4.966749868375432,3.167329885581913,1278781166.72188,0.00714,0.043,0.09486,5.72916832535025,2.7343072345623125,967338348.658314
1999-01-01,0.00714,0.043,0.09486,5.72916832535025,2.7343072345623125,967338348.658314,0.00728,0.043,0.09672,5.576684633955286,2.8111733508712593,937741468.029676,0.00714,0.043,0.09486,5.424200942560322,2.8924861507178825,1007791186.20106,0.007,0.043,0.093,5.271717251165359,2.9786429865841586,1115389731.79119,0.00693,0.043,0.09207,5.119233559770396,3.0700900072674515,851174350.649409,0.00721,0.03975,0.09579,5.881652016745213,2.6615327519748067,999477510.686632
2000-01-01,0.00721,0.03975,0.09579,5.881652016745213,2.6615327519748067,999477510.686632,0.00714,0.043,0.09486,5.72916832535025,2.7343072345623125,967338348.658314,0.00728,0.043,0.09672,5.576684633955286,2.8111733508712593,937741468.029676,0.00714,0.043,0.09486,5.424200942560322,2.8924861507178825,1007791186.20106,0.007,0.043,0.093,5.271717251165359,2.9786429865841586,1115389731.79119,0.0,0.03975,0.105,6.034135708140177,2.5925316724083385,914500299.097034
2001-01-01,0.0,0.03975,0.105,6.034135708140177,2.5925316724083385,914500299.097034,0.00721,0.03975,0.09579,5.881652016745213,2.6615327519748067,999477510.686632,0.00714,0.043,0.09486,5.72916832535025,2.7343072345623125,967338348.658314,0.00728,0.043,0.09672,5.576684633955286,2.8111733508712593,937741468.029676,0.00714,0.043,0.09486,5.424200942560322,2.8924861507178825,1007791186.20106,0.0,0.04,0.106,6.178745682072092,2.3965316811955883,931833302.752857
2002-01-01,0.0,0.04,0.106,6.178745682072092,2.3965316811955883,931833302.752857,0.0,0.03975,0.105,6.034135708140177,2.5925316724083385,914500299.097034,0.00721,0.03975,0.09579,5.881652016745213,2.6615327519748067,999477510.686632,0.00714,0.043,0.09486,5.72916832535025,2.7343072345623125,967338348.658314,0.00728,0.043,0.09672,5.576684633955286,2.8111733508712593,937741468.029676,0.0,0.04,0.106,6.323355656004006,2.3404422414003325,991387870.12463
2003-01-01,0.0,0.04,0.106,6.323355656004006,2.3404422414003325,991387870.12463,0.0,0.04,0.106,6.178745682072092,2.3965316811955883,931833302.752857,0.0,0.03975,0.105,6.034135708140177,2.5925316724083385,914500299.097034,0.00721,0.03975,0.09579,5.881652016745213,2.6615327519748067,999477510.686632,0.00714,0.043,0.09486,5.72916832535025,2.7343072345623125,967338348.658314,0.0,0.04,0.107,6.467965629935922,2.286918240864854,1139754799.16304
2004-01-01,0.0,0.04,0.107,6.467965629935922,2.286918240864854,1139754799.16304,0.0,0.04,0.106,6.323355656004006,2.3404422414003325,991387870.12463,0.0,0.04,0.106,6.178745682072092,2.3965316811955883,931833302.752857,0.0,0.03975,0.105,6.034135708140177,2.5925316724083385,914500299.097034,0.00721,0.03975,0.09579,5.881652016745213,2.6615327519748067,999477510.686632,0.0,0.0397,0.149,6.612575603867835,2.235787606270057,1270080250.65268
2005-01-01,0.0,0.0397,0.149,6.612575603867835,2.235787606270057,1270080250.65268,0.0,0.04,0.107,6.467965629935922,2.286918240864854,1139754799.16304,0.0,0.04,0.106,6.323355656004006,2.3404422414003325,991387870.12463,0.0,0.04,0.106,6.178745682072092,2.3965316811955883,931833302.752857,0.0,0.03975,0.105,6.034135708140177,2.5925316724083385,914500299.097034,0.0,0.038,0.159,6.757185577799751,2.186893316536595,1337362392.15225
2006-01-01,0.0,0.038,0.159,6.757185577799751,2.186893316536595,1337362392.15225,0.0,0.0397,0.149,6.612575603867835,2.235787606270057,1270080250.65268,0.0,0.04,0.107,6.467965629935922,2.286918240864854,1139754799.16304,0.0,0.04,0.106,6.323355656004006,2.3404422414003325,991387870.12463,0.0,0.04,0.106,6.178745682072092,2.3965316811955883,931833302.752857,0.0,0.038,0.166,6.901795551731666,2.1400917921659692,1460561215.4447
