,Electricity: Distribution Losses_lag1,Electricity: Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Imports,Population: Growth Rate,Economics: GDP
1997-01-01,76.957,0.124,0.9131827724873944,863746717507.397,74.46,0.755,0.9215986526145464,734547898224.101,59.613,1.63,0.9301710969106852,564324670008.238,60.981,4.5,0.9389045153399465,444731282435.515,54.618,4.98,0.9389045153399465,426915712715.856,78.768,0.089,0.9049192061915236,961603952954.233
1998-01-01,78.768,0.089,0.9049192061915236,961603952954.233,76.957,0.124,0.9131827724873944,863746717507.397,74.46,0.755,0.9215986526145464,734547898224.101,59.613,1.63,0.9301710969106852,564324670008.238,60.981,4.5,0.9389045153399465,444731282435.515,79.183,0.1,0.8968038558579792,1029043097558.91
1999-01-01,79.183,0.1,0.8968038558579792,1029043097558.91,78.768,0.089,0.9049192061915236,961603952954.233,76.957,0.124,0.9131827724873944,863746717507.397,74.46,0.755,0.9215986526145464,734547898224.101,59.613,1.63,0.9301710969106852,564324670008.238,86.21,0.366,0.888832769310691,1093997267277.1
2000-01-01,86.21,0.366,0.888832769310691,1093997267277.1,79.183,0.1,0.8968038558579792,1029043097558.91,78.768,0.089,0.9049192061915236,961603952954.233,76.957,0.124,0.9131827724873944,863746717507.397,74.46,0.755,0.9215986526145464,734547898224.101,93.826,1.546,0.8810021336484968,1211346869600.41
2001-01-01,93.826,1.546,0.8810021336484968,1211346869600.41,86.21,0.366,0.888832769310691,1093997267277.1,79.183,0.1,0.8968038558579792,1029043097558.91,78.768,0.089,0.9049192061915236,961603952954.233,76.957,0.124,0.9131827724873944,863746717507.397,103.294,1.8,0.6652350362580716,1339395718862.89
2002-01-01,103.294,1.8,0.6652350362580716,1339395718862.89,93.826,1.546,0.8810021336484968,1211346869600.41,86.21,0.366,0.888832769310691,1093997267277.1,79.183,0.1,0.8968038558579792,1029043097558.91,78.768,0.089,0.9049192061915236,961603952954.233,116.838,2.3,0.6608389043332042,1470550015077.93
2003-01-01,116.838,2.3,0.6608389043332042,1470550015077.93,103.294,1.8,0.6652350362580716,1339395718862.89,93.826,1.546,0.8810021336484968,1211346869600.41,86.21,0.366,0.888832769310691,1093997267277.1,79.183,0.1,0.8968038558579792,1029043097558.91,126.068,2.975,0.6565004936639521,1660287965663.89
2004-01-01,126.068,2.975,0.6565004936639521,1660287965663.89,116.838,2.3,0.6608389043332042,1470550015077.93,103.294,1.8,0.6652350362580716,1339395718862.89,93.826,1.546,0.8810021336484968,1211346869600.41,86.21,0.366,0.888832769310691,1093997267277.1,142.06,3.4,0.6522186748438153,1955347004965.69
2005-01-01,142.06,3.4,0.6522186748438153,1955347004965.69,126.068,2.975,0.6565004936639521,1660287965663.89,116.838,2.3,0.6608389043332042,1470550015077.93,103.294,1.8,0.6652350362580716,1339395718862.89,93.826,1.546,0.8810021336484968,1211346869600.41,170.647,5.011,0.6479923477403126,2285965892364.2
2006-01-01,170.647,5.011,0.6479923477403126,2285965892364.2,142.06,3.4,0.6522186748438153,1955347004965.69,126.068,2.975,0.6565004936639521,1660287965663.89,116.838,2.3,0.6608389043332042,1470550015077.93,103.294,1.8,0.6652350362580716,1339395718862.89,185.883,5.389,0.6438204405523454,2752131773358.92
2007-01-01,185.883,5.389,0.6438204405523454,2752131773358.92,170.647,5.011,0.6479923477403126,2285965892364.2,142.06,3.4,0.6522186748438153,1955347004965.69,126.068,2.975,0.6565004936639521,1660287965663.89,116.838,2.3,0.6608389043332042,1470550015077.93,206.171,4.251,0.6397019089041984,3550342737009.53
2008-01-01,206.171,4.251,0.6397019089041984,3550342737009.53,185.883,5.389,0.6438204405523454,2752131773358.92,170.647,5.011,0.6479923477403126,2285965892364.2,142.06,3.4,0.6522186748438153,1955347004965.69,126.068,2.975,0.6565004936639521,1660287965663.89,213.788,3.842,0.6356357349739112,4594307032667.98
2009-01-01,213.788,3.842,0.6356357349739112,4594307032667.98,206.171,4.251,0.6397019089041984,3550342737009.53,185.883,5.389,0.6438204405523454,2752131773358.92,170.647,5.011,0.6479923477403126,2285965892364.2,142.06,3.4,0.6522186748438153,1955347004965.69,225.822,6.006,0.6316209266545039,5101703073088.97
2010-01-01,225.822,6.006,0.6316209266545039,5101703073088.97,213.788,3.842,0.6356357349739112,4594307032667.98,206.171,4.251,0.6397019089041984,3550342737009.53,185.883,5.389,0.6438204405523454,2752131773358.92,170.647,5.011,0.6479923477403126,2285965892364.2,256.824,5.545,0.6276565167472355,6087163874510.73
2011-01-01,256.824,5.545,0.6276565167472355,6087163874510.73,225.822,6.006,0.6316209266545039,5101703073088.97,213.788,3.842,0.6356357349739112,4594307032667.98,206.171,4.251,0.6397019089041984,3550342737009.53,185.883,5.389,0.6438204405523454,2752131773358.92,270.07,6.562,0.6753355804010756,7551500124197.17
2012-01-01,270.07,6.562,0.6753355804010756,7551500124197.17,256.824,5.545,0.6276565167472355,6087163874510.73,225.822,6.006,0.6316209266545039,5101703073088.97,213.788,3.842,0.6356357349739112,4594307032667.98,206.171,4.251,0.6397019089041984,3550342737009.53,289.616,6.874,0.6708053929075218,8532229986993.65
2013-01-01,289.616,6.874,0.6708053929075218,8532229986993.65,270.07,6.562,0.6753355804010756,7551500124197.17,256.824,5.545,0.6276565167472355,6087163874510.73,225.822,6.006,0.6316209266545039,5101703073088.97,213.788,3.842,0.6356357349739112,4594307032667.98,314.071,7.438,0.6663355779159998,9570406235659.64
