,Electricity: Distribution Losses,Population: Growth Rate,Economics: GDP
1992-01-01,0.00105,2.3358705910135846,457388578.924144
1993-01-01,0.00105,2.3358705910135846,452881443.084162
1994-01-01,0.00105,2.282553104325368,319189200.353123
1995-01-01,0.00105,2.231615300018215,398461789.558686
1996-01-01,0.00112,2.1829013397363557,396053797.633321
1997-01-01,0.00112,2.1362687016281345,364445589.702365
1998-01-01,0.00119,2.0915867877148058,370106776.043329
1999-01-01,0.00119,2.048735702447212,382454989.945311
2000-01-01,0.008062,2.007605178393301,351136568.441921
2001-01-01,0.008618,2.2219696772102093,378512003.405071
2002-01-01,0.009174,2.1736713587368732,425964697.418664
2003-01-01,0.00973,2.12742806422706,546885184.990174
2004-01-01,0.012204,2.0831113683672893,633706149.25026
2005-01-01,0.013204,2.0406033284490857,653845122.872074
2006-01-01,0.013927,1.9997954362154993,698431827.740958
2007-01-01,0.01301,1.9605876930077275,795673128.485442
2008-01-01,0.011954,1.9228877916149951,915659192.825112
2009-01-01,0.012899,1.8866103907361704,905341090.570115
2010-01-01,0.01768,1.851676470049402,907978723.547592
2011-01-01,0.015957,2.261868468226776,1023086183.79822
2012-01-01,0.016235,2.2118395665042523,1015843368.79008
2013-01-01,0.015595,2.163975891525853,1116224161.07781
2014-01-01,0.014594,2.1181398556997273,1149587651.69395
2015-01-01,0.014706,2.074205286830343,966029542.038859
2016-01-01,0.016235,2.080206404680259,1012835518.26037
2017-01-01,0.025258,2.0378156333595383,1077439662.5798
2018-01-01,0.027364,1.9971180495295795,1188797574.94753
2019-01-01,0.03012,1.9580141946361496,1192559739.37288
2020-01-01,0.035,1.9204122501820535,1235400352.2931
2021-01-01,0.036505214,1.898368326126381,1235400352.2931
