,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Imports_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Imports_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Imports_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Imports_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Imports_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Percentage,Economics: GDP
1997-01-01,0.386,0.109,0.24,1.271,0.131,0.0648080555369607,11678424507.3634,0.368,0.151,0.02,1.168,-0.131,0.0642615145757459,11578594260.0813,0.377,0.006,0.0,1.045,-0.006,0.0636990296762938,10486784804.7265,0.344,0.081,0.1,1.042,0.019,0.0631198928257864,9582866263.46284,0.318,0.098,0.05,1.043,-0.048,0.0625233534611758,8564044016.95735,0.42,0.241,0.115,1.345,-0.126,0.0653393209956618,12614602382.3564
1998-01-01,0.42,0.241,0.115,1.345,-0.126,0.0653393209956618,12614602382.3564,0.386,0.109,0.24,1.271,0.131,0.0648080555369607,11678424507.3634,0.368,0.151,0.02,1.168,-0.131,0.0642615145757459,11578594260.0813,0.377,0.006,0.0,1.045,-0.006,0.0636990296762938,10486784804.7265,0.344,0.081,0.1,1.042,0.019,0.0631198928257864,9582866263.46284,0.425,0.068,0.077,1.345,0.009,0.0658559425377578,13684255946.6922
1999-01-01,0.425,0.068,0.077,1.345,0.009,0.0658559425377578,13684255946.6922,0.42,0.241,0.115,1.345,-0.126,0.0653393209956618,12614602382.3564,0.386,0.109,0.24,1.271,0.131,0.0648080555369607,11678424507.3634,0.368,0.151,0.02,1.168,-0.131,0.0642615145757459,11578594260.0813,0.377,0.006,0.0,1.045,-0.006,0.0636990296762938,10486784804.7265,0.474,0.128,0.001,1.354,-0.127,0.0663585174041609,14254866281.0572
2000-01-01,0.474,0.128,0.001,1.354,-0.127,0.0663585174041609,14254866281.0572,0.425,0.068,0.077,1.345,0.009,0.0658559425377578,13684255946.6922,0.42,0.241,0.115,1.345,-0.126,0.0653393209956618,12614602382.3564,0.386,0.109,0.24,1.271,0.131,0.0648080555369607,11678424507.3634,0.368,0.151,0.02,1.168,-0.131,0.0642615145757459,11578594260.0813,0.473,0.497,0.022,1.70981,-0.475,0.0668476107940326,15013629658.5671
2001-01-01,0.473,0.497,0.022,1.70981,-0.475,0.0668476107940326,15013629658.5671,0.474,0.128,0.001,1.354,-0.127,0.0663585174041609,14254866281.0572,0.425,0.068,0.077,1.345,0.009,0.0658559425377578,13684255946.6922,0.42,0.241,0.115,1.345,-0.126,0.0653393209956618,12614602382.3564,0.386,0.109,0.24,1.271,0.131,0.0648080555369607,11678424507.3634,0.5,0.379,0.13,1.72657,-0.249,0.0670296669370923,15976174337.0471
2002-01-01,0.5,0.379,0.13,1.72657,-0.249,0.0670296669370923,15976174337.0471,0.473,0.497,0.022,1.70981,-0.475,0.0668476107940326,15013629658.5671,0.474,0.128,0.001,1.354,-0.127,0.0663585174041609,14254866281.0572,0.425,0.068,0.077,1.345,0.009,0.0658559425377578,13684255946.6922,0.42,0.241,0.115,1.345,-0.126,0.0653393209956618,12614602382.3564,0.715,0.478,0.035,1.80355,-0.443,0.0672069711181805,16578820687.2209
2003-01-01,0.715,0.478,0.035,1.80355,-0.443,0.0672069711181805,16578820687.2209,0.5,0.379,0.13,1.72657,-0.249,0.0670296669370923,15976174337.0471,0.473,0.497,0.022,1.70981,-0.475,0.0668476107940326,15013629658.5671,0.474,0.128,0.001,1.354,-0.127,0.0663585174041609,14254866281.0572,0.425,0.068,0.077,1.345,0.009,0.0658559425377578,13684255946.6922,0.53,0.273,0.1,1.9552,-0.173,0.067379706991387,17271760507.042
2004-01-01,0.53,0.273,0.1,1.9552,-0.173,0.067379706991387,17271760507.042,0.715,0.478,0.035,1.80355,-0.443,0.0672069711181805,16578820687.2209,0.5,0.379,0.13,1.72657,-0.249,0.0670296669370923,15976174337.0471,0.473,0.497,0.022,1.70981,-0.475,0.0668476107940326,15013629658.5671,0.474,0.128,0.001,1.354,-0.127,0.0663585174041609,14254866281.0572,0.881,0.44,0.202,1.9802,-0.238,0.0675480488673391,18610594846.3082
2005-01-01,0.881,0.44,0.202,1.9802,-0.238,0.0675480488673391,18610594846.3082,0.53,0.273,0.1,1.9552,-0.173,0.067379706991387,17271760507.042,0.715,0.478,0.035,1.80355,-0.443,0.0672069711181805,16578820687.2209,0.5,0.379,0.13,1.72657,-0.249,0.0670296669370923,15976174337.0471,0.473,0.497,0.022,1.70981,-0.475,0.0668476107940326,15013629658.5671,0.895,0.07,0.081,1.99305,0.011,0.0677121622999292,20040642476.8988
2006-01-01,0.895,0.07,0.081,1.99305,0.011,0.0677121622999292,20040642476.8988,0.881,0.44,0.202,1.9802,-0.238,0.0675480488673391,18610594846.3082,0.53,0.273,0.1,1.9552,-0.173,0.067379706991387,17271760507.042,0.715,0.478,0.035,1.80355,-0.443,0.0672069711181805,16578820687.2209,0.5,0.379,0.13,1.72657,-0.249,0.0670296669370923,15976174337.0471,0.865,0.06,0.14889,2.127,0.08889,0.0678722046293771,22715540324.3149
