,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
2022-01-01,1.8564251775912655,5.966672378428752,4.566262688026883,12.536417965379414,5.032814598995313,-0.6251454342807516,56292293419.21043
2023-01-01,1.8070063758573827,6.521451255329155,4.595666862293423,12.392082493332033,5.352756897617568,-0.6330855845551947,59140239985.68993
2024-01-01,1.801385765488634,6.6759895981643185,4.624700599851083,12.520535458637378,5.3547779403396945,-0.6261176553828774,60440833021.79442
2025-01-01,1.8654637890697765,5.964824023788948,4.532549297361054,12.477764980668194,5.092931548600731,-0.5950790228859679,57026149968.011894
2026-01-01,1.9061836451362049,5.443193766673505,4.464212926031737,12.409528610331453,4.917873533473862,-0.5757327123164839,54577973715.930626
2027-01-01,1.8727260627022226,5.946952678522423,4.505851135495814,12.469810221989526,5.109655740232228,-0.5800854750922417,57385657016.10147
2028-01-01,1.8451000510562692,6.313717096001658,4.539757188694667,12.482969310467833,5.261285726735936,-0.5888873740243475,59177818321.55115
2029-01-01,1.8308712375472385,6.489076098813058,4.559169696476281,12.490872457170429,5.327832438957426,-0.5943650826837984,60016937738.71234
2030-01-01,1.8616364219602608,6.066285886426242,4.520262190757431,12.4580413411363,5.163049123971577,-0.5865409909987108,57798995973.14288
2031-01-01,1.8867289800939477,5.744663914798669,4.483032598276947,12.429850757882045,5.044676904870452,-0.5766321671213152,56237655055.463646
