,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Economics: GDP
1997-01-01,0.149,0.699,2.2875,10011918444.1656,0.115,0.699,2.21,9933133247.08926,0.125,0.624,2.395,7425703928.57143,0.13,0.666,2.296,6590291048.29211,0.158,0.546,2.102,6912150456.32334,0.173,0.699,2.375,9547818700.11403
1998-01-01,0.173,0.699,2.375,9547818700.11403,0.149,0.699,2.2875,10011918444.1656,0.115,0.699,2.21,9933133247.08926,0.125,0.624,2.395,7425703928.57143,0.13,0.666,2.296,6590291048.29211,0.176,0.737,2.601,10248617647.0588
1999-01-01,0.176,0.737,2.601,10248617647.0588,0.173,0.699,2.375,9547818700.11403,0.149,0.699,2.2875,10011918444.1656,0.115,0.699,2.21,9933133247.08926,0.125,0.624,2.395,7425703928.57143,0.196,0.737,2.755,10497908306.3646
2000-01-01,0.196,0.737,2.755,10497908306.3646,0.176,0.737,2.601,10248617647.0588,0.173,0.699,2.375,9547818700.11403,0.149,0.699,2.2875,10011918444.1656,0.115,0.699,2.21,9933133247.08926,0.188,0.988,2.98,9985844486.33365
2001-01-01,0.188,0.988,2.98,9985844486.33365,0.196,0.737,2.755,10497908306.3646,0.176,0.737,2.601,10248617647.0588,0.173,0.699,2.375,9547818700.11403,0.149,0.699,2.2875,10011918444.1656,0.233,0.988,3.105,10397897085.6102
2002-01-01,0.233,0.988,3.105,10397897085.6102,0.188,0.988,2.98,9985844486.33365,0.196,0.737,2.755,10497908306.3646,0.176,0.737,2.601,10248617647.0588,0.173,0.699,2.375,9547818700.11403,0.167,0.988,3.391,11420227884.6154
2003-01-01,0.167,0.988,3.391,11420227884.6154,0.233,0.988,3.105,10397897085.6102,0.188,0.988,2.98,9985844486.33365,0.196,0.737,2.755,10497908306.3646,0.176,0.737,2.601,10248617647.0588,0.159,0.994,3.65,14547325028.3126
2004-01-01,0.159,0.994,3.65,14547325028.3126,0.167,0.988,3.391,11420227884.6154,0.233,0.988,3.105,10397897085.6102,0.188,0.988,2.98,9985844486.33365,0.196,0.737,2.755,10497908306.3646,0.213,0.994,3.735,17320552500.0
2005-01-01,0.213,0.994,3.735,17320552500.0,0.159,0.994,3.65,14547325028.3126,0.167,0.988,3.391,11420227884.6154,0.233,0.988,3.105,10397897085.6102,0.188,0.988,2.98,9985844486.33365,0.164,1.125,3.95,18433411267.2553
2006-01-01,0.164,1.125,3.95,18433411267.2553,0.213,0.994,3.735,17320552500.0,0.159,0.994,3.65,14547325028.3126,0.167,0.988,3.391,11420227884.6154,0.233,0.988,3.105,10397897085.6102,0.221,1.135,4.152,20072786350.5206
2007-01-01,0.221,1.135,4.152,20072786350.5206,0.164,1.125,3.95,18433411267.2553,0.213,0.994,3.735,17320552500.0,0.159,0.994,3.65,14547325028.3126,0.167,0.988,3.391,11420227884.6154,0.215,1.142,4.364,23968764029.5647
2008-01-01,0.215,1.142,4.364,23968764029.5647,0.221,1.135,4.152,20072786350.5206,0.164,1.125,3.95,18433411267.2553,0.213,0.994,3.735,17320552500.0,0.159,0.994,3.65,14547325028.3126,0.153,1.212,4.622,27844698989.3072
2009-01-01,0.153,1.212,4.622,27844698989.3072,0.215,1.142,4.364,23968764029.5647,0.221,1.135,4.152,20072786350.5206,0.164,1.125,3.95,18433411267.2553,0.213,0.994,3.735,17320552500.0,0.189,1.433,4.667,25945391775.4932
2010-01-01,0.189,1.433,4.667,25945391775.4932,0.153,1.212,4.622,27844698989.3072,0.215,1.142,4.364,23968764029.5647,0.221,1.135,4.152,20072786350.5206,0.164,1.125,3.95,18433411267.2553,0.22,1.568,4.78806,25732432719.0773
2011-01-01,0.22,1.568,4.78806,25732432719.0773,0.189,1.433,4.667,25945391775.4932,0.153,1.212,4.622,27844698989.3072,0.215,1.142,4.364,23968764029.5647,0.221,1.135,4.152,20072786350.5206,0.16,1.744,4.48494,27565469097.9955
2012-01-01,0.16,1.744,4.48494,27565469097.9955,0.22,1.568,4.78806,25732432719.0773,0.189,1.433,4.667,25945391775.4932,0.153,1.212,4.622,27844698989.3072,0.215,1.142,4.364,23968764029.5647,0.137,1.734,4.3124,24978513426.6992
2013-01-01,0.137,1.734,4.3124,24978513426.6992,0.16,1.744,4.48494,27565469097.9955,0.22,1.568,4.78806,25732432719.0773,0.189,1.433,4.667,25945391775.4932,0.153,1.212,4.622,27844698989.3072,0.186,1.709,3.86922,23900872625.8467
