,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,Economics: GDP
2022-01-01,1.071203421021997,12.216899157780613,19.03816586515758,36.882870747932266,31.132807461577304,0.5119774845973247,368416882385.1723
2023-01-01,1.2996455249251233,11.283469211654621,18.877761998978364,35.624328468848375,29.329681206449756,0.5161887774729175,364014413670.9355
2024-01-01,1.3772549141825112,10.696114512789121,18.489837633764996,35.08029497843513,28.663826771641762,0.5124842013577601,345610711381.3026
2025-01-01,1.516597621598367,12.85656991727123,19.57109102963833,35.498601407932114,30.30067791716338,0.48823134227994575,426059557682.3149
2026-01-01,1.6179473040940626,11.725418337058198,19.78984982209787,34.830094344275054,28.383610163329436,0.5203362278157356,417403207959.4026
2027-01-01,1.2135251034778465,14.72144108300177,22.1363247916606,37.4243073135824,31.22294870840144,0.5253213107460417,465375533185.94165
2028-01-01,1.3070505725943973,12.847199749443584,22.40939492407177,36.772694557417076,28.51754995538329,0.5481028984024792,472357196467.2326
2029-01-01,1.3652026468923477,11.990232346361918,22.07116444015137,36.310837209950265,27.595107763053164,0.5546659146877242,454232784556.1106
2030-01-01,1.3538446811977838,13.34833405823601,23.049633310064777,36.9960967717461,28.648642201115116,0.5250344387371122,521507088639.01245
2031-01-01,1.4491964153591415,11.980483056323113,23.733678753369162,36.169059308175505,25.86506002648859,0.5570326690329064,519241699200.5654
