,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,Economics: GDP
1992-01-01,2.234,4.901,8.647,30.492,28.98,0.3781605930164147,152915654478.885
1993-01-01,2.436,5.095,6.28,30.788,32.039,0.3781605930164147,143195627014.605
1994-01-01,1.692,6.62,1.8,31.391,37.903,0.3767359262037945,156162386724.523
1995-01-01,2.342,4.806,4.012,31.453,34.589,0.3753219535657823,185006881515.065
1996-01-01,3.199,19.181,3.782,31.911,50.509,0.3739185551398863,187632346387.984
1997-01-01,2.144,11.049,3.793,32.452,41.852,0.3725256127511612,173537647058.824
1998-01-01,2.293,7.6,3.28,32.28073,38.89373,0.371143009979036,176991934992.837
1999-01-01,1.97,7.536,5.223,32.573,36.856,0.3697706321249665,177965188354.692
2000-01-01,2.104,7.752,8.417,32.78184,34.22084,0.3684083661805394,164158739097.623
2001-01-01,2.375,8.774,8.199,32.88744,35.83744,0.3935734474516772,164791442543.375
2002-01-01,2.091,11.01,8.939,33.20028,37.36228,0.3920305194213106,178635163717.431
2003-01-01,2.049,15.568,7.023,33.3268,43.9208,0.3904996416478376,218096033517.009
2004-01-01,1.81,11.545,8.673,33.92788,38.60988,0.3889806735116778,251373002954.382
2005-01-01,1.527,11.574,12.943,34.55092,34.70892,0.3874734765728429,264467336457.17
2006-01-01,1.568,13.702,6.767,34.97284,43.47584,0.3859779145286156,282884947702.966
2007-01-01,1.947,11.377,10.427,34.72604,37.62304,0.384493853172632,319423424509.066
2008-01-01,2.175,11.36,12.815,34.356,35.076,0.3830211603547346,353361038818.383
2009-01-01,2.365,10.874,11.208,32.82,34.851,0.3815597059415741,321241303699.006
2010-01-01,2.624001,11.734,10.599,34.154515,37.913516,0.3801093617785324,321995279401.502
2011-01-01,2.201001,10.374001,11.694,33.735034,34.616036,0.4573966973340541,344003137611.271
2012-01-01,2.149999,10.705999,15.919999,33.322868,30.258867,0.4553141056522877,327148943812.137
2013-01-01,1.913998,10.377,11.458998,33.320282,34.152282,0.4532503926805057,343584391647.927
2014-01-01,1.973999,9.847001,12.701998,32.738528,31.85753,0.45120530287342,352993631617.708
2015-01-01,1.765406,9.733186,15.644747,33.120167,28.974012,0.4491785852772936,302673070846.857
2016-01-01,1.87268,9.919366,14.976459,33.381757,30.197344,0.5207830644144312,313115929314.339
2017-01-01,1.658616,10.655391,15.218107,33.823852,30.919752,0.5180849656540277,332121063806.391
2018-01-01,2.088775,10.4092669,15.633609,33.5542043,30.4186372,0.5154146796877914,356841216410.068
2019-01-01,1.606065,10.8493504,16.6648911,34.0922942,29.8828185,0.5127717786672443,347561349210.979
2020-01-01,1.061193,10.8047274,18.3012874,35.3550586,28.9196916,0.5101558434746842,356084867685.639
2021-01-01,1.076,12.9792959,19.4447133,38.1825901,32.7931727,0.4859551077726897,356084867685.639
