,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
1992-01-01,0.0021,0.008,0.0279,92.21571238348868,-0.163889450428856,234059259.259259
1993-01-01,0.0021,0.008,0.0279,92.06458055925432,-0.163889450428856,245525925.925926
1994-01-01,0.00231,0.008,0.03069,91.91344873501995,-0.1641584888741042,264374074.074074
1995-01-01,0.00308,0.019,0.04092,91.7623169107856,-0.164428412070639,274522222.222222
1996-01-01,0.00294,0.019,0.03906,91.61118508655126,-0.1646992243899961,292285185.185185
1997-01-01,0.0035,0.019,0.0465,91.4600532623169,-0.1649709302325581,302988888.888889
1998-01-01,0.00434,0.019,0.05766,91.30892143808256,-0.1652435340277929,322411111.111111
1999-01-01,0.00497,0.0186,0.06603,91.1577896138482,-0.1655170402344946,331759259.259259
2000-01-01,0.0,0.0205,0.074,91.00665778961384,-0.1657914533410264,333470370.37037
2001-01-01,0.0,0.0222,0.078,91.06111850865511,0.059842565768288,340203703.703704
2002-01-01,0.0,0.0209,0.071,91.1155792276964,0.0598067758591319,333196296.296296
2003-01-01,0.0,0.0217,0.076,91.17003994673767,0.0597710287339271,343311111.111111
2004-01-01,0.0,0.0354,0.076,91.22450066577898,0.0597353243160871,367200000.0
2005-01-01,0.0,0.0373,0.0792,91.27896138482024,0.0596996625290385,364255555.555556
2006-01-01,0.0,0.0379,0.0812,91.33342210386152,0.0596640432965393,390251851.851852
2007-01-01,0.0,0.04,0.0823,91.3878828229028,0.0596284665424655,421374074.074074
2008-01-01,0.0,0.03657,0.0833,91.44234354194408,0.0595929321908112,458188888.888889
2009-01-01,0.0,0.03936,0.0889,91.49680426098536,0.0595574401658998,489074074.074074
2010-01-01,0.0,0.04006,0.0949,91.55126498002664,0.0595219903920653,493825925.925926
2011-01-01,0.0,0.0401,0.0979,91.88468708388814,0.3641916951494352,501025925.925926
2012-01-01,0.0,0.04,0.0974,92.21810918774968,0.3628701521910006,485996296.296296
2013-01-01,0.0,0.04136,0.0974,92.55153129161118,0.3615581655254782,498296296.296296
2014-01-01,0.0,0.04236,0.098357,92.8849533954727,0.3602556318717017,520207407.407407
2015-01-01,0.0,0.04236,0.103357,93.2183754993342,0.3589624494312999,540737037.037037
2016-01-01,0.0,0.04279,0.108357,93.74780292942744,0.5679432056794405,576229629.62963
2017-01-01,0.0,0.0428,0.083357,94.27723035952064,0.5647358269203876,519837037.037037
2018-01-01,0.006121,0.040485,0.058057,94.80665778961384,0.5615644711605089,550622222.222222
2019-01-01,0.0081,0.042485,0.082078,95.33608521970704,0.5584285349116026,611537037.037037
2020-01-01,0.0081,0.042485,0.155148,95.86551264980028,0.5553274280909724,504214814.814815
2021-01-01,0.0081,0.042485,0.16299964,96.3595206391478,0.5153135634419057,504214814.814815
