,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Net Consumption_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Net Consumption_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Net Consumption_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Net Consumption_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Net Consumption_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Consumption,Population: Growth Rate,Economics: GDP
1997-01-01,4.04,0.0,0.0,47.7252,2.2019101441688065,67629716981.1321,5.54,0.0,0.0,47.1512,2.251485839257952,60159245060.4541,4.891,0.0,0.0,45.1791,2.303345333265636,51897983392.6453,5.017,0.0,0.0,42.7351,2.3576501581582927,46578631452.581,4.713,0.0,0.0,38.7831,2.3576501581582927,41855986519.4235,3.779,0.0,0.0,51.7532,2.1544706366668995,78436578171.0914
1998-01-01,3.779,0.0,0.0,51.7532,2.1544706366668995,78436578171.0914,4.04,0.0,0.0,47.7252,2.2019101441688065,67629716981.1321,5.54,0.0,0.0,47.1512,2.251485839257952,60159245060.4541,4.891,0.0,0.0,45.1791,2.303345333265636,51897983392.6453,5.017,0.0,0.0,42.7351,2.3576501581582927,46578631452.581,4.358,0.0,0.0,55.4512,2.1090321581027034,84828807556.0803
1999-01-01,4.358,0.0,0.0,55.4512,2.1090321581027034,84828807556.0803,3.779,0.0,0.0,51.7532,2.1544706366668995,78436578171.0914,4.04,0.0,0.0,47.7252,2.2019101441688065,67629716981.1321,5.54,0.0,0.0,47.1512,2.251485839257952,60159245060.4541,4.891,0.0,0.0,45.1791,2.303345333265636,51897983392.6453,4.905,0.0,0.0,60.2692,2.0654707164760517,90710704806.8416
2000-01-01,4.905,0.0,0.0,60.2692,2.0654707164760517,90710704806.8416,4.358,0.0,0.0,55.4512,2.1090321581027034,84828807556.0803,3.779,0.0,0.0,51.7532,2.1544706366668995,78436578171.0914,4.04,0.0,0.0,47.7252,2.2019101441688065,67629716981.1321,5.54,0.0,0.0,47.1512,2.251485839257952,60159245060.4541,10.75,0.328,0.174,63.55766,2.0236723565539863,99838543960.0763
2001-01-01,10.75,0.328,0.174,63.55766,2.0236723565539863,99838543960.0763,4.905,0.0,0.0,60.2692,2.0654707164760517,90710704806.8416,4.358,0.0,0.0,55.4512,2.1090321581027034,84828807556.0803,3.779,0.0,0.0,51.7532,2.1544706366668995,78436578171.0914,4.04,0.0,0.0,47.7252,2.2019101441688065,67629716981.1321,10.905,0.453,0.214,68.22234,2.2251277756735304,96684636118.5984
2002-01-01,10.905,0.453,0.214,68.22234,2.2251277756735304,96684636118.5984,10.75,0.328,0.174,63.55766,2.0236723565539863,99838543960.0763,4.905,0.0,0.0,60.2692,2.0654707164760517,90710704806.8416,4.358,0.0,0.0,55.4512,2.1090321581027034,84828807556.0803,3.779,0.0,0.0,51.7532,2.1544706366668995,78436578171.0914,11.281,0.959,0.228,72.80158,2.1766935626203665,85146067415.7303
2003-01-01,11.281,0.959,0.228,72.80158,2.1766935626203665,85146067415.7303,10.905,0.453,0.214,68.22234,2.2251277756735304,96684636118.5984,10.75,0.328,0.174,63.55766,2.0236723565539863,99838543960.0763,4.905,0.0,0.0,60.2692,2.0654707164760517,90710704806.8416,4.358,0.0,0.0,55.4512,2.1090321581027034,84828807556.0803,10.76,1.039,0.153,78.82444,2.13032295988941,80288461538.4615
2004-01-01,10.76,1.039,0.153,78.82444,2.13032295988941,80288461538.4615,11.281,0.959,0.228,72.80158,2.1766935626203665,85146067415.7303,10.905,0.453,0.214,68.22234,2.2251277756735304,96684636118.5984,10.75,0.328,0.174,63.55766,2.0236723565539863,99838543960.0763,4.905,0.0,0.0,60.2692,2.0654707164760517,90710704806.8416,12.315,0.873,0.174,83.19628,2.085886833752686,78782467532.4675
2005-01-01,12.315,0.873,0.174,83.19628,2.085886833752686,78782467532.4675,10.76,1.039,0.153,78.82444,2.13032295988941,80288461538.4615,11.281,0.959,0.228,72.80158,2.1766935626203665,85146067415.7303,10.905,0.453,0.214,68.22234,2.2251277756735304,96684636118.5984,10.75,0.328,0.174,63.55766,2.0236723565539863,99838543960.0763,12.604,0.946,0.168,89.77856,2.043266604667462,89600665557.4043
2006-01-01,12.604,0.946,0.168,89.77856,2.043266604667462,89600665557.4043,12.315,0.873,0.174,83.19628,2.085886833752686,78782467532.4675,10.76,1.039,0.153,78.82444,2.13032295988941,80288461538.4615,11.281,0.959,0.228,72.80158,2.1766935626203665,85146067415.7303,10.905,0.453,0.214,68.22234,2.2251277756735304,96684636118.5984,12.563,0.557,0.208,96.58724,2.0023531906161094,107426086956.522
2007-01-01,12.563,0.557,0.208,96.58724,2.0023531906161094,107426086956.522,12.604,0.946,0.168,89.77856,2.043266604667462,89600665557.4043,12.315,0.873,0.174,83.19628,2.085886833752686,78782467532.4675,10.76,1.039,0.153,78.82444,2.13032295988941,80288461538.4615,11.281,0.959,0.228,72.80158,2.1766935626203665,85146067415.7303,13.119,0.814,0.251,105.10492,1.963046074902044,130437828371.278
