,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,0.349,0.046,0.098,0.646,1.0779500698540323,5813399300.0
1993-01-01,0.459,0.011,0.09,0.766,1.0779500698540323,6680269200.0
1994-01-01,0.502,0.014,0.105,0.766,1.0664542257822345,7679384000.0
1995-01-01,0.43,0.065,0.033,0.857,1.0552009902314154,8921947100.0
1996-01-01,0.462,0.021,0.043,0.857,1.0441827633724834,9586327800.0
1997-01-01,0.48,0.018,0.106,0.857,1.0333922595205445,10221705900.0
1998-01-01,0.506,0.023,0.061,0.8539,1.022822491069216,10936669900.0
1999-01-01,0.5,0.208,0.46,0.9503,1.0124667534008185,11284197000.0
2000-01-01,0.452,0.112,0.9,1.0223,1.0023186107042883,11784927700.0
2001-01-01,0.519,0.044,0.7,1.1293,0.2610597799909471,12282533600.0
2002-01-01,0.549,0.051,0.43,1.0561,0.2603800324510899,12664190300.0
2003-01-01,0.585,0.103,0.433,1.1063,0.2597038155718117,13243892200.0
2004-01-01,0.727,0.084,0.466,1.1161,0.2590311019166321,13724810900.0
2005-01-01,0.535,0.038,0.322,1.2508,0.2583618643325192,14698000000.0
2006-01-01,0.69,0.009,0.011,1.3301,0.2576960759463924,15999890000.0
2007-01-01,0.456,0.007,0.038,1.4738,0.2570337101614469,17011750000.0
2008-01-01,0.715,0.089,0.083,1.5326,0.2563747406536127,17986890000.0
2009-01-01,0.711,0.079,0.208,1.5821,0.2557191413681439,17601620000.0
2010-01-01,0.769,0.089,0.174,1.6101,0.2550668865160306,18447920000.0
2011-01-01,0.728,0.102,0.216,1.69575,0.3828307137317256,20283780000.0
2012-01-01,0.61,0.078,0.163,1.74285,0.3813707095224817,21386150000.0
2013-01-01,0.455,0.091,0.283,1.8527,0.3799217990617844,21990960000.0
2014-01-01,0.654,0.208,0.589,1.889223,0.3784838563854313,22593470000.0
2015-01-01,0.656,0.064,0.963,1.8621,0.3770567574291666,23438240000.0
2016-01-01,0.82,0.078,1.066,1.9768,0.1979276098182879,24191430000.0
2017-01-01,0.812889,0.09,1.675,2.1818,0.1975366302874444,24979190000.0
2018-01-01,0.8275,0.065,1.824,2.31539,0.1971471923669364,26020850000.0
2019-01-01,0.7825,0.158,1.45,2.54456,0.1967592869569795,26896660000.0
2020-01-01,0.793889,0.131,0.774,2.67236,0.1963729050292672,24638720000.0
2021-01-01,0.792462793,0.117125554,0.774,2.67036,0.3469161481715967,24638720000.0
