,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1997-01-01,0.462,0.021,0.043,0.857,1.0441827633724834,9586327800.0,0.43,0.065,0.033,0.857,1.0552009902314154,8921947100.0,0.502,0.014,0.105,0.766,1.0664542257822345,7679384000.0,0.459,0.011,0.09,0.766,1.0779500698540323,6680269200.0,0.349,0.046,0.098,0.646,1.0779500698540323,5813399300.0,0.48,0.018,0.106,0.857,1.0333922595205445,10221705900.0
1998-01-01,0.48,0.018,0.106,0.857,1.0333922595205445,10221705900.0,0.462,0.021,0.043,0.857,1.0441827633724834,9586327800.0,0.43,0.065,0.033,0.857,1.0552009902314154,8921947100.0,0.502,0.014,0.105,0.766,1.0664542257822345,7679384000.0,0.459,0.011,0.09,0.766,1.0779500698540323,6680269200.0,0.506,0.023,0.061,0.8539,1.022822491069216,10936669900.0
1999-01-01,0.506,0.023,0.061,0.8539,1.022822491069216,10936669900.0,0.48,0.018,0.106,0.857,1.0333922595205445,10221705900.0,0.462,0.021,0.043,0.857,1.0441827633724834,9586327800.0,0.43,0.065,0.033,0.857,1.0552009902314154,8921947100.0,0.502,0.014,0.105,0.766,1.0664542257822345,7679384000.0,0.5,0.208,0.46,0.9503,1.0124667534008185,11284197000.0
2000-01-01,0.5,0.208,0.46,0.9503,1.0124667534008185,11284197000.0,0.506,0.023,0.061,0.8539,1.022822491069216,10936669900.0,0.48,0.018,0.106,0.857,1.0333922595205445,10221705900.0,0.462,0.021,0.043,0.857,1.0441827633724834,9586327800.0,0.43,0.065,0.033,0.857,1.0552009902314154,8921947100.0,0.452,0.112,0.9,1.0223,1.0023186107042883,11784927700.0
2001-01-01,0.452,0.112,0.9,1.0223,1.0023186107042883,11784927700.0,0.5,0.208,0.46,0.9503,1.0124667534008185,11284197000.0,0.506,0.023,0.061,0.8539,1.022822491069216,10936669900.0,0.48,0.018,0.106,0.857,1.0333922595205445,10221705900.0,0.462,0.021,0.043,0.857,1.0441827633724834,9586327800.0,0.519,0.044,0.7,1.1293,0.2610597799909471,12282533600.0
2002-01-01,0.519,0.044,0.7,1.1293,0.2610597799909471,12282533600.0,0.452,0.112,0.9,1.0223,1.0023186107042883,11784927700.0,0.5,0.208,0.46,0.9503,1.0124667534008185,11284197000.0,0.506,0.023,0.061,0.8539,1.022822491069216,10936669900.0,0.48,0.018,0.106,0.857,1.0333922595205445,10221705900.0,0.549,0.051,0.43,1.0561,0.2603800324510899,12664190300.0
2003-01-01,0.549,0.051,0.43,1.0561,0.2603800324510899,12664190300.0,0.519,0.044,0.7,1.1293,0.2610597799909471,12282533600.0,0.452,0.112,0.9,1.0223,1.0023186107042883,11784927700.0,0.5,0.208,0.46,0.9503,1.0124667534008185,11284197000.0,0.506,0.023,0.061,0.8539,1.022822491069216,10936669900.0,0.585,0.103,0.433,1.1063,0.2597038155718117,13243892200.0
2004-01-01,0.585,0.103,0.433,1.1063,0.2597038155718117,13243892200.0,0.549,0.051,0.43,1.0561,0.2603800324510899,12664190300.0,0.519,0.044,0.7,1.1293,0.2610597799909471,12282533600.0,0.452,0.112,0.9,1.0223,1.0023186107042883,11784927700.0,0.5,0.208,0.46,0.9503,1.0124667534008185,11284197000.0,0.727,0.084,0.466,1.1161,0.2590311019166321,13724810900.0
2005-01-01,0.727,0.084,0.466,1.1161,0.2590311019166321,13724810900.0,0.585,0.103,0.433,1.1063,0.2597038155718117,13243892200.0,0.549,0.051,0.43,1.0561,0.2603800324510899,12664190300.0,0.519,0.044,0.7,1.1293,0.2610597799909471,12282533600.0,0.452,0.112,0.9,1.0223,1.0023186107042883,11784927700.0,0.535,0.038,0.322,1.2508,0.2583618643325192,14698000000.0
2006-01-01,0.535,0.038,0.322,1.2508,0.2583618643325192,14698000000.0,0.727,0.084,0.466,1.1161,0.2590311019166321,13724810900.0,0.585,0.103,0.433,1.1063,0.2597038155718117,13243892200.0,0.549,0.051,0.43,1.0561,0.2603800324510899,12664190300.0,0.519,0.044,0.7,1.1293,0.2610597799909471,12282533600.0,0.69,0.009,0.011,1.3301,0.2576960759463924,15999890000.0
2007-01-01,0.69,0.009,0.011,1.3301,0.2576960759463924,15999890000.0,0.535,0.038,0.322,1.2508,0.2583618643325192,14698000000.0,0.727,0.084,0.466,1.1161,0.2590311019166321,13724810900.0,0.585,0.103,0.433,1.1063,0.2597038155718117,13243892200.0,0.549,0.051,0.43,1.0561,0.2603800324510899,12664190300.0,0.456,0.007,0.038,1.4738,0.2570337101614469,17011750000.0
