,Electricity: Distribution Losses_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Population: Growth Rate,Economics: GDP
1997-01-01,0.00133,3.814394459577627,232463036.435759,0.00133,3.965660389770706,141853368.256815,0.00126,4.1294191284762825,100807001.813926,0.00126,4.307284978287703,136047896.155778,0.00126,4.307284978287703,134707184.355541,0.0014,3.6742442889871345,442337849.474377
1998-01-01,0.0014,3.6742442889871345,442337849.474377,0.00133,3.814394459577627,232463036.435759,0.00133,3.965660389770706,141853368.256815,0.00126,4.1294191284762825,100807001.813926,0.00126,4.307284978287703,136047896.155778,0.00147,3.544028041087398,370687618.717326
1999-01-01,0.00147,3.544028041087398,370687618.717326,0.0014,3.6742442889871345,442337849.474377,0.00133,3.814394459577627,232463036.435759,0.00133,3.965660389770706,141853368.256815,0.00126,4.1294191284762825,100807001.813926,0.00147,3.4227256831085127,621117885.668503
2000-01-01,0.00147,3.4227256831085127,621117885.668503,0.00147,3.544028041087398,370687618.717326,0.0014,3.6742442889871345,442337849.474377,0.00133,3.814394459577627,232463036.435759,0.00133,3.965660389770706,141853368.256815,0.005,3.309452212268997,1045998496.43872
2001-01-01,0.005,3.309452212268997,1045998496.43872,0.00147,3.4227256831085127,621117885.668503,0.00147,3.544028041087398,370687618.717326,0.0014,3.6742442889871345,442337849.474377,0.00133,3.814394459577627,232463036.435759,0.009,5.978989075545595,1461139022.02954
2002-01-01,0.009,5.978989075545595,1461139022.02954,0.005,3.309452212268997,1045998496.43872,0.00147,3.4227256831085127,621117885.668503,0.00147,3.544028041087398,370687618.717326,0.0014,3.6742442889871345,442337849.474377,0.009,5.641674003215464,1806742742.27311
2003-01-01,0.009,5.641674003215464,1806742742.27311,0.009,5.978989075545595,1461139022.02954,0.005,3.309452212268997,1045998496.43872,0.00147,3.4227256831085127,621117885.668503,0.00147,3.544028041087398,370687618.717326,0.01,5.340386790012178,2484745935.09329
2004-01-01,0.01,5.340386790012178,2484745935.09329,0.009,5.641674003215464,1806742742.27311,0.009,5.978989075545595,1461139022.02954,0.005,3.309452212268997,1045998496.43872,0.00147,3.4227256831085127,621117885.668503,0.012,5.069647979039451,4410764338.66733
2005-01-01,0.012,5.069647979039451,4410764338.66733,0.01,5.340386790012178,2484745935.09329,0.009,5.641674003215464,1806742742.27311,0.009,5.978989075545595,1461139022.02954,0.005,3.309452212268997,1045998496.43872,0.029,4.825035656396975,8217369092.65224
2006-01-01,0.029,4.825035656396975,8217369092.65224,0.012,5.069647979039451,4410764338.66733,0.01,5.340386790012178,2484745935.09329,0.009,5.641674003215464,1806742742.27311,0.009,5.978989075545595,1461139022.02954,0.038,4.60294206072376,10086528698.8604
2007-01-01,0.038,4.60294206072376,10086528698.8604,0.029,4.825035656396975,8217369092.65224,0.012,5.069647979039451,4410764338.66733,0.01,5.340386790012178,2484745935.09329,0.009,5.641674003215464,1806742742.27311,0.046,4.400394453582087,13071718758.7373
2008-01-01,0.046,4.400394453582087,13071718758.7373,0.038,4.60294206072376,10086528698.8604,0.029,4.825035656396975,8217369092.65224,0.012,5.069647979039451,4410764338.66733,0.01,5.340386790012178,2484745935.09329,0.056,4.2149212908755365,19749893536.3204
2009-01-01,0.056,4.2149212908755365,19749893536.3204,0.046,4.400394453582087,13071718758.7373,0.038,4.60294206072376,10086528698.8604,0.029,4.825035656396975,8217369092.65224,0.012,5.069647979039451,4410764338.66733,0.064,4.044450870054616,15027795173.2187
2010-01-01,0.064,4.044450870054616,15027795173.2187,0.056,4.2149212908755365,19749893536.3204,0.046,4.400394453582087,13071718758.7373,0.038,4.60294206072376,10086528698.8604,0.029,4.825035656396975,8217369092.65224,0.071,3.887233616241471,16314443428.9408
2011-01-01,0.071,3.887233616241471,16314443428.9408,0.064,4.044450870054616,15027795173.2187,0.056,4.2149212908755365,19749893536.3204,0.046,4.400394453582087,13071718758.7373,0.038,4.60294206072376,10086528698.8604,0.078,4.612945901597411,21357343681.8966
2012-01-01,0.078,4.612945901597411,21357343681.8966,0.071,3.887233616241471,16314443428.9408,0.064,4.044450870054616,15027795173.2187,0.056,4.2149212908755365,19749893536.3204,0.046,4.400394453582087,13071718758.7373,0.073,4.409536374146761,22388344123.9916
2013-01-01,0.073,4.409536374146761,22388344123.9916,0.078,4.612945901597411,21357343681.8966,0.071,3.887233616241471,16314443428.9408,0.064,4.044450870054616,15027795173.2187,0.056,4.2149212908755365,19749893536.3204,0.084,4.223308068666611,21948834290.3538
