,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Density,Population: Growth Rate,Economics: GDP
1992-01-01,1.029,3.492,0.2,3.406,6.8,11.121,33.96012558869702,-1.1315537986291806,4502970889.06373
1993-01-01,1.47,1.596,0.221,3.333,5.726,8.571,33.575848497578875,-1.1315537986291806,4502970889.06373
1994-01-01,1.592,1.5,0.4,3.288,5.91,8.602,33.19157140646074,-1.1445044825772497,4502970889.06373
1995-01-01,1.835,1.005,0.245,2.693,5.577,8.172,32.8072943153426,-1.157755040917818,4502970889.06373
1996-01-01,1.793,1.1,0.24,2.7,5.904,8.557,32.423017224224466,-1.171316011081188,4786018988.16491
1997-01-01,1.51,1.184,0.24,2.722,6.212,8.666,32.03874013310633,-1.1851984300555112,5154420649.23354
1998-01-01,1.568,0.528,0.14,2.624,6.055,8.011,31.65446304198819,-1.1994138643456194,5674080542.88575
1999-01-01,1.47,0.734,0.13,2.6242,5.699,7.773,31.270185950870054,-1.2139744421139302,5756912265.75809
2000-01-01,1.241,1.187,0.3,2.8002,5.87254,8.00054,30.88590885975192,-1.2288928876914604,5686579747.53524
2001-01-01,1.364,0.891,0.1,2.446,5.8305,7.9855,30.741433214672657,-0.4677720371943953,6254649538.98487
2002-01-01,1.26,1.102,0.412,2.409,6.14144,8.09144,30.596957569593386,-0.4699704274370286,7367975887.72723
2003-01-01,1.192,1.989,0.093,2.428,6.52174,9.60974,30.45248192451411,-0.4721895788189338,9874013098.46432
2004-01-01,1.112,2.141,0.347,2.702,6.78336,9.68936,30.30800627943485,-0.4744297868311466,12145911801.2422
2005-01-01,1.103,1.953,0.345,2.571,6.88836,9.59936,30.163530634355585,-0.4766913525991251,14106790200.2239
2006-01-01,1.077,1.001,0.251,2.569,7.32888,9.15588,30.019054989276317,-0.4789745830175174,17022870405.2189
2007-01-01,1.354,2.765,0.345,2.639,7.6933,11.4673,29.874579344197052,-0.4812797908890759,22449129482.617
2008-01-01,1.13,2.31,1.369,2.706,7.88696,9.95796,29.73010369911778,-0.4836072950675184,24341678628.9732
2009-01-01,0.886,2.943,3.025,2.7252,7.48082,8.28482,29.585628054038516,-0.4859574206044662,19633031397.6104
2010-01-01,1.047,4.353998,1.099999,2.8931,7.503114,11.804113,29.44115240895925,-0.4883304989009502,19523477325.6235
2011-01-01,0.949001,5.252,1.69,2.9742,7.232831,11.743832,29.36651557697835,-0.2535119242077822,23183616045.5168
2012-01-01,0.879002,4.95,2.71,3.0904,7.533739,10.652741,29.291878744997454,-0.2541562405837628,23020466784.6112
2013-01-01,0.902999,6.300001,2.712,3.173,7.468914,11.959914,29.21724191301656,-0.2548038404455197,25108615091.9884
2014-01-01,0.842,6.484,3.730001,3.311,7.584939,11.180938,29.142605081035665,-0.2554547489564436,26598657880.5486
2015-01-01,0.697001,6.377,5.451998,3.145,7.679151,9.301154,29.06796824905477,-0.2561089915378491,22881558191.8523
2016-01-01,0.722999,5.614001,3.577,2.858,7.881563,10.641563,29.133358392110907,0.2249560151431062,24056487770.898
2017-01-01,0.779,5.015,2.280999,2.823,7.988344,11.501345,29.19874853516705,0.2244510988951046,26857880621.935
2018-01-01,0.7439999,4.9500001,3.053,3.078,8.5479412,11.1889412,29.264138678223183,0.223948444151231,30474612057.4484
2019-01-01,0.5555151,2.7039999,4.861,3.02,8.4680352,6.8665502,29.329528821279325,0.2234480357516962,31045591753.4901
2020-01-01,0.5295132,3.7236526,7.3651819,3.034,9.0281474,5.9161313,29.394918964335464,0.2229498586717654,30650285471.7215
2021-01-01,0.44,4.7042633,7.333,3.189,8.8419177,6.653181,29.357529794149514,-0.1271960308219075,30650285471.7215
