,Electricity: Distribution Losses_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Generation_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Generation_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Generation_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Generation_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Generation_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Generation,Population: Percentage,Economics: GDP
1997-01-01,0.0287,0.571,0.131,0.41,0.0170398522100778,1602760100.48147,0.0287,0.618,0.131,0.41,0.0169670319114982,1698982437.76019,0.02828,0.577,0.13,0.404,0.0168920872664828,1419293454.99606,0.02828,0.53,0.13,0.404,0.0168149239404648,1357206995.74624,0.02828,0.567,0.122,0.404,0.0167354419295485,1284766234.2216,0.0287,0.608,0.131,0.41,0.0171106372235956,1716699913.19444
1998-01-01,0.0287,0.608,0.131,0.41,0.0171106372235956,1716699913.19444,0.0287,0.571,0.131,0.41,0.0170398522100778,1602760100.48147,0.0287,0.618,0.131,0.41,0.0169670319114982,1698982437.76019,0.02828,0.577,0.13,0.404,0.0168920872664828,1419293454.99606,0.02828,0.53,0.13,0.404,0.0168149239404648,1357206995.74624,0.02856,0.615,0.131,0.408,0.0171794711036116,1576904292.4588
1999-01-01,0.02856,0.615,0.131,0.408,0.0171794711036116,1576904292.4588,0.0287,0.608,0.131,0.41,0.0171106372235956,1716699913.19444,0.0287,0.571,0.131,0.41,0.0170398522100778,1602760100.48147,0.0287,0.618,0.131,0.41,0.0169670319114982,1698982437.76019,0.02828,0.577,0.13,0.404,0.0168920872664828,1419293454.99606,0.0287,0.6,0.131,0.41,0.0172464334256099,1547884442.26205
2000-01-01,0.0287,0.6,0.131,0.41,0.0172464334256099,1547884442.26205,0.02856,0.615,0.131,0.408,0.0171794711036116,1576904292.4588,0.0287,0.608,0.131,0.41,0.0171106372235956,1716699913.19444,0.0287,0.571,0.131,0.41,0.0170398522100778,1602760100.48147,0.0287,0.618,0.131,0.41,0.0169670319114982,1698982437.76019,0.124,0.62,0.168,0.618,0.0173115994958795,1738100853.05052
2001-01-01,0.124,0.62,0.168,0.618,0.0173115994958795,1738100853.05052,0.0287,0.6,0.131,0.41,0.0172464334256099,1547884442.26205,0.02856,0.615,0.131,0.408,0.0171794711036116,1576904292.4588,0.0287,0.608,0.131,0.41,0.0171106372235956,1716699913.19444,0.0287,0.571,0.131,0.41,0.0170398522100778,1602760100.48147,0.127,0.639,0.192,0.629,0.0171977666223057,1542477308.89408
2002-01-01,0.127,0.639,0.192,0.629,0.0171977666223057,1542477308.89408,0.124,0.62,0.168,0.618,0.0173115994958795,1738100853.05052,0.0287,0.6,0.131,0.41,0.0172464334256099,1547884442.26205,0.02856,0.615,0.131,0.408,0.0171794711036116,1576904292.4588,0.0287,0.608,0.131,0.41,0.0171106372235956,1716699913.19444,0.153,0.799,0.189,0.649,0.0170869049722085,1432228125.26682
2003-01-01,0.153,0.799,0.189,0.649,0.0170869049722085,1432228125.26682,0.127,0.639,0.192,0.629,0.0171977666223057,1542477308.89408,0.124,0.62,0.168,0.618,0.0173115994958795,1738100853.05052,0.0287,0.6,0.131,0.41,0.0172464334256099,1547884442.26205,0.02856,0.615,0.131,0.408,0.0171794711036116,1576904292.4588,0.156,0.8,0.1885,0.565,0.0169788997135783,2197612701.09852
2004-01-01,0.156,0.8,0.1885,0.565,0.0169788997135783,2197612701.09852,0.153,0.799,0.189,0.649,0.0170869049722085,1432228125.26682,0.127,0.639,0.192,0.629,0.0171977666223057,1542477308.89408,0.124,0.62,0.168,0.618,0.0173115994958795,1738100853.05052,0.0287,0.6,0.131,0.41,0.0172464334256099,1547884442.26205,0.14,0.697,0.1885,0.536,0.0168736418565218,2770082791.50412
2005-01-01,0.14,0.697,0.1885,0.536,0.0168736418565218,2770082791.50412,0.156,0.8,0.1885,0.565,0.0169788997135783,2197612701.09852,0.153,0.799,0.189,0.649,0.0170869049722085,1432228125.26682,0.127,0.639,0.192,0.629,0.0171977666223057,1542477308.89408,0.124,0.62,0.168,0.618,0.0173115994958795,1738100853.05052,0.169,0.864,0.1886,0.596,0.0167710278864035,3178126491.90949
2006-01-01,0.169,0.864,0.1886,0.596,0.0167710278864035,3178126491.90949,0.14,0.697,0.1885,0.536,0.0168736418565218,2770082791.50412,0.156,0.8,0.1885,0.565,0.0169788997135783,2197612701.09852,0.153,0.799,0.189,0.649,0.0170869049722085,1432228125.26682,0.127,0.639,0.192,0.629,0.0171977666223057,1542477308.89408,0.166,0.936,0.1907,0.612,0.0166709594242888,3291353835.93
