,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,0.03367,0.135,0.6585228119059249,1532401862.94079
1993-01-01,0.03437,0.135,0.6585228119059249,1636074717.86224
1994-01-01,0.03703,0.135,0.6542146591366919,1825763267.53637
1995-01-01,0.03871,0.135,0.6499625091231157,1970347720.96992
1996-01-01,0.03878,0.14,0.6457652769261607,2128696643.62574
1997-01-01,0.0392014,0.144,0.6416219054516021,2090184941.46983
1998-01-01,0.03892154,0.149,0.6375313645624308,1653160861.68714
1999-01-01,0.0419965,0.1492,0.6334926502250625,1936484565.39399
2000-01-01,0.0,0.1932,0.6295047836875864,1678239218.26553
2001-01-01,0.0,0.195,0.8727833572970382,1652464201.00149
2002-01-01,0.0,0.2,0.8652317585067428,1833279985.36741
2003-01-01,0.0,0.217,0.8578097164127829,2300453634.34962
2004-01-01,0.0,0.218,0.8505139253219276,2708078476.63012
2005-01-01,0.0,0.238,0.8433411910540373,2980484920.16558
2006-01-01,0.0,0.238,0.8362884262792071,3076305452.86506
2007-01-01,0.0,0.258,0.8293526460869416,3378314599.76402
2008-01-01,0.0,0.265,0.8225309637739976,3523185919.55826
2009-01-01,0.0,0.265,0.8158205868384089,2870624635.68032
2010-01-01,0.0,0.2675,0.8092188131680148,3140508835.9485
2011-01-01,0.0,0.2829,0.2658288120781814,3774530615.65916
2012-01-01,0.0,0.3096,0.2651240360027543,3972012570.53467
2013-01-01,0.0,0.3336,0.2644229871072039,4190143206.25611
2014-01-01,0.0,0.3476,0.2637256359029945,4856963229.83999
2015-01-01,0.0,0.3486,0.263031953211746,4682546863.08162
2016-01-01,0.0,0.3666,0.0702573048408224,4930204229.72263
2017-01-01,0.0,0.4026,0.0702079786072697,5353404422.08138
2018-01-01,0.086,0.4046,0.0701587215870141,5581371847.61641
2019-01-01,0.09,0.4056,0.0701095336345181,5496264766.37285
2020-01-01,0.102,0.3926,0.0700604146045765,4533883782.27458
2021-01-01,0.106380032,0.3996,0.507593256136859,4533883782.27458
