,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,Economics: GDP
1992-01-01,3.023,0.673,9.067,12.271,60.878,55.507,0.3774800238942318,112532519246.084
1993-01-01,2.735,0.429,8.013,13.023,63.494,58.645,0.3774800238942318,89214114708.0254
1994-01-01,2.954,0.625,7.2,13.002,66.486,62.865,0.3760604707394094,103299943084.804
1995-01-01,3.018,0.279,7.3,13.281,65.302,61.299,0.3746515543405423,134189814814.815
1996-01-01,2.715,1.706,5.367,13.463,67.3142,66.3682,0.3732531555914936,132129174216.93
1997-01-01,2.533,0.45,8.105,14.585,70.64958,65.52758,0.3718651571578384,126912152101.707
1998-01-01,2.962,0.276,9.582,15.026,73.817,67.473,0.3704874434440434,134038718291.055
1999-01-01,2.707,0.232,11.356,14.926,75.1,66.683,0.3691199005611928,135218410398.466
2000-01-01,2.748,0.326,12.206,17.76,76.2067,67.0747,0.3677624162958782,125706651925.557
2001-01-01,3.027,1.81,11.769,18.106,78.16886,71.23686,0.3613880351430977,129421029082.774
2002-01-01,2.941,1.539,13.464,18.169,80.51898,71.53498,0.3600867248035191,139738377564.465
2003-01-01,3.447,7.03,11.882,18.256,81.70888,80.30388,0.3587947525303478,171274266365.688
2004-01-01,2.959,6.797,11.667,18.267,83.97366,82.06266,0.3575120181695081,197116960516.514
2005-01-01,3.041,0.933,17.948,18.188,81.83886,67.86486,0.3562384229939671,204809103345.355
2006-01-01,3.054,2.717,14.118,18.292,87.1797,78.8327,0.3549738696785835,216907539831.891
2007-01-01,3.043,2.862,15.419,18.46,87.4512,77.9372,0.3537182622752253,256052559540.104
2008-01-01,3.334,3.335,16.107,17.368,83.7973,74.3593,0.3524715061885023,284553976856.599
2009-01-01,2.774,3.375,15.46,16.995,78.45344,69.14244,0.3512335081520975,252496526813.004
2010-01-01,2.761002,5.217999,15.718999,17.322,85.465048,77.72505,0.3500041762053327,249181190476.369
2011-01-01,2.693,3.804001,17.656,17.462,82.122658,70.963659,0.4332803619283829,275243697751.011
2012-01-01,2.909,1.645002,19.089,17.647,82.769807,68.234809,0.4314111421701885,258304834621.605
2013-01-01,2.602,1.875999,17.591002,18.607,82.172823,69.05982,0.4295579811773082,271285280621.373
2014-01-01,2.766,3.655,21.622001,18.224,81.369693,66.168692,0.427720672889765,274497230802.958
2015-01-01,2.434999,5.121998,21.458999,18.603,80.790649,66.888647,0.4258990147580112,234440080998.273
2016-01-01,2.586,3.158998,22.110001,18.298,83.376716,67.011713,0.1825252520275328,240607907010.383
2017-01-01,2.767998,1.779,22.203999,19.394,83.468382,65.811381,0.182192704334753,255016517537.983
2018-01-01,3.0240001,2.6119999,22.548,19.473,85.4644094,68.5524094,0.1818613661935618,275580448365.235
2019-01-01,3.0620001,3.896,23.938,19.789,84.0471162,67.0671163,0.1815312310167499,268508200125.49
2020-01-01,3.0209999,6.6710001,21.6470001,20.106,79.525978,67.5709779,0.1812022922649876,269594831987.549
2021-01-01,3.2147404,6.7126797,23.999141,20.947,83.7249711,69.6532502,0.1019718352651647,269594831987.549
