,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Generation_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Generation_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Generation_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Generation_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Generation_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,Economics: GDP
1997-01-01,2.715,1.706,5.367,13.463,67.3142,66.3682,0.3732531555914936,132129174216.93,3.018,0.279,7.3,13.281,65.302,61.299,0.3746515543405423,134189814814.815,2.954,0.625,7.2,13.002,66.486,62.865,0.3760604707394094,103299943084.804,2.735,0.429,8.013,13.023,63.494,58.645,0.3774800238942318,89214114708.0254,3.023,0.673,9.067,12.271,60.878,55.507,0.3774800238942318,112532519246.084,2.533,0.45,8.105,14.585,70.64958,65.52758,0.3718651571578384,126912152101.707
1998-01-01,2.533,0.45,8.105,14.585,70.64958,65.52758,0.3718651571578384,126912152101.707,2.715,1.706,5.367,13.463,67.3142,66.3682,0.3732531555914936,132129174216.93,3.018,0.279,7.3,13.281,65.302,61.299,0.3746515543405423,134189814814.815,2.954,0.625,7.2,13.002,66.486,62.865,0.3760604707394094,103299943084.804,2.735,0.429,8.013,13.023,63.494,58.645,0.3774800238942318,89214114708.0254,2.962,0.276,9.582,15.026,73.817,67.473,0.3704874434440434,134038718291.055
1999-01-01,2.962,0.276,9.582,15.026,73.817,67.473,0.3704874434440434,134038718291.055,2.533,0.45,8.105,14.585,70.64958,65.52758,0.3718651571578384,126912152101.707,2.715,1.706,5.367,13.463,67.3142,66.3682,0.3732531555914936,132129174216.93,3.018,0.279,7.3,13.281,65.302,61.299,0.3746515543405423,134189814814.815,2.954,0.625,7.2,13.002,66.486,62.865,0.3760604707394094,103299943084.804,2.707,0.232,11.356,14.926,75.1,66.683,0.3691199005611928,135218410398.466
2000-01-01,2.707,0.232,11.356,14.926,75.1,66.683,0.3691199005611928,135218410398.466,2.962,0.276,9.582,15.026,73.817,67.473,0.3704874434440434,134038718291.055,2.533,0.45,8.105,14.585,70.64958,65.52758,0.3718651571578384,126912152101.707,2.715,1.706,5.367,13.463,67.3142,66.3682,0.3732531555914936,132129174216.93,3.018,0.279,7.3,13.281,65.302,61.299,0.3746515543405423,134189814814.815,2.748,0.326,12.206,17.76,76.2067,67.0747,0.3677624162958782,125706651925.557
2001-01-01,2.748,0.326,12.206,17.76,76.2067,67.0747,0.3677624162958782,125706651925.557,2.707,0.232,11.356,14.926,75.1,66.683,0.3691199005611928,135218410398.466,2.962,0.276,9.582,15.026,73.817,67.473,0.3704874434440434,134038718291.055,2.533,0.45,8.105,14.585,70.64958,65.52758,0.3718651571578384,126912152101.707,2.715,1.706,5.367,13.463,67.3142,66.3682,0.3732531555914936,132129174216.93,3.027,1.81,11.769,18.106,78.16886,71.23686,0.3613880351430977,129421029082.774
2002-01-01,3.027,1.81,11.769,18.106,78.16886,71.23686,0.3613880351430977,129421029082.774,2.748,0.326,12.206,17.76,76.2067,67.0747,0.3677624162958782,125706651925.557,2.707,0.232,11.356,14.926,75.1,66.683,0.3691199005611928,135218410398.466,2.962,0.276,9.582,15.026,73.817,67.473,0.3704874434440434,134038718291.055,2.533,0.45,8.105,14.585,70.64958,65.52758,0.3718651571578384,126912152101.707,2.941,1.539,13.464,18.169,80.51898,71.53498,0.3600867248035191,139738377564.465
2003-01-01,2.941,1.539,13.464,18.169,80.51898,71.53498,0.3600867248035191,139738377564.465,3.027,1.81,11.769,18.106,78.16886,71.23686,0.3613880351430977,129421029082.774,2.748,0.326,12.206,17.76,76.2067,67.0747,0.3677624162958782,125706651925.557,2.707,0.232,11.356,14.926,75.1,66.683,0.3691199005611928,135218410398.466,2.962,0.276,9.582,15.026,73.817,67.473,0.3704874434440434,134038718291.055,3.447,7.03,11.882,18.256,81.70888,80.30388,0.3587947525303478,171274266365.688
2004-01-01,3.447,7.03,11.882,18.256,81.70888,80.30388,0.3587947525303478,171274266365.688,2.941,1.539,13.464,18.169,80.51898,71.53498,0.3600867248035191,139738377564.465,3.027,1.81,11.769,18.106,78.16886,71.23686,0.3613880351430977,129421029082.774,2.748,0.326,12.206,17.76,76.2067,67.0747,0.3677624162958782,125706651925.557,2.707,0.232,11.356,14.926,75.1,66.683,0.3691199005611928,135218410398.466,2.959,6.797,11.667,18.267,83.97366,82.06266,0.3575120181695081,197116960516.514
2005-01-01,2.959,6.797,11.667,18.267,83.97366,82.06266,0.3575120181695081,197116960516.514,3.447,7.03,11.882,18.256,81.70888,80.30388,0.3587947525303478,171274266365.688,2.941,1.539,13.464,18.169,80.51898,71.53498,0.3600867248035191,139738377564.465,3.027,1.81,11.769,18.106,78.16886,71.23686,0.3613880351430977,129421029082.774,2.748,0.326,12.206,17.76,76.2067,67.0747,0.3677624162958782,125706651925.557,3.041,0.933,17.948,18.188,81.83886,67.86486,0.3562384229939671,204809103345.355
2006-01-01,3.041,0.933,17.948,18.188,81.83886,67.86486,0.3562384229939671,204809103345.355,2.959,6.797,11.667,18.267,83.97366,82.06266,0.3575120181695081,197116960516.514,3.447,7.03,11.882,18.256,81.70888,80.30388,0.3587947525303478,171274266365.688,2.941,1.539,13.464,18.169,80.51898,71.53498,0.3600867248035191,139738377564.465,3.027,1.81,11.769,18.106,78.16886,71.23686,0.3613880351430977,129421029082.774,3.054,2.717,14.118,18.292,87.1797,78.8327,0.3549738696785835,216907539831.891
