,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Consumption,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
2022-01-01,37.408466417115164,66.44774490898872,18.228746240636653,441.53851383740573,-48.21899866835208,0.20548634204990074,2558834345077.5713
2023-01-01,37.20159699487572,66.6307709016058,17.262588447044887,446.7720539390803,-49.368182454560916,0.2708450791944925,2642806615993.995
2024-01-01,37.13056112887775,66.51970497547158,16.97898635139645,448.01881293879416,-49.54071862407514,0.28859383169722963,2665983235418.367
2025-01-01,37.193511649208205,66.58331862824063,17.323630177952328,445.8629354125747,-49.259688450288316,0.2645751701296615,2624219241569.399
2026-01-01,36.89359933602756,67.5113616250989,16.528433624476406,447.7898112359737,-50.98292800062251,0.2996812443173861,2595460484994.099
2027-01-01,36.90325563074146,66.83758999314357,16.817432826974155,444.4408879381854,-50.020157166169426,0.27215847178701025,2563484701943.3213
2028-01-01,36.81999866623988,66.05443369233204,16.495182810790816,445.56319290168204,-49.55925088154124,0.2931366501728739,2602484979116.3213
2029-01-01,36.94420637407635,66.24817558840502,16.743625101918383,445.94673826769235,-49.50455048648664,0.2860010679347151,2616037635276.5137
2030-01-01,36.76365551736437,66.17772627399017,16.431106496832395,444.76147444263825,-49.74661977715779,0.2908133230717928,2584980334386.762
2031-01-01,36.6454637989342,66.5635418938278,16.135705198975398,445.1340622119753,-50.427836694852424,0.30233999936111816,2573345674194.9
