,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Net Consumption_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Net Consumption_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Net Consumption_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Net Consumption_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Net Consumption_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Consumption,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,31.982,72.428,3.617,382.65,-68.811,0.3914821510735972,1605675086549.56,30.15,72.701,2.86,367.8385,-69.841,0.3930207571880025,1601094756209.75,26.269,66.85,3.725,363.556,-63.125,0.3945715051050144,1393982750472.59,29.861,65.093,3.663,356.08,-61.43,0.3961345391182409,1322815612694.0,28.735,58.533,4.455,355.1608,-54.078,0.3961345391182409,1401465923172.24,29.626,69.634,4.24,381.735,-65.394,0.3899555447189009,1452884917959.09
1998-01-01,29.626,69.634,4.24,381.735,-65.394,0.3899555447189009,1452884917959.09,31.982,72.428,3.617,382.65,-68.811,0.3914821510735972,1605675086549.56,30.15,72.701,2.86,367.8385,-69.841,0.3930207571880025,1601094756209.75,26.269,66.85,3.725,363.556,-63.125,0.3945715051050144,1393982750472.59,29.861,65.093,3.663,356.08,-61.43,0.3961345391182409,1322815612694.0,31.477,62.152,4.59,393.359,-57.562,0.3884407982880136,1503108739159.44
1999-01-01,31.477,62.152,4.59,393.359,-57.562,0.3884407982880136,1503108739159.44,29.626,69.634,4.24,381.735,-65.394,0.3899555447189009,1452884917959.09,31.982,72.428,3.617,382.65,-68.811,0.3914821510735972,1605675086549.56,30.15,72.701,2.86,367.8385,-69.841,0.3930207571880025,1601094756209.75,26.269,66.85,3.725,363.556,-63.125,0.3945715051050144,1393982750472.59,30.154,68.108,4.965,401.221,-63.143,0.386937774109398,1492647560196.04
2000-01-01,30.154,68.108,4.965,401.221,-63.143,0.386937774109398,1492647560196.04,31.477,62.152,4.59,393.359,-57.562,0.3884407982880136,1503108739159.44,29.626,69.634,4.24,381.735,-65.394,0.3899555447189009,1452884917959.09,31.982,72.428,3.617,382.65,-68.811,0.3914821510735972,1605675086549.56,30.15,72.701,2.86,367.8385,-69.841,0.3930207571880025,1601094756209.75,30.411,73.174,3.695,409.74366,-69.479,0.38544633663404,1362248940482.77
2001-01-01,30.411,73.174,3.695,409.74366,-69.479,0.38544633663404,1362248940482.77,30.154,68.108,4.965,401.221,-63.143,0.386937774109398,1492647560196.04,31.477,62.152,4.59,393.359,-57.562,0.3884407982880136,1503108739159.44,29.626,69.634,4.24,381.735,-65.394,0.3899555447189009,1452884917959.09,31.982,72.428,3.617,382.65,-68.811,0.3914821510735972,1605675086549.56,30.638,72.861,4.5,420.4527,-68.361,0.6441804855747019,1376465324384.79
2002-01-01,30.638,72.861,4.5,420.4527,-68.361,0.6441804855747019,1376465324384.79,30.411,73.174,3.695,409.74366,-69.479,0.38544633663404,1362248940482.77,30.154,68.108,4.965,401.221,-63.143,0.386937774109398,1492647560196.04,31.477,62.152,4.59,393.359,-57.562,0.3884407982880136,1503108739159.44,29.626,69.634,4.24,381.735,-65.394,0.3899555447189009,1452884917959.09,30.898,80.739,3.705,418.21038,-77.034,0.6400573609589201,1494286655373.61
2003-01-01,30.898,80.739,3.705,418.21038,-77.034,0.6400573609589201,1494286655373.61,30.638,72.861,4.5,420.4527,-68.361,0.6441804855747019,1376465324384.79,30.411,73.174,3.695,409.74366,-69.479,0.38544633663404,1362248940482.77,30.154,68.108,4.965,401.221,-63.143,0.386937774109398,1492647560196.04,31.477,62.152,4.59,393.359,-57.562,0.3884407982880136,1503108739159.44,31.749,73.373,6.959,435.4392,-66.414,0.6359866813899778,1840480812641.08
2004-01-01,31.749,73.373,6.959,435.4392,-66.414,0.6359866813899778,1840480812641.08,30.898,80.739,3.705,418.21038,-77.034,0.6400573609589201,1494286655373.61,30.638,72.861,4.5,420.4527,-68.361,0.6441804855747019,1376465324384.79,30.411,73.174,3.695,409.74366,-69.479,0.38544633663404,1362248940482.77,30.154,68.108,4.965,401.221,-63.143,0.386937774109398,1492647560196.04,31.735,68.477,6.571,446.95728,-61.906,0.631967452560958,2115742488204.62
2005-01-01,31.735,68.477,6.571,446.95728,-61.906,0.631967452560958,2115742488204.62,31.749,73.373,6.959,435.4392,-66.414,0.6359866813899778,1840480812641.08,30.898,80.739,3.705,418.21038,-77.034,0.6400573609589201,1494286655373.61,30.638,72.861,4.5,420.4527,-68.361,0.6441804855747019,1376465324384.79,30.411,73.174,3.695,409.74366,-69.479,0.38544633663404,1362248940482.77,32.231,68.39,8.062,452.11806,-60.328,0.6279987051419567,2196126103718.44
2006-01-01,32.231,68.39,8.062,452.11806,-60.328,0.6279987051419567,2196126103718.44,31.735,68.477,6.571,446.95728,-61.906,0.631967452560958,2115742488204.62,31.749,73.373,6.959,435.4392,-66.414,0.6359866813899778,1840480812641.08,30.898,80.739,3.705,418.21038,-77.034,0.6400573609589201,1494286655373.61,30.638,72.861,4.5,420.4527,-68.361,0.6441804855747019,1376465324384.79,31.805,71.863,8.522,447.83318,-63.341,0.6240794940005765,2318593651988.46
