,Electricity: Distribution Losses,Electricity: Imports,Population: Growth Rate,Economics: GDP
1992-01-01,0.105,0.0,2.784864382588675,5592390848.52647
1993-01-01,0.106,0.0,2.784864382588675,4378645081.01769
1994-01-01,0.256,0.0,2.709410961737289,4190819314.02958
1995-01-01,0.302,0.0,2.637938370366699,4958845906.34769
1996-01-01,0.269,0.0,2.5701396698438717,5694040336.82571
1997-01-01,0.278,0.0,2.505738685856061,5326816858.99586
1998-01-01,0.268,0.0,2.4444862482629253,4483417119.83928
1999-01-01,0.245,0.0,2.3861569692867244,4662992036.2073
2000-01-01,0.234,0.0,2.330546472217442,5080483463.99928
2001-01-01,0.246,0.0,3.4422024690970083,5023265365.25169
2002-01-01,0.261,0.0,3.3276577518014023,5335451307.54323
2003-01-01,0.268,0.0,3.220490838759372,6511903657.44009
2004-01-01,0.272,0.0,3.1200111650215825,7770219479.72648
2005-01-01,0.296,0.0,3.0256117408954406,9582783318.3881
2006-01-01,0.31,0.0,2.9367568799345856,10327598800.6713
2007-01-01,0.306,0.0,2.8529720276305364,12455410055.7483
2008-01-01,0.334,0.0,2.7738352829163855,15571349775.7848
2009-01-01,0.362,0.0,2.698970292663066,12113699660.6799
2010-01-01,0.377,0.0,2.6280402665886156,14372591916.4792
2011-01-01,0.404,0.0,3.7100236396948114,18210308748.2912
2012-01-01,0.424,0.0,3.5773047864534675,17170465294.0332
2013-01-01,0.453,0.184,3.4537534972828507,17595745653.3676
2014-01-01,0.449,0.388,3.3384516081125795,18203968001.8908
2015-01-01,0.474,0.337,3.2305996036914517,14383107714.0388
2016-01-01,0.488,0.348,2.603438866916075,14023890620.3384
2017-01-01,0.431156,0.456,2.5373797366508537,14929488770.7315
2018-01-01,0.469021,0.511,2.474589991637856,16867325126.5423
2019-01-01,0.40552,0.511,2.4148327813165835,16874405839.7948
2020-01-01,0.50462,0.511,2.357893593863427,15316826191.5682
2021-01-01,0.481838177,0.5475,2.102855612449418,15316826191.5682
