,Electricity: Distribution Losses_lag1,Electricity: Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Imports,Population: Growth Rate,Economics: GDP
1997-01-01,0.269,0.0,2.5701396698438717,5694040336.82571,0.302,0.0,2.637938370366699,4958845906.34769,0.256,0.0,2.709410961737289,4190819314.02958,0.106,0.0,2.784864382588675,4378645081.01769,0.105,0.0,2.784864382588675,5592390848.52647,0.278,0.0,2.505738685856061,5326816858.99586
1998-01-01,0.278,0.0,2.505738685856061,5326816858.99586,0.269,0.0,2.5701396698438717,5694040336.82571,0.302,0.0,2.637938370366699,4958845906.34769,0.256,0.0,2.709410961737289,4190819314.02958,0.106,0.0,2.784864382588675,4378645081.01769,0.268,0.0,2.4444862482629253,4483417119.83928
1999-01-01,0.268,0.0,2.4444862482629253,4483417119.83928,0.278,0.0,2.505738685856061,5326816858.99586,0.269,0.0,2.5701396698438717,5694040336.82571,0.302,0.0,2.637938370366699,4958845906.34769,0.256,0.0,2.709410961737289,4190819314.02958,0.245,0.0,2.3861569692867244,4662992036.2073
2000-01-01,0.245,0.0,2.3861569692867244,4662992036.2073,0.268,0.0,2.4444862482629253,4483417119.83928,0.278,0.0,2.505738685856061,5326816858.99586,0.269,0.0,2.5701396698438717,5694040336.82571,0.302,0.0,2.637938370366699,4958845906.34769,0.234,0.0,2.330546472217442,5080483463.99928
2001-01-01,0.234,0.0,2.330546472217442,5080483463.99928,0.245,0.0,2.3861569692867244,4662992036.2073,0.268,0.0,2.4444862482629253,4483417119.83928,0.278,0.0,2.505738685856061,5326816858.99586,0.269,0.0,2.5701396698438717,5694040336.82571,0.246,0.0,3.4422024690970083,5023265365.25169
2002-01-01,0.246,0.0,3.4422024690970083,5023265365.25169,0.234,0.0,2.330546472217442,5080483463.99928,0.245,0.0,2.3861569692867244,4662992036.2073,0.268,0.0,2.4444862482629253,4483417119.83928,0.278,0.0,2.505738685856061,5326816858.99586,0.261,0.0,3.3276577518014023,5335451307.54323
2003-01-01,0.261,0.0,3.3276577518014023,5335451307.54323,0.246,0.0,3.4422024690970083,5023265365.25169,0.234,0.0,2.330546472217442,5080483463.99928,0.245,0.0,2.3861569692867244,4662992036.2073,0.268,0.0,2.4444862482629253,4483417119.83928,0.268,0.0,3.220490838759372,6511903657.44009
2004-01-01,0.268,0.0,3.220490838759372,6511903657.44009,0.261,0.0,3.3276577518014023,5335451307.54323,0.246,0.0,3.4422024690970083,5023265365.25169,0.234,0.0,2.330546472217442,5080483463.99928,0.245,0.0,2.3861569692867244,4662992036.2073,0.272,0.0,3.1200111650215825,7770219479.72648
2005-01-01,0.272,0.0,3.1200111650215825,7770219479.72648,0.268,0.0,3.220490838759372,6511903657.44009,0.261,0.0,3.3276577518014023,5335451307.54323,0.246,0.0,3.4422024690970083,5023265365.25169,0.234,0.0,2.330546472217442,5080483463.99928,0.296,0.0,3.0256117408954406,9582783318.3881
2006-01-01,0.296,0.0,3.0256117408954406,9582783318.3881,0.272,0.0,3.1200111650215825,7770219479.72648,0.268,0.0,3.220490838759372,6511903657.44009,0.261,0.0,3.3276577518014023,5335451307.54323,0.246,0.0,3.4422024690970083,5023265365.25169,0.31,0.0,2.9367568799345856,10327598800.6713
