,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,2.095,0.126,0.4,4.332,5.26,0.274,-2.3329945050165724,3095047603.8083,1.902,0.18,0.95,4.376,5.514,0.77,-2.279806739069093,2693768412.89179,1.911,0.15,1.1,4.376,7.708,0.95,-2.228990073167813,2514070771.80273,1.797,0.339,1.05,4.376,8.379,0.711,-2.1803894096698877,2688016393.44262,2.0,0.531,1.5,4.374,10.113,0.969,-2.1803894096698877,2688016393.44262,1.557,0.465,0.653,4.332,5.678,0.188,-2.388723288067212,3510520231.21387
1998-01-01,1.557,0.465,0.653,4.332,5.678,0.188,-2.388723288067212,3510520231.21387,2.095,0.126,0.4,4.332,5.26,0.274,-2.3329945050165724,3095047603.8083,1.902,0.18,0.95,4.376,5.514,0.77,-2.279806739069093,2693768412.89179,1.911,0.15,1.1,4.376,7.708,0.95,-2.228990073167813,2514070771.80273,1.797,0.339,1.05,4.376,8.379,0.711,-2.1803894096698877,2688016393.44262,1.132,0.796,0.72,4.332,6.695,-0.076,-2.4471796379805113,3613541516.765
1999-01-01,1.132,0.796,0.72,4.332,6.695,-0.076,-2.4471796379805113,3613541516.765,1.557,0.465,0.653,4.332,5.678,0.188,-2.388723288067212,3510520231.21387,2.095,0.126,0.4,4.332,5.26,0.274,-2.3329945050165724,3095047603.8083,1.902,0.18,0.95,4.376,5.514,0.77,-2.279806739069093,2693768412.89179,1.911,0.15,1.1,4.376,7.708,0.95,-2.228990073167813,2514070771.80273,1.24,0.384,0.44,4.304,6.702,0.056,-2.5085688234322525,2800049394.91232
2000-01-01,1.24,0.384,0.44,4.304,6.702,0.056,-2.5085688234322525,2800049394.91232,1.132,0.796,0.72,4.332,6.695,-0.076,-2.4471796379805113,3613541516.765,1.557,0.465,0.653,4.332,5.678,0.188,-2.388723288067212,3510520231.21387,2.095,0.126,0.4,4.332,5.26,0.274,-2.3329945050165724,3095047603.8083,1.902,0.18,0.95,4.376,5.514,0.77,-2.279806739069093,2693768412.89179,1.249,0.198,0.45,4.304,6.27416,0.252,-2.5731172403131284,3057475335.18846
2001-01-01,1.249,0.198,0.45,4.304,6.27416,0.252,-2.5731172403131284,3057475335.18846,1.24,0.384,0.44,4.304,6.702,0.056,-2.5085688234322525,2800049394.91232,1.132,0.796,0.72,4.332,6.695,-0.076,-2.4471796379805113,3613541516.765,1.557,0.465,0.653,4.332,5.678,0.188,-2.388723288067212,3510520231.21387,2.095,0.126,0.4,4.332,5.26,0.274,-2.3329945050165724,3095047603.8083,0.845,0.527,0.8,4.304,6.2263,0.273,-1.0042760291964692,3219488663.77231
2002-01-01,0.845,0.527,0.8,4.304,6.2263,0.273,-1.0042760291964692,3219488663.77231,1.249,0.198,0.45,4.304,6.27416,0.252,-2.5731172403131284,3057475335.18846,1.24,0.384,0.44,4.304,6.702,0.056,-2.5085688234322525,2800049394.91232,1.132,0.796,0.72,4.332,6.695,-0.076,-2.4471796379805113,3613541516.765,1.557,0.465,0.653,4.332,5.678,0.188,-2.388723288067212,3510520231.21387,1.208,0.158,0.605,4.304,6.3986,0.447,-1.0144640484599907,3395728013.84524
2003-01-01,1.208,0.158,0.605,4.304,6.3986,0.447,-1.0144640484599907,3395728013.84524,0.845,0.527,0.8,4.304,6.2263,0.273,-1.0042760291964692,3219488663.77231,1.249,0.198,0.45,4.304,6.27416,0.252,-2.5731172403131284,3057475335.18846,1.24,0.384,0.44,4.304,6.702,0.056,-2.5085688234322525,2800049394.91232,1.132,0.796,0.72,4.332,6.695,-0.076,-2.4471796379805113,3613541516.765,1.157,0.159,1.071,4.388,6.81196,0.912,-1.024860893774032,3991284895.37214
2004-01-01,1.157,0.159,1.071,4.388,6.81196,0.912,-1.024860893774032,3991284895.37214,1.208,0.158,0.605,4.304,6.3986,0.447,-1.0144640484599907,3395728013.84524,0.845,0.527,0.8,4.304,6.2263,0.273,-1.0042760291964692,3219488663.77231,1.249,0.198,0.45,4.304,6.27416,0.252,-2.5731172403131284,3057475335.18846,1.24,0.384,0.44,4.304,6.702,0.056,-2.5085688234322525,2800049394.91232,1.079,0.0,1.281,4.388,7.0135,1.281,-1.0354730521511082,5125365191.98664
2005-01-01,1.079,0.0,1.281,4.388,7.0135,1.281,-1.0354730521511082,5125365191.98664,1.157,0.159,1.071,4.388,6.81196,0.912,-1.024860893774032,3991284895.37214,1.208,0.158,0.605,4.304,6.3986,0.447,-1.0144640484599907,3395728013.84524,0.845,0.527,0.8,4.304,6.2263,0.273,-1.0042760291964692,3219488663.77231,1.249,0.198,0.45,4.304,6.27416,0.252,-2.5731172403131284,3057475335.18846,1.134,0.122,1.468,4.408,7.35514,1.346,-1.046307282099948,6410823633.25426
2006-01-01,1.134,0.122,1.468,4.408,7.35514,1.346,-1.046307282099948,6410823633.25426,1.079,0.0,1.281,4.388,7.0135,1.281,-1.0354730521511082,5125365191.98664,1.157,0.159,1.071,4.388,6.81196,0.912,-1.024860893774032,3991284895.37214,1.208,0.158,0.605,4.304,6.3986,0.447,-1.0144640484599907,3395728013.84524,0.845,0.527,0.8,4.304,6.2263,0.273,-1.0042760291964692,3219488663.77231,1.038,0.14,0.756,4.323,6.69368,0.616,-1.0573706279792812,7745394293.41721
