,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
1997-01-01,25.578,42.67,37.404,109.33,489.296,225.91969119104823,0.271122993951225,2497244606186.64,25.273,34.911,39.735,111.174,482.523,225.308827153234,0.2718600691099538,2585792275146.72,22.918,33.55,35.92,110.438,475.055,224.69796311541975,0.2726011628196084,2205074123177.05,16.801,32.758,33.628,112.362,477.208,224.08709907760547,0.2733463080338143,2071323790370.28,12.454,33.738,28.25,112.37,485.685,223.4762350397912,0.2733463080338143,2131571696931.75,21.902,40.361,38.02,108.622,492.93143,226.5305552288625,0.2703899047461539,2211989623279.95
1998-01-01,21.902,40.361,38.02,108.622,492.93143,226.5305552288625,0.2703899047461539,2211989623279.95,25.578,42.67,37.404,109.33,489.296,225.91969119104823,0.271122993951225,2497244606186.64,25.273,34.911,39.735,111.174,482.523,225.308827153234,0.2718600691099538,2585792275146.72,22.918,33.55,35.92,110.438,475.055,224.69796311541975,0.2726011628196084,2205074123177.05,16.801,32.758,33.628,112.362,477.208,224.08709907760547,0.2733463080338143,2071323790370.28,24.131,38.953,38.315,108.782,497.445,227.1414192666767,0.2696607692490252,2238990774702.68
1999-01-01,24.131,38.953,38.315,108.782,497.445,227.1414192666767,0.2696607692490252,2238990774702.68,21.902,40.361,38.02,108.622,492.93143,226.5305552288625,0.2703899047461539,2211989623279.95,25.578,42.67,37.404,109.33,489.296,225.91969119104823,0.271122993951225,2497244606186.64,25.273,34.911,39.735,111.174,482.523,225.308827153234,0.2718600691099538,2585792275146.72,22.918,33.55,35.92,110.438,475.055,224.69796311541975,0.2726011628196084,2205074123177.05,23.267,39.558,40.598,107.802,497.056,227.75228330449104,0.2689355555611334,2194204133816.32
2000-01-01,23.267,39.558,40.598,107.802,497.056,227.75228330449104,0.2689355555611334,2194204133816.32,24.131,38.953,38.315,108.782,497.445,227.1414192666767,0.2696607692490252,2238990774702.68,21.902,40.361,38.02,108.622,492.93143,226.5305552288625,0.2703899047461539,2211989623279.95,25.578,42.67,37.404,109.33,489.296,225.91969119104823,0.271122993951225,2497244606186.64,25.273,34.911,39.735,111.174,482.523,225.308827153234,0.2718600691099538,2585792275146.72,34.092,42.077,45.134,119.715,509.08148,228.36314734230527,0.2682142321258533,1943145384190.16
2001-01-01,34.092,42.077,45.134,119.715,509.08148,228.36314734230527,0.2682142321258533,1943145384190.16,23.267,39.558,40.598,107.802,497.056,227.75228330449104,0.2689355555611334,2194204133816.32,24.131,38.953,38.315,108.782,497.445,227.1414192666767,0.2696607692490252,2238990774702.68,21.902,40.361,38.02,108.622,492.93143,226.5305552288625,0.2703899047461539,2211989623279.95,25.578,42.67,37.404,109.33,489.296,225.91969119104823,0.271122993951225,2497244606186.64,33.159,42.122,45.779,121.545,520.1949,228.29969785558671,-0.0277844684910685,1944107382550.34
2002-01-01,33.159,42.122,45.779,121.545,520.1949,228.29969785558671,-0.0277844684910685,1944107382550.34,34.092,42.077,45.134,119.715,509.08148,228.36314734230527,0.2682142321258533,1943145384190.16,23.267,39.558,40.598,107.802,497.056,227.75228330449104,0.2689355555611334,2194204133816.32,24.131,38.953,38.315,108.782,497.445,227.1414192666767,0.2696607692490252,2238990774702.68,21.902,40.361,38.02,108.622,492.93143,226.5305552288625,0.2703899047461539,2211989623279.95,27.457,38.372,48.37,126.881,532.51744,228.2362483688682,-0.0277921904034541,2068624129493.69
2003-01-01,27.457,38.372,48.37,126.881,532.51744,228.2362483688682,-0.0277921904034541,2068624129493.69,33.159,42.122,45.779,121.545,520.1949,228.29969785558671,-0.0277844684910685,1944107382550.34,34.092,42.077,45.134,119.715,509.08148,228.36314734230527,0.2682142321258533,1943145384190.16,23.267,39.558,40.598,107.802,497.056,227.75228330449104,0.2689355555611334,2194204133816.32,24.131,38.953,38.315,108.782,497.445,227.1414192666767,0.2696607692490252,2238990774702.68,27.083,52.379,49.107,122.375,542.371,228.1727988821497,-0.0277999166091919,2496128668171.56
2004-01-01,27.083,52.379,49.107,122.375,542.371,228.1727988821497,-0.0277999166091919,2496128668171.56,27.457,38.372,48.37,126.881,532.51744,228.2362483688682,-0.0277921904034541,2068624129493.69,33.159,42.122,45.779,121.545,520.1949,228.29969785558671,-0.0277844684910685,1944107382550.34,34.092,42.077,45.134,119.715,509.08148,228.36314734230527,0.2682142321258533,1943145384190.16,23.267,39.558,40.598,107.802,497.056,227.75228330449104,0.2689355555611334,2194204133816.32,28.242,50.808,48.187,128.781,548.8792,228.10934939543117,-0.0278076471119182,2809187981127.39
2005-01-01,28.242,50.808,48.187,128.781,548.8792,228.10934939543117,-0.0278076471119182,2809187981127.39,27.083,52.379,49.107,122.375,542.371,228.1727988821497,-0.0277999166091919,2496128668171.56,27.457,38.372,48.37,126.881,532.51744,228.2362483688682,-0.0277921904034541,2068624129493.69,33.159,42.122,45.779,121.545,520.1949,228.29969785558671,-0.0277844684910685,1944107382550.34,34.092,42.077,45.134,119.715,509.08148,228.36314734230527,0.2682142321258533,1943145384190.16,29.328,61.427,56.861,131.43,543.7922,228.0458999087126,-0.027815381915164,2845802760850.64
2006-01-01,29.328,61.427,56.861,131.43,543.7922,228.0458999087126,-0.027815381915164,2845802760850.64,28.242,50.808,48.187,128.781,548.8792,228.10934939543117,-0.0278076471119182,2809187981127.39,27.083,52.379,49.107,122.375,542.371,228.1727988821497,-0.0277999166091919,2496128668171.56,27.457,38.372,48.37,126.881,532.51744,228.2362483688682,-0.0277921904034541,2068624129493.69,33.159,42.122,45.779,121.545,520.1949,228.29969785558671,-0.0277844684910685,1944107382550.34,28.38,65.441,48.464,135.724,548.7564,227.9824504219941,-0.0278231210225372,2992196713084.93
