,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1992-01-01,0.216,0.286,0.004,1.187,-0.282,2.589528765086995,6413901601.83066
1993-01-01,0.135,0.288,0.004,1.187,-0.284,2.589528765086995,5966255778.12018
1994-01-01,0.156,0.31,0.0,1.187,-0.31,2.5241647917270256,5444560669.45607
1995-01-01,0.204,0.285,0.06,1.187,-0.225,2.4620193657317246,6465137614.6789
1996-01-01,0.189,0.348,0.065,1.187,-0.283,2.4028604754935596,6934984709.48012
1997-01-01,0.197,0.422,0.065,1.187,-0.357,2.346477885809252,6891308593.75
1998-01-01,0.128,0.4,0.9,1.164,0.5,2.292680641562752,7480968858.13149
1999-01-01,0.123,0.422,0.4,1.164,-0.022,2.241294907107174,7719354838.70968
2000-01-01,1.616,0.392,0.6,1.17,0.208,2.1921620898322303,4983024408.14828
2001-01-01,1.154,0.302,0.45,1.303,0.148,3.004864559267286,5314909953.92992
2002-01-01,1.752,0.612,1.046,1.578,0.434,2.917206456340066,6166330136.2948
2003-01-01,1.591,0.604,0.945,1.766,0.341,2.8345177223379387,7632406552.83803
2004-01-01,1.601,0.665,0.878,1.754,0.213,2.7563874320793365,8881368538.07671
2005-01-01,1.627,0.639,0.815,1.754,0.176,2.68244875181241,10744675209.8984
2006-01-01,1.692,0.754,0.629,1.734,-0.125,2.612373180051438,20440893017.1566
2007-01-01,1.553,0.246,0.435,1.939,0.189,2.5458656681368925,24827844949.6033
2008-01-01,1.844,0.538,0.275,2.223,-0.263,2.482660467634983,28678701891.0957
2009-01-01,2.088,0.752,0.198,2.437,-0.554,2.422517581321979,26048108185.0534
2010-01-01,1.923,1.036,0.106,2.608,-0.93,2.3652197178208745,32197272797.2028
2011-01-01,1.587,0.691,0.081,2.81,-0.61,2.577717471695388,39337314809.9434
2012-01-01,1.43505,0.667,0.128,2.945,-0.539,2.5129409536790153,41270954737.2459
2013-01-01,1.661169,0.53,0.027,3.047769,-0.503,2.451340221342884,62823043706.4702
2014-01-01,1.739,0.522,0.051,3.052274,-0.471,2.392687314823643,54782847752.5375
2015-01-01,0.6129,0.587,0.223,3.886405,-0.364,2.3367755818996345,49406568432.6711
2016-01-01,0.8761,0.187,0.745,4.032405,0.558,2.292590483461582,56165172898.8695
2017-01-01,0.8053,0.268,0.32,4.645405,0.052,2.2412087450578895,60406382898.5174
2018-01-01,1.1916,0.74,0.14,5.146405,-0.6,2.1920796639312146,67299280679.563
2019-01-01,1.1837,1.43,0.127,5.436405,-1.303,2.1450582776474443,68337537815.7703
2020-01-01,1.2856,1.801,0.058,5.349405,-1.743,2.10001180068526,68532281805.6722
2021-01-01,1.247264737,1.46840933,0.058726223,5.349374,-1.409683107,2.012822960161373,68532281805.6722
