,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,0.189,0.348,0.065,1.187,-0.283,2.4028604754935596,6934984709.48012,0.204,0.285,0.06,1.187,-0.225,2.4620193657317246,6465137614.6789,0.156,0.31,0.0,1.187,-0.31,2.5241647917270256,5444560669.45607,0.135,0.288,0.004,1.187,-0.284,2.589528765086995,5966255778.12018,0.216,0.286,0.004,1.187,-0.282,2.589528765086995,6413901601.83066,0.197,0.422,0.065,1.187,-0.357,2.346477885809252,6891308593.75
1998-01-01,0.197,0.422,0.065,1.187,-0.357,2.346477885809252,6891308593.75,0.189,0.348,0.065,1.187,-0.283,2.4028604754935596,6934984709.48012,0.204,0.285,0.06,1.187,-0.225,2.4620193657317246,6465137614.6789,0.156,0.31,0.0,1.187,-0.31,2.5241647917270256,5444560669.45607,0.135,0.288,0.004,1.187,-0.284,2.589528765086995,5966255778.12018,0.128,0.4,0.9,1.164,0.5,2.292680641562752,7480968858.13149
1999-01-01,0.128,0.4,0.9,1.164,0.5,2.292680641562752,7480968858.13149,0.197,0.422,0.065,1.187,-0.357,2.346477885809252,6891308593.75,0.189,0.348,0.065,1.187,-0.283,2.4028604754935596,6934984709.48012,0.204,0.285,0.06,1.187,-0.225,2.4620193657317246,6465137614.6789,0.156,0.31,0.0,1.187,-0.31,2.5241647917270256,5444560669.45607,0.123,0.422,0.4,1.164,-0.022,2.241294907107174,7719354838.70968
2000-01-01,0.123,0.422,0.4,1.164,-0.022,2.241294907107174,7719354838.70968,0.128,0.4,0.9,1.164,0.5,2.292680641562752,7480968858.13149,0.197,0.422,0.065,1.187,-0.357,2.346477885809252,6891308593.75,0.189,0.348,0.065,1.187,-0.283,2.4028604754935596,6934984709.48012,0.204,0.285,0.06,1.187,-0.225,2.4620193657317246,6465137614.6789,1.616,0.392,0.6,1.17,0.208,2.1921620898322303,4983024408.14828
2001-01-01,1.616,0.392,0.6,1.17,0.208,2.1921620898322303,4983024408.14828,0.123,0.422,0.4,1.164,-0.022,2.241294907107174,7719354838.70968,0.128,0.4,0.9,1.164,0.5,2.292680641562752,7480968858.13149,0.197,0.422,0.065,1.187,-0.357,2.346477885809252,6891308593.75,0.189,0.348,0.065,1.187,-0.283,2.4028604754935596,6934984709.48012,1.154,0.302,0.45,1.303,0.148,3.004864559267286,5314909953.92992
2002-01-01,1.154,0.302,0.45,1.303,0.148,3.004864559267286,5314909953.92992,1.616,0.392,0.6,1.17,0.208,2.1921620898322303,4983024408.14828,0.123,0.422,0.4,1.164,-0.022,2.241294907107174,7719354838.70968,0.128,0.4,0.9,1.164,0.5,2.292680641562752,7480968858.13149,0.197,0.422,0.065,1.187,-0.357,2.346477885809252,6891308593.75,1.752,0.612,1.046,1.578,0.434,2.917206456340066,6166330136.2948
2003-01-01,1.752,0.612,1.046,1.578,0.434,2.917206456340066,6166330136.2948,1.154,0.302,0.45,1.303,0.148,3.004864559267286,5314909953.92992,1.616,0.392,0.6,1.17,0.208,2.1921620898322303,4983024408.14828,0.123,0.422,0.4,1.164,-0.022,2.241294907107174,7719354838.70968,0.128,0.4,0.9,1.164,0.5,2.292680641562752,7480968858.13149,1.591,0.604,0.945,1.766,0.341,2.8345177223379387,7632406552.83803
2004-01-01,1.591,0.604,0.945,1.766,0.341,2.8345177223379387,7632406552.83803,1.752,0.612,1.046,1.578,0.434,2.917206456340066,6166330136.2948,1.154,0.302,0.45,1.303,0.148,3.004864559267286,5314909953.92992,1.616,0.392,0.6,1.17,0.208,2.1921620898322303,4983024408.14828,0.123,0.422,0.4,1.164,-0.022,2.241294907107174,7719354838.70968,1.601,0.665,0.878,1.754,0.213,2.7563874320793365,8881368538.07671
2005-01-01,1.601,0.665,0.878,1.754,0.213,2.7563874320793365,8881368538.07671,1.591,0.604,0.945,1.766,0.341,2.8345177223379387,7632406552.83803,1.752,0.612,1.046,1.578,0.434,2.917206456340066,6166330136.2948,1.154,0.302,0.45,1.303,0.148,3.004864559267286,5314909953.92992,1.616,0.392,0.6,1.17,0.208,2.1921620898322303,4983024408.14828,1.627,0.639,0.815,1.754,0.176,2.68244875181241,10744675209.8984
2006-01-01,1.627,0.639,0.815,1.754,0.176,2.68244875181241,10744675209.8984,1.601,0.665,0.878,1.754,0.213,2.7563874320793365,8881368538.07671,1.591,0.604,0.945,1.766,0.341,2.8345177223379387,7632406552.83803,1.752,0.612,1.046,1.578,0.434,2.917206456340066,6166330136.2948,1.154,0.302,0.45,1.303,0.148,3.004864559267286,5314909953.92992,1.692,0.754,0.629,1.734,-0.125,2.612373180051438,20440893017.1566
