,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Net Consumption_lag1,Population: Density_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Net Consumption_lag2,Population: Density_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Net Consumption_lag3,Population: Density_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Net Consumption_lag4,Population: Density_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Net Consumption_lag5,Population: Density_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Consumption,Population: Density,Economics: GDP
1997-01-01,3.257,1.314,2.66,38.115,81.3983438139253,145861612400.906,3.174,0.593,1.4,36.53,80.84083642700205,136878365936.167,3.175,0.43,0.82,35.206,80.2833290400788,116601801966.292,3.018,0.284,1.093,33.652,79.72582165315553,108809059155.767,2.676,0.362,0.967,32.96,79.1683142662323,116224672863.783,3.271,0.709,3.01,39.83618,81.95585120084856,143157600149.757
1998-01-01,3.271,0.709,3.01,39.83618,81.95585120084856,143157600149.757,3.257,1.314,2.66,38.115,81.3983438139253,145861612400.906,3.174,0.593,1.4,36.53,80.84083642700205,136878365936.167,3.175,0.43,0.82,35.206,80.2833290400788,116601801966.292,3.018,0.284,1.093,33.652,79.72582165315553,108809059155.767,3.173,0.89,2.5,41.983,82.51335858777179,144428172489.335
1999-01-01,3.173,0.89,2.5,41.983,82.51335858777179,144428172489.335,3.271,0.709,3.01,39.83618,81.95585120084856,143157600149.757,3.257,1.314,2.66,38.115,81.3983438139253,145861612400.906,3.174,0.593,1.4,36.53,80.84083642700205,136878365936.167,3.175,0.43,0.82,35.206,80.2833290400788,116601801966.292,3.345,1.647,1.811,43.4,83.07086597469505,142540728744.939
2000-01-01,3.345,1.647,1.811,43.4,83.07086597469505,142540728744.939,3.173,0.89,2.5,41.983,82.51335858777179,144428172489.335,3.271,0.709,3.01,39.83618,81.95585120084856,143157600149.757,3.257,1.314,2.66,38.115,81.3983438139253,145861612400.906,3.174,0.593,1.4,36.53,80.84083642700205,136878365936.167,4.273,1.74,1.729,45.97792,83.6283733616183,130133845586.88
2001-01-01,4.273,1.74,1.729,45.97792,83.6283733616183,130133845586.88,3.345,1.647,1.811,43.4,83.07086597469505,142540728744.939,3.173,0.89,2.5,41.983,82.51335858777179,144428172489.335,3.271,0.709,3.01,39.83618,81.95585120084856,143157600149.757,3.257,1.314,2.66,38.115,81.3983438139253,145861612400.906,4.944,1.062,3.562,47.33954,83.62509584059399,136191353914.989
2002-01-01,4.944,1.062,3.562,47.33954,83.62509584059399,136191353914.989,4.273,1.74,1.729,45.97792,83.6283733616183,130133845586.88,3.345,1.647,1.811,43.4,83.07086597469505,142540728744.939,3.173,0.89,2.5,41.983,82.51335858777179,144428172489.335,3.271,0.709,3.01,39.83618,81.95585120084856,143157600149.757,3.979,1.706,4.602,49.5354,83.62181831956967,153830946734.425
2003-01-01,3.979,1.706,4.602,49.5354,83.62181831956967,153830946734.425,4.944,1.062,3.562,47.33954,83.62509584059399,136191353914.989,4.273,1.74,1.729,45.97792,83.6283733616183,130133845586.88,3.345,1.647,1.811,43.4,83.07086597469505,142540728744.939,3.173,0.89,2.5,41.983,82.51335858777179,144428172489.335,4.926,2.076,4.169,51.67068,83.61854079854534,201924269751.693
2004-01-01,4.926,2.076,4.169,51.67068,83.61854079854534,201924269751.693,3.979,1.706,4.602,49.5354,83.62181831956967,153830946734.425,4.944,1.062,3.562,47.33954,83.62509584059399,136191353914.989,4.273,1.74,1.729,45.97792,83.6283733616183,130133845586.88,3.345,1.647,1.811,43.4,83.07086597469505,142540728744.939,5.199,2.034,4.854,52.99664,83.61526327752102,240521261484.976
2005-01-01,5.199,2.034,4.854,52.99664,83.61526327752102,240521261484.976,4.926,2.076,4.169,51.67068,83.61854079854534,201924269751.693,3.979,1.706,4.602,49.5354,83.62181831956967,153830946734.425,4.944,1.062,3.562,47.33954,83.62509584059399,136191353914.989,4.273,1.74,1.729,45.97792,83.6283733616183,130133845586.88,5.598,1.836,5.616,54.13574,83.61198575649671,247783002114.165
2006-01-01,5.598,1.836,5.616,54.13574,83.61198575649671,247783002114.165,5.199,2.034,4.854,52.99664,83.61526327752102,240521261484.976,4.926,2.076,4.169,51.67068,83.61854079854534,201924269751.693,3.979,1.706,4.602,49.5354,83.62181831956967,153830946734.425,4.944,1.062,3.562,47.33954,83.62509584059399,136191353914.989,5.1,1.938,6.14,55.8125,83.60870823547239,273317736795.885
2007-01-01,5.1,1.938,6.14,55.8125,83.60870823547239,273317736795.885,5.598,1.836,5.616,54.13574,83.61198575649671,247783002114.165,5.199,2.034,4.854,52.99664,83.61526327752102,240521261484.976,4.926,2.076,4.169,51.67068,83.61854079854534,201924269751.693,3.979,1.706,4.602,49.5354,83.62181831956967,153830946734.425,4.86,2.057,6.412,58.35748,83.60543071444808,318497937311.799
